receive_time_s,stamp_s,sequence,frame_id,planner_id,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,ax_ref,ay_ref,az_ref,yaw_ref,yaw_rate_ref,trajectory_status
1780692403.214674711,1780692403.214000940,65,map,ego_position_cmd,0.3470236495767694,0.3044523696069758,1.2329746856156882,0.02049643367686087,0.15616064230954624,0.008456738392853791,-0.07027228903929582,0.009223395154587392,-0.0016693434592942237,1.4402900943015993,0.45,1
1780692403.258810282,1780692403.258066654,66,map,ego_position_cmd,0.34803038418026827,0.3129210074660214,1.2334301514603863,0.016685546640290348,0.15661367288112074,0.008365719590992558,-0.07047615279650433,0.007508495988130657,-0.0016924014176820522,1.4646571749002761,0.45,1
1780692403.302552938,1780692403.301961184,67,map,ego_position_cmd,0.34872466562094623,0.3201485747817759,1.2338140173164587,0.013433141348200844,0.15692609952942582,0.008287248897655232,-0.07061674478824163,0.006044913606690381,-0.0017118346266457238,1.4854027959008818,0.45,1
1780692403.346477270,1780692403.345965385,68,map,ego_position_cmd,0.349351527109185,0.32870421387972754,1.234262860665727,0.009583103754122597,0.15720818719913324,0.008193387833303405,-0.07074368423960997,0.004312396689355169,-0.0017345573212024332,1.5099136181990616,0.45,1
1780692403.390473843,1780692403.389952421,68,map,ego_position_cmd,0.349351527109185,0.32870421387972754,1.234262860665727,0.009583103754122597,0.15720818719913324,0.008193387833303405,-0.07074368423960997,0.004312396689355169,-0.0017345573212024332,1.5099136181990616,0.45,1
1780692403.434660673,1780692403.434010506,69,map,ego_position_cmd,0.3497360572276583,0.33640991998360187,1.2346621407293523,0.006115536007379143,0.15738122575244626,0.008107921127080902,-0.07082155158860082,0.0027519912033206143,-0.001754770874423469,1.5319577632493748,0.45,1
1780692403.478699684,1780692403.478021622,70,map,ego_position_cmd,0.34995459170911414,0.3443622928679122,1.2350694358618886,0.0025369682094395015,0.15747956626910137,0.008018763469771996,-0.07086580482109563,0.0011416356942477758,-0.0017753901905081084,1.5546878955006833,0.45,1
1780692403.522362471,1780692403.521937132,71,map,ego_position_cmd,0.34999296565264104,0.3522190073612321,1.2354672387745382,-0.0009985533125544239,0.15749683454368849,0.007929693912381673,-0.07087357554465983,-0.00044934899064949074,-0.0017955289629610026,1.5771363903015299,0.45,1
1780692403.566302299,1780692403.565934658,72,map,ego_position_cmd,0.3498574585021218,0.3599879292366377,1.235856257136588,-0.0044945681564869605,0.15743585632595483,0.007840624766103787,-0.07084613534667968,-0.002022555670419132,-0.0018152230175397797,1.5993371421005578,0.45,1
1780692403.610596657,1780692403.609937429,73,map,ego_position_cmd,0.3495529187441555,0.36768493702114363,1.2362375563381587,-0.007958221659514627,0.15729881343486998,0.0077513708610856625,-0.0707844660456915,-0.0035811997467815825,-0.0018345262896192858,1.621346243851076,0.45,1
1780692403.654413939,1780692403.653975248,74,map,ego_position_cmd,0.34905754393346466,0.37566770389297366,1.2366288188595582,-0.011550466751838153,0.15707589477005912,0.007657704451451448,-0.07068415264652661,-0.005197710038327169,-0.0018543339547651399,1.6441985196019233,0.45,1
1780692403.698354006,1780692403.697946787,75,map,ego_position_cmd,0.3483744592388914,0.3836932656477524,1.2370180103679156,-0.015161969541488594,0.1567685066575011,0.007562366510411591,-0.07054582799587551,-0.006822886293669868,-0.0018740367748757338,1.6672121109008005,0.45,1
1780692403.742322445,1780692403.741910696,76,map,ego_position_cmd,0.3475298547256894,0.39150903605651644,1.2373931351633518,-0.01867906622543241,0.15638843462656024,0.007468351092070088,-0.07037479558195212,-0.008405579801444586,-0.0018930274676446886,1.6896733650013631,0.45,1
1780692403.786668062,1780692403.786011219,76,map,ego_position_cmd,0.3475298547256894,0.39150903605651644,1.2373931351633518,-0.01867906622543241,0.15638843462656024,0.007468351092070088,-0.07037479558195212,-0.008405579801444586,-0.0018930274676446886,1.6896733650013631,0.45,1
1780692403.830600739,1780692403.830008984,77,map,ego_position_cmd,0.34650952757341863,0.3993066658865332,1.2377636761360575,-0.02218799964893994,0.15592928740803838,0.007373359391246266,-0.07016817933361728,-0.009984599842022974,-0.0019117861043879169,1.712142700199547,0.45,1
1780692403.874650478,1780692403.873998404,78,map,ego_position_cmd,0.34531092920228057,0.40709958120212064,1.2381303956932244,-0.025694811540954293,0.15538991814102626,0.007277186392527051,-0.06992546316346182,-0.011562665193429434,-0.0019303512819694815,1.7346704692496133,0.45,1
1780692403.918629885,1780692403.917983770,79,map,ego_position_cmd,0.3439892971543696,0.4145860932650584,1.2384794051253885,-0.029063741969276274,0.15479518371946632,0.007183582231244983,-0.06965783267375986,-0.013078683886174326,-0.0019480198844727965,1.7563916799001162,0.45,1
1780692403.962755442,1780692403.962000132,80,map,ego_position_cmd,0.3423861268441321,0.42260674999388037,1.2388498368259986,-0.03267303749724618,0.15407375707985946,0.007081927018212276,-0.06933319068593677,-0.01470286687376078,-0.0019667729893161788,1.779761664898979,0.45,1
1780692404.006458998,1780692404.006017923,81,map,ego_position_cmd,0.34067316521287777,0.43026079057571803,1.2392000724569172,-0.03611735575907311,0.153302924345795,0.006983538674499452,-0.06898631595560777,-0.0162528100915829,-0.001984503668131437,1.8021717846000684,0.45,1
1780692404.050415516,1780692404.049933672,82,map,ego_position_cmd,0.3387797963498818,0.43791046345647705,1.2395470092537475,-0.03955970855541466,0.15245090835744682,0.006883801583509512,-0.06860290876085108,-0.0178018688499366,-0.002002067343470967,1.8246879855007136,0.45,1
1780692404.094421387,1780692404.093930244,83,map,ego_position_cmd,0.3368909805780639,0.4448918711226128,1.239861002743579,-0.042701342005175766,0.15160094126012877,0.006791499157144311,-0.06822042356705794,-0.019215603902329098,-0.0020179632638936905,1.8453523666499678,0.45,1
