cohort,controller,contract,status,implementation_state,mworks_codegen_state,generated_sil_state,selectable,mission_status,provenance_status,pre_takeoff_status,takeoff_reached,landing_disarm,hover_xy_rmse_m,hover_z_rmse_m,trajectory_status,first_blocker,evidence_paths,claim_ceiling,px4_startup_backend,trajectory_xyz_rmse_m,trajectory_xyz_p95_m,trajectory_xyz_max_m
G9_CORE_COMPARISON,official_pid,generated_c_takeoff_hover_land_and_figure_eight,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,True,True,0.023873305858575323,0.01933217232399756,not_run,hover_xy_rmse_above_max:0.023873305858575323,Results/control_platform/controller_family_final_acceptance_20260717/g9_core/official_pid/takeoff_hover_land_retry2/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/controller_family_final_acceptance_20260717/g9_core/official_pid/takeoff_hover_land_retry2/G9_GENERATED_RUNTIME_PROVENANCE.json,executed_not_accepted,,,,
G9_CORE_COMPARISON,se3_basic,generated_c_takeoff_hover_land_and_figure_eight,not_run,implemented,passed,passed,False,,,,,,,,not_run,official_pid shared baseline blocked; controller gate not run,Docs/Workflows/g9_mworks_generated_runtime_closeout.md,offline_equivalence_only,,,,
G9_CORE_COMPARISON,dfbc_basic,generated_c_takeoff_hover_land_and_figure_eight,not_run,implemented,passed,passed,False,,,,,,,,not_run,official_pid shared baseline blocked; controller gate not run,Docs/Workflows/g9_mworks_generated_runtime_closeout.md,offline_equivalence_only,,,,
G9_CORE_COMPARISON,smc_boundary_layer,generated_c_takeoff_hover_land_and_figure_eight,not_run,implemented,passed,passed,False,,,,,,,,not_run,official_pid shared baseline blocked; controller gate not run,Docs/Workflows/g9_mworks_generated_runtime_closeout.md,offline_equivalence_only,,,,
G9_CORE_COMPARISON,pid_indi,generated_c_takeoff_hover_land_and_figure_eight,not_run,implemented,passed,passed,False,,,,,,,,not_run,official_pid shared baseline blocked; controller gate not run,Docs/Workflows/g9_mworks_generated_runtime_closeout.md,offline_equivalence_only,,,,
G9_CORE_COMPARISON,nmpc_outer,generated_c_takeoff_hover_land_and_figure_eight,not_run,implemented,passed,passed,False,,,,,,,,not_run,official_pid shared baseline blocked; controller gate not run,Docs/Workflows/g9_mworks_generated_runtime_closeout.md,offline_equivalence_only,,,,
P6_SAFETY,safety_supervisor_family,event_acknowledgement,accepted,implemented,passed,passed,True,passed,,,,,,,,,Results/control_platform/p6_safety_runtime_20260717/P6_SAFETY_RUNTIME_MATRIX.json,seven_generated_safety_modes_runtime_event_acknowledged,,,,
P7_FTC,fdi_ftc_family,physical_rotor_loss_isolation_takeover_landing,accepted,implemented,passed,passed,True,passed,,,,,,,,,Results/control_platform/p7_ftc_generated_gazebo_r3_20260717/P7_FTC_RUNTIME_CLOSEOUT.json,physical_rotor1_loss35_generated_ftc_runtime_accepted,,,,
P8_FORMATION,leader_follower,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,Results/control_platform/p8_formation_mode1_gazebo_r7_20260717/PX4CTRL_SWARM_BASIC_METRICS.json,three_uav_takeoff_hover_land_generated_formation,,,,
P8_FORMATION,virtual_structure,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,Results/control_platform/p8_formation_mode2_gazebo_r7_20260717/PX4CTRL_SWARM_BASIC_METRICS.json,three_uav_takeoff_hover_land_generated_formation,,,,
P8_FORMATION,consensus,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,Results/control_platform/p8_formation_mode3_gazebo_r3_20260717/PX4CTRL_SWARM_BASIC_METRICS.json,three_uav_takeoff_hover_land_generated_formation,,,,
P8_FORMATION,containment,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,Results/control_platform/p8_formation_mode4_gazebo_r3_20260717/PX4CTRL_SWARM_BASIC_METRICS.json,three_uav_takeoff_hover_land_generated_formation,,,,
P8_FORMATION,formation_tracking,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,Results/control_platform/p8_formation_mode5_gazebo_r1_20260717/PX4CTRL_SWARM_BASIC_METRICS.json,three_uav_takeoff_hover_land_generated_formation,,,,
P8_FORMATION,formation_reconfiguration,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,Results/control_platform/p8_formation_mode6_gazebo_r1_20260717/PX4CTRL_SWARM_BASIC_METRICS.json,three_uav_takeoff_hover_land_generated_formation,,,,
P8_FORMATION,fault_tolerant_formation,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,Results/control_platform/p8_formation_mode7_gazebo_r1_20260717/PX4CTRL_SWARM_BASIC_METRICS.json,three_uav_takeoff_hover_land_generated_formation,,,,
P8_FORMATION,formation_cbf,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,Results/control_platform/p8_formation_mode8_gazebo_r3_20260717/PX4CTRL_SWARM_BASIC_METRICS.json,three_uav_takeoff_hover_land_generated_formation,,,,
P8_FORMATION,distributed_mpc_formation,three_uav_generated_formation,accepted,implemented,passed,passed,True,passed,,,,,,,,,Results/control_platform/p8_formation_mode9_gazebo_r3_20260717/PX4CTRL_SWARM_BASIC_METRICS.json,three_uav_takeoff_hover_land_generated_formation,,,,
P9_LEARNING,trained_neural_residual,nominal_wind_parameter_mismatch_ab,executed_blocked,implemented,passed,passed,False,passed,passed_in_all_three_conditions,,,True,,,,strict performance acceptance blocked,Results/control_platform/p9_learning_gazebo_r4_20260717/P9_LEARNING_RUNTIME_CLOSEOUT.json,report_ready_runtime_execution_not_selectable,,,,
P9_LEARNING,rl_gain_scheduler,nominal_wind_parameter_mismatch_ab,executed_blocked,implemented,passed,passed,False,passed,passed_in_all_three_conditions,,,True,,,,strict performance acceptance blocked,Results/control_platform/p9_learning_gazebo_r4_20260717/P9_LEARNING_RUNTIME_CLOSEOUT.json,report_ready_runtime_execution_not_selectable,,,,
P10_CLASSIC_RECONCILIATION,lqr_baseline,canonical_controller_evidence_ladder,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,False,True,0.08034602062328605,0.959879602086737,not_run,takeoff_not_reached_altitude;hover_xy_rmse_above_max:0.08034602062328605;hover_xy_max_above_max:0.10970478441153539;hover_z_rmse_above_max:0.959879602086737;hover_z_max_above_max:1.003739873058633;truth_local_delta_error_bad_z:7.626872301120312,Results/control_platform/wave_a_generated_gazebo_20260718/lqr_baseline/takeoff_hover_land_retry3_px4_startup/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/wave_a_generated_gazebo_20260718/lqr_baseline/takeoff_hover_land_retry3_px4_startup/WAVE_A_GENERATED_RUNTIME_PROVENANCE.json,generated_c_gazebo_executed_hover_acceptance_blocked,file_backend,,,
P10_CLASSIC_RECONCILIATION,lqi_baseline,canonical_controller_evidence_ladder,executed_blocked,implemented,passed,passed,False,blocked,passed,passed,False,True,0.017279439234033005,0.9036430955712215,not_run,takeoff_not_reached_altitude;hover_z_rmse_above_max:0.9036430955712215;hover_z_max_above_max:0.9158721317054683;truth_local_delta_error_bad_z:6.656069827984391,Results/control_platform/wave_a_generated_gazebo_20260718/lqi_baseline/takeoff_hover_land_retry4_ram_dataman_wait120/PX4CTRL_BASIC_MISSION_METRICS.json;Results/control_platform/wave_a_generated_gazebo_20260718/lqi_baseline/takeoff_hover_land_retry4_ram_dataman_wait120/WAVE_A_GENERATED_RUNTIME_PROVENANCE.json;Results/control_platform/wave_a_generated_gazebo_20260718/lqi_baseline/takeoff_hover_land_retry4_ram_dataman_wait120/PX4_RAM_DATAMAN_RCS.json,generated_c_gazebo_executed_hover_acceptance_blocked,ram_dataman,,,
