time_s,desired_attitude_w,desired_attitude_x,desired_attitude_y,desired_attitude_z,desired_collective_thrust_n,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,position_error_x,position_error_y,position_error_z,velocity_error_x,velocity_error_y,velocity_error_z,scheduled_gain_x,scheduled_gain_y,scheduled_gain_z,saturated,status_code,algorithm_id_out
0.0,0.9811212102324111,0.06493179412141095,0.09560823022369547,0.15506159826906415,11.805382354133032,2.4524900399999994,-1.1541129599999997,11.49001168,1.0,-0.5,0.8,1.2009999999999998,-0.6004999999999999,0.8008000000000001,1.02,0.96,1.05,0.0,0.0,4.0
0.01,0.9810857448135185,0.0650841157351659,0.09582601409682946,0.1550876984966563,11.812488375745442,2.4595321200000004,-1.15742688,11.495475039999999,1.0,-0.5,0.8,1.202,-0.601,0.8016000000000001,1.02,0.96,1.05,0.0,0.0,4.0
0.02,0.9810534057638264,0.06522271571942463,0.09602414039730042,0.15511149813711336,11.818926599318404,2.46593874,-1.1604417599999999,11.50041508,1.0,-0.5,0.8,1.2029999999999998,-0.6014999999999999,0.8024,1.02,0.96,1.05,0.0,0.0,4.0
0.03,0.9810234078902587,0.0653510326129515,0.0962075340996711,0.155133574993503,11.824864590186944,2.471869275,-1.1632326,11.504963049999999,1.0,-0.5,0.8,1.204,-0.602,0.8032,1.02,0.96,1.05,0.0,0.0,4.0
0.04,0.9809951612514711,0.06547164060625826,0.09637988098713285,0.15515436319495307,11.830428113864173,2.4774432562499995,-1.1658556499999997,11.5092173875,1.0,-0.5,0.8,1.2049999999999998,-0.6024999999999999,0.804,1.02,0.96,1.05,0.0,0.0,4.0
0.05,0.9809682227293108,0.06558646734723766,0.0965439403442659,0.1551741888298751,11.835711552762268,2.4827503321875004,-1.1683530975000003,11.513251920624999,1.0,-0.5,0.8,1.206,-0.603,0.8048000000000001,1.02,0.96,1.05,0.0,0.0,4.0
0.06,0.9809422595582752,0.06569695662783097,0.09670177835293887,0.15519329678154767,11.840785731593096,2.4878577391406247,-1.1707565831249998,11.51712202046875,1.0,-0.5,0.8,1.2069999999999999,-0.6034999999999999,0.8056000000000001,1.02,0.96,1.05,0.0,0.0,4.0
0.07,0.9809170218842285,0.06580419000275994,0.09685494247197327,0.15521187092038888,11.845703794064837,2.492815904355469,-1.17308983734375,11.520869215351562,1.0,-0.5,0.8,1.208,-0.604,0.8064,1.02,0.96,1.05,0.0,0.0,4.0
0.08,0.9808923221302072,0.06590897776492625,0.09700459181987703,0.15523004928766757,11.850505615019056,2.4976626482666013,-1.1753706580078125,11.524524651513671,1.0,-0.5,0.8,1.2089999999999999,-0.6044999999999999,0.8072,1.02,0.96,1.05,0.0,0.0,4.0
0.09,0.9808680194881156,0.06601192703083536,0.09715159471562547,0.15524793550752358,11.85522111236625,2.5024263361999513,-1.1776123935058593,11.528111688635253,1.0,-0.5,0.8,1.21,-0.605,0.808,1.02,0.96,1.05,0.0,0.0,4.0
0.1,0.9808440082670682,0.06611349271351769,0.09729660168055802,0.15526560736114736,11.859872732809647,2.507128242149963,-1.1798250551293943,11.53164784647644,1.0,-0.5,0.8,1.2109999999999999,-0.6054999999999999,0.8088000000000001,1.02,0.96,1.05,0.0,0.0,4.0
0.11,0.9808202091415897,0.0662140156942214,0.09744010009195425,0.15528312322710236,11.864477317269207,2.5117843216124722,-1.1820161513470457,11.53514626485733,1.0,-0.5,0.8,1.212,-0.606,0.8096000000000001,1.02,0.96,1.05,0.0,0.0,4.0
0.12,0.9807965625792504,0.06631375141350478,0.09758245510961702,0.1553005269178894,11.869047500686854,2.516406541209354,-1.1841913135102844,11.538616798642998,1.0,-0.5,0.8,1.2129999999999999,-0.6064999999999999,0.8104,1.02,0.96,1.05,0.0,0.0,4.0
0.13,0.9807730239057169,0.06641289128956886,0.09772394032861076,0.15531785131158024,11.87359276237083,2.521003875907016,-1.1863547651327133,11.542066838982247,1.0,-0.5,0.8,1.214,-0.607,0.8112,1.02,0.96,1.05,0.0,0.0,4.0
0.14,0.9807495595996889,0.06651157876510563,0.09786476074025661,0.15533512107840283,11.878120214086703,2.5255830569302615,-1.1885096738495347,11.545501929236686,1.0,-0.5,0.8,1.2149999999999999,-0.6074999999999999,0.812,1.02,0.96,1.05,0.0,0.0,4.0
0.15,0.9807261445114364,0.06660992133079284,0.09800506993319942,0.15535235472765735,11.88263519135538,2.5301491326976966,-1.1906584153871511,11.548926226927515,1.0,-0.5,0.8,1.216,-0.608,0.8128000000000001,1.02,0.96,1.05,0.0,0.0,4.0
0.16,0.9807027597748346,0.06670799953476486,0.09814498298042477,0.15536956614429054,11.887141697087849,2.534705889523272,-1.1928027715403633,11.552342850195636,1.0,-0.5,0.8,1.2169999999999999,-0.6084999999999999,0.8136000000000001,1.02,0.96,1.05,0.0,0.0,4.0
0.17,0.9806793912400606,0.06680587373393125,0.09828458609473588,0.15538676574231342,11.891642734425876,2.5392561671424545,-1.1949440786552727,11.555754137646726,1.0,-0.5,0.8,1.218,-0.609,0.8144,1.02,0.96,1.05,0.0,0.0,4.0
0.18,0.9806560282971591,0.06690358915331074,0.09842394386333021,0.15540396133057338,11.896140556455014,2.5438020953568405,-1.1970833389914544,11.559161843235046,1.0,-0.5,0.8,1.2189999999999999,-0.6094999999999999,0.8152,1.02,0.96,1.05,0.0,0.0,4.0
0.19,0.980632662993025,0.06700117967751994,0.09856310466863441,0.15542115876259854,11.90063685354917,2.548345271517631,-1.1992213042435909,11.562567282426283,1.0,-0.5,0.8,1.22,-0.61,0.8160000000000001,1.02,0.96,1.05,0.0,0.0,4.0
0.2,0.9806092893686331,0.06709867069218887,0.09870210475020445,0.15543836242435558,11.905132893922833,2.5528868936382225,-1.201358538182693,11.565971441819713,1.0,-0.5,0.8,1.2209999999999999,-0.6104999999999999,0.8168000000000001,1.02,0.96,1.05,0.0,0.0,4.0
