time_s,desired_attitude_w,desired_attitude_x,desired_attitude_y,desired_attitude_z,desired_collective_thrust_n,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,position_error_x,position_error_y,position_error_z,velocity_error_x,velocity_error_y,velocity_error_z,scheduled_gain_x,scheduled_gain_y,scheduled_gain_z,saturated,status_code,algorithm_id_out
0.0,0.9801246198133742,0.06386453977195548,0.10503204648772659,0.15570908581712595,11.863299987740648,2.6784670134233157,-1.0971361057994253,11.504781328755524,1.0,-0.5,0.8,1.2009999999999998,-0.6004999999999999,0.8008000000000001,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.01,0.9800847678816179,0.0640140774786547,0.1052696413206312,0.15573807584279986,11.870674416455298,2.6861579637139394,-1.1002864224579707,11.510292623735381,1.0,-0.5,0.8,1.202,-0.601,0.8016000000000001,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.02,0.980048430326366,0.06415014461426671,0.10548578376729144,0.15576451002649724,11.877357037647583,2.6931549015435166,-1.1031524622801494,11.51527600715736,1.0,-0.5,0.8,1.2029999999999998,-0.6014999999999999,0.8024,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.03,0.9800147245553654,0.06427611677854432,0.1056858482394814,0.15578903025708665,11.883521448070196,2.6996318870196543,-1.1058055226266075,11.519863880595967,1.0,-0.5,0.8,1.204,-0.602,0.8032,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.04,0.9799829875019671,0.06439452100500098,0.105873856593448,0.15581211878825713,11.889297948079212,2.7057194652230563,-1.1082990765178289,11.524155545232082,1.0,-0.5,0.8,1.2049999999999998,-0.6024999999999999,0.804,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.05,0.9799527211565451,0.06450724960387957,0.10605281952962395,0.15583413783969946,11.894784328393976,2.711515544964252,-1.1106732287191774,11.52822547695137,1.0,-0.5,0.8,1.206,-0.603,0.8048000000000001,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.06,0.9799235515548276,0.06461571988348015,0.10622499137678913,0.15585535941735837,11.900053974616402,2.717093557851135,-1.1129580578046743,11.532129532668073,1.0,-0.5,0.8,1.2069999999999999,-0.6034999999999999,0.8056000000000001,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.07,0.9798951979242316,0.06472099354884361,0.10639206042862363,0.15587598774934483,11.905161954211183,2.7225085775896303,-1.1151761227048376,11.535909605067877,1.0,-0.5,0.8,1.208,-0.604,0.8064,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.08,0.9798674494864564,0.06482386601450096,0.10655529124330082,0.1558961761554666,11.91014958692523,2.727801909459177,-1.1173443426175542,11.539597113665046,1.0,-0.5,0.8,1.2089999999999999,-0.6044999999999999,0.8072,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.09,0.9798401480243735,0.06492493324437042,0.10671563109077586,0.15591603972550588,11.915047875784717,2.733004532419359,-1.1194754069412405,11.543215623095277,1.0,-0.5,0.8,1.21,-0.605,0.808,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.1,0.9798131747852603,0.06502464179144497,0.10687378961512232,0.15593566484427446,11.919880082333576,2.738139680689859,-1.121578832724707,11.54678280683534,1.0,-0.5,0.8,1.2109999999999999,-0.6054999999999999,0.8088000000000001,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.11,0.9797864406442164,0.06512332627014028,0.10703029847105434,0.1559551163458502,11.924663659333127,2.7432247799354443,-1.1236617577545636,11.550311919992819,1.0,-0.5,0.8,1.212,-0.606,0.8096000000000001,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.12,0.9797598787175815,0.06522123742325464,0.10718555597966511,0.15597444288606876,11.929411701114914,2.7482728994046863,-1.1257295353707664,11.553812903898397,1.0,-0.5,0.8,1.2129999999999999,-0.6064999999999999,0.8104,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.13,0.979733438816912,0.06531856314745242,0.10733986057268491,0.155993680976433,11.934134031896269,2.753293841034017,-1.1277861805782834,11.557293214550088,1.0,-0.5,0.8,1.214,-0.607,0.8112,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.14,0.9797070832853244,0.06541544424564413,0.10749343584349501,0.1560128580126275,11.938838022390728,2.7582949562757557,-1.1298347046308397,11.560758443946401,1.0,-0.5,0.8,1.2149999999999999,-0.6074999999999999,0.812,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.15,0.9796807838718965,0.06551198622974617,0.10764644931321288,0.15603199454803557,11.943529202523946,2.7632817587191476,-1.1318773659687298,11.56421278608622,1.0,-0.5,0.8,1.216,-0.608,0.8128000000000001,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.16,0.9796545193854613,0.0656082681646823,0.10779902648972367,0.1560511060003735,11.948211721151731,2.7682583835561214,-1.1339158584221738,11.567659386468707,1.0,-0.5,0.8,1.2169999999999999,-0.6084999999999999,0.8136000000000001,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.17,0.9796282739335259,0.0657043492956577,0.10795126140092615,0.1560702039327299,11.952888690977336,2.7732279321806286,-1.135951452363838,11.571100604218232,1.0,-0.5,0.8,1.218,-0.609,0.8144,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.18,0.9796020356004344,0.0658002740145009,0.108103224486743,0.15608929701510899,11.95756244733206,2.778192730638127,-1.137985100573221,11.574538208678078,1.0,-0.5,0.8,1.2189999999999999,-0.6094999999999999,0.8152,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.19,0.9795757954552474,0.06589607558143902,0.10825496851238424,0.15610839174614327,11.96223474232791,2.783154523462716,-1.1400175176349474,11.577973526855697,1.0,-0.5,0.8,1.22,-0.61,0.8160000000000001,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
0.2,0.9795495468071094,0.0659917789142499,0.10840653299909517,0.15612749299478287,11.966906890521258,2.7881146190549653,-1.142049239487485,11.58140755400669,1.0,-0.5,0.8,1.2209999999999999,-0.6104999999999999,0.8168000000000001,1.1139846886765674,0.9126062162645228,1.0592125960674712,0.0,0.0,3.0
