time_s,desired_attitude_w,desired_attitude_x,desired_attitude_y,desired_attitude_z,desired_collective_thrust_n,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,position_error_x,position_error_y,position_error_z,velocity_error_x,velocity_error_y,velocity_error_z,scheduled_gain_x,scheduled_gain_y,scheduled_gain_z,saturated,status_code,algorithm_id_out
0.0,0.9784083467368012,0.07689149353195054,0.11015496537797423,0.15706905761722356,12.036673478041248,2.8852823999999995,-1.3945531599999998,11.602235792,1.0,-0.5,0.8,1.2009999999999998,-0.6004999999999999,0.8008000000000001,1.2,1.1600000000000001,1.12,0.0,0.0,2.0
0.01,0.9783614129992511,0.07706843059133721,0.11039857101296909,0.1571036539313827,12.044742816142332,2.8935672000000006,-1.3985574800000005,11.608063376,1.0,-0.5,0.8,1.202,-0.601,0.8016000000000001,1.2,1.1600000000000001,1.12,0.0,0.0,2.0
0.02,0.9783186205852153,0.07722942560856699,0.11062017020705645,0.15713519777495474,12.052056690805907,2.9011044,-1.40220046,11.613332752,1.0,-0.5,0.8,1.2029999999999998,-0.6014999999999999,0.8024,1.2,1.1600000000000001,1.12,0.0,0.0,2.0
0.03,0.9782789295913159,0.0773784731575622,0.11082527551097401,0.15716445564245982,12.058804679355775,2.9080814999999998,-1.405572725,11.61818392,1.0,-0.5,0.8,1.204,-0.602,0.8032,1.2,1.1600000000000001,1.12,0.0,0.0,2.0
0.04,0.978241558942872,0.07751856317475415,0.11101801129664118,0.157192003257418,12.065129085017587,2.9146391249999994,-1.4087422437500001,11.62272188,1.0,-0.5,0.8,1.2049999999999998,-0.6024999999999999,0.804,1.2,1.1600000000000001,1.12,0.0,0.0,2.0
0.05,0.9782059221100946,0.07765193430405352,0.11120146445998323,0.15721827295048624,12.071136711748181,2.9208827437500005,-1.4117599928125004,11.627025382,1.0,-0.5,0.8,1.206,-0.603,0.8048000000000001,1.2,1.1600000000000001,1.12,0.0,0.0,2.0
0.06,0.978171578730754,0.07778026305666375,0.11137794602823657,0.1572435893152782,12.076907712269088,2.9268914578124994,-1.414664204609375,11.6311534885,1.0,-0.5,0.8,1.2069999999999999,-0.6034999999999999,0.8056000000000001,1.2,1.1600000000000001,1.12,0.0,0.0,2.0
0.07,0.9781381982298522,0.07790480517702732,0.11154918652235081,0.15726819602255754,12.082502234144693,2.9327245933593753,-1.4174835534570314,11.635150496375,1.0,-0.5,0.8,1.208,-0.604,0.8064,1.2,1.1600000000000001,1.12,0.0,0.0,2.0
0.08,0.9781055324758029,0.07802650136380053,0.11171648197083688,0.15729227597441203,12.087965410407161,2.938426645019531,-1.4202395450927734,11.63904962828125,1.0,-0.5,0.8,1.2089999999999999,-0.6044999999999999,0.8072,1.2,1.1600000000000001,1.12,0.0,0.0,2.0
0.09,0.9780733952366498,0.07814605637474775,0.11188080310896359,0.15731596644657628,12.093331106248682,2.944030983764649,-1.4229483088195805,11.642875801210938,1.0,-0.5,0.8,1.21,-0.605,0.808,1.2,1.1600000000000001,1.12,0.0,0.0,2.0
