time_s,desired_attitude_w,desired_attitude_x,desired_attitude_y,desired_attitude_z,desired_collective_thrust_n,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,position_error_x,position_error_y,position_error_z,velocity_error_x,velocity_error_y,velocity_error_z,scheduled_gain_x,scheduled_gain_y,scheduled_gain_z,saturated,status_code,algorithm_id_out
0.0,0.9774481661735384,0.08197103692567909,0.11392797389439273,0.15778545025963203,12.086012303321038,3.004402,-1.502201,11.609851599999999,1.0,-0.5,0.8,1.2009999999999998,-0.6004999999999999,0.8008000000000001,1.0,1.0,1.0,0.0,0.0,6.0
0.01,0.9774083043801898,0.08211781420565686,0.11412337122413631,0.15781485119964314,12.093157271326957,3.0113060000000003,-1.5056530000000001,11.6150548,1.0,-0.5,0.8,1.202,-0.601,0.8016000000000001,1.0,1.0,1.0,0.0,0.0,6.0
0.02,0.9773719652417056,0.08225140837872152,0.1143011795588385,0.15784165397873032,12.099632320446906,3.017587,-1.5087935,11.619759599999998,1.0,-0.5,0.8,1.2029999999999998,-0.6014999999999999,0.8024,1.0,1.0,1.0,0.0,0.0,6.0
0.03,0.977338264503953,0.08237512300633028,0.1144658054538128,0.15786651078649644,12.105605539352748,3.02340125,-1.511700625,11.624091,1.0,-0.5,0.8,1.204,-0.602,0.8032,1.0,1.0,1.0,0.0,0.0,6.0
0.04,0.9773065383789085,0.08249143134562827,0.11462054674146895,0.15788991120737075,12.111203073954389,3.0288659375,-1.51443296875,11.628142749999999,1.0,-0.5,0.8,1.2049999999999998,-0.6024999999999999,0.804,1.0,1.0,1.0,0.0,0.0,6.0
0.05,0.9772762886480802,0.08260218553395574,0.11476787229152523,0.15791222270908725,12.116519584270742,3.0340689531250002,-1.5170344765625001,11.6319851625,1.0,-0.5,0.8,1.206,-0.603,0.8048000000000001,1.0,1.0,1.0,0.0,0.0,6.0
0.06,0.97724714140485,0.08270877285272038,0.11490963083030195,0.15793372107213166,12.121626098229179,3.03907621484375,-1.519538107421875,11.635670971875,1.0,-0.5,0.8,1.2069999999999999,-0.6034999999999999,0.8056000000000001,1.0,1.0,1.0,0.0,0.0,6.0
0.07,0.9772188160607431,0.08281223255450691,0.11504720696076806,0.1579546132491992,12.126575908644048,3.0439371611328125,-1.5219685805664063,11.639239728906249,1.0,-0.5,0.8,1.208,-0.604,0.8064,1.0,1.0,1.0,0.0,0.0,6.0
0.08,0.9771911020697035,0.08291334326004865,0.11518163781937278,0.15797505453231037,12.131408999952274,3.048688870849609,-1.5243444354248046,11.642721096679686,1.0,-0.5,0.8,1.2089999999999999,-0.6044999999999999,0.8072,1.0,1.0,1.0,0.0,0.0,6.0
0.09,0.9771638414526126,0.08301268836915421,0.11531370034918222,0.15799516144198245,12.136155370722369,3.0533591531372073,-1.5266795765686036,11.646137322509766,1.0,-0.5,0.8,1.21,-0.605,0.808,1.0,1.0,1.0,0.0,0.0,6.0
0.1,0.9771369156789613,0.08311070503354737,0.11544397661771823,0.15801502140277943,12.140837527073838,3.057968864852905,-1.5289844324264525,11.649505091882324,1.0,-0.5,0.8,1.2109999999999999,-0.6054999999999999,0.8088000000000001,1.0,1.0,1.0,0.0,0.0,6.0
