t,phase,uav_a,uav_b,distance_m
6.308,init,2,3,1.4660079933573382
6.342,init,2,3,1.4660079933240218
6.376,init,2,3,1.4660079932907055
6.41,init,2,3,1.4660079932573893
6.444,init,2,3,1.466007993224073
6.478,init,2,3,1.4660079931907566
6.5120000000000005,init,2,3,1.4660079931574401
6.546,init,2,3,1.466007993124124
6.58,init,2,3,1.4660079930908079
6.614,init,2,3,1.4660079930574914
6.648,init,2,3,1.466007993024175
6.684,init,2,3,1.4660079929888992
6.718,init,2,3,1.4660079929555827
6.752,init,2,3,1.466007992928146
6.786,init,2,3,1.4660079928889502
6.82,init,2,3,1.4660079928556338
6.855,init,2,3,1.4660079928213376
6.889,init,2,3,1.4660079927880212
6.923,init,2,3,1.4660079927547052
6.957,init,2,3,1.4660079927213887
6.997,init,2,3,1.4660079926880722
7.031,takeoff,2,3,1.466007992648877
7.065,takeoff,2,3,1.4660079926155605
7.099,takeoff,2,3,1.4660079925822442
7.133,takeoff,2,3,1.4660079925489278
7.167,takeoff,2,3,1.4660079925165914
7.201,takeoff,2,3,1.4660079924822953
7.235,takeoff,2,3,1.466007992448979
7.269,takeoff,2,3,1.4660079924156626
7.303,takeoff,2,3,1.4660079923823461
7.337,takeoff,2,3,1.4660079923490301
7.371,takeoff,2,3,1.4660079923157139
7.405,takeoff,2,3,1.4660079922823974
7.439,takeoff,2,3,1.4660079922490814
7.473,takeoff,2,3,1.466007992215765
7.507,takeoff,2,3,1.4660079921824485
7.541,takeoff,2,3,1.4660079921491325
7.575,takeoff,2,3,1.4660079921158162
7.609,takeoff,2,3,1.4660079920824998
7.643,takeoff,2,3,1.4660079920491833
7.677,takeoff,2,3,1.466007992015867
7.711,takeoff,2,3,1.4660079919825508
7.745,takeoff,2,3,1.4660079919492346
7.779,takeoff,2,3,1.4660079919159181
7.813,takeoff,2,3,1.466007991882602
7.8469999999999995,takeoff,2,3,1.4660079918492857
7.881,takeoff,2,3,1.4660079918159694
7.915,takeoff,2,3,1.466007991782653
7.95,takeoff,2,3,1.466007991748357
7.984,takeoff,2,3,1.4660079917150406
8.018,takeoff,2,3,1.4660079916817241
8.052,takeoff,2,3,1.466007991648408
8.086,takeoff,2,3,1.4660079916150917
8.12,takeoff,2,3,1.4660079915817754
8.154,takeoff,2,3,1.466007991548459
8.188,takeoff,2,3,1.4660079915151427
8.222,takeoff,2,3,1.4660079914818265
8.256,takeoff,2,3,1.4660079914485102
8.29,takeoff,2,3,1.4660079914151938
8.324,takeoff,2,3,1.4660079913818778
8.358,takeoff,2,3,1.4660079913485613
8.392,takeoff,2,3,1.466007991315245
8.426,takeoff,2,3,1.4660079912819286
8.46,takeoff,2,3,1.4660079912486126
8.494,takeoff,2,3,1.4660079912152961
8.528,takeoff,2,3,1.4660079911819797
8.562,takeoff,2,3,1.4660079911486634
8.596,takeoff,2,3,1.4660079911153474
8.63,takeoff,2,3,1.466007991082031
8.664,takeoff,2,3,1.4660079910487145
8.698,takeoff,2,3,1.4660079910153982
8.732,takeoff,2,3,1.466007990982082
8.766,takeoff,2,3,1.4660079909487658
8.8,takeoff,2,3,1.4660079909154493
8.834,takeoff,2,3,1.466007990882133
8.868,takeoff,2,3,1.4660079908488166
8.902,takeoff,2,3,1.4660079908155006
8.936,takeoff,2,3,1.4660079907821841
8.97,takeoff,2,3,1.466007990748868
9.004,takeoff,2,3,1.4660079907155517
9.038,takeoff,2,3,1.4660079906822354
9.072,takeoff,2,3,1.466007990648919
9.106,takeoff,2,3,1.4660079906156025
9.14,takeoff,2,3,1.4660079905822865
9.174,takeoff,2,3,1.46600799054897
9.208,takeoff,2,3,1.4660079905156538
9.242,takeoff,2,3,1.4660079904823378
9.276,takeoff,2,3,1.4660079904490213
9.31,takeoff,2,3,1.4660079904157048
9.344,takeoff,2,3,1.4660079903823886
9.378,takeoff,2,3,1.4660079903490724
9.413,takeoff,2,3,1.4660079903147762
9.447,takeoff,2,3,1.4660079902814598
9.481,takeoff,2,3,1.4660079902481433
9.515,takeoff,2,3,1.4660079902148273
9.549,takeoff,2,3,1.4660079901815108
9.583,takeoff,2,3,1.4660079901481946
9.617,takeoff,2,3,1.4660079901148786
9.651,takeoff,2,3,1.4660079900815621
9.685,takeoff,2,3,1.4660079900482457
9.719,takeoff,2,3,1.4660079900149294
