t,mode_id,mode,minimum_pair_distance_input_m,formation_rmse_input_m,active_agents,failed_mask,safety_corrections,status_code
22.158,9,distributed_mpc_formation,1.5086809282767326,0.035410012995395604,3.0,0.0,0.0,1.0
22.178,9,distributed_mpc_formation,1.5086753692157489,0.03419357945089037,3.0,0.0,0.0,1.0
22.198,9,distributed_mpc_formation,1.508671720516869,0.032397972598115075,3.0,0.0,0.0,1.0
22.218,9,distributed_mpc_formation,1.5086578697668203,0.03122250262986331,3.0,0.0,0.0,1.0
22.238,9,distributed_mpc_formation,1.508616291080224,0.02949514461802862,3.0,0.0,0.0,1.0
22.258,9,distributed_mpc_formation,1.5086068822556098,0.028368644815539065,3.0,0.0,0.0,1.0
22.278,9,distributed_mpc_formation,1.5085825192753262,0.026724177526568475,3.0,0.0,0.0,1.0
22.298,9,distributed_mpc_formation,1.5084399187179593,0.02565119397183559,3.0,0.0,0.0,1.0
22.318,9,distributed_mpc_formation,1.5081691081622088,0.0240838085754258,3.0,0.0,0.0,1.0
22.338,9,distributed_mpc_formation,1.5079660234194388,0.02307522685602762,3.0,0.0,0.0,1.0
22.358,9,distributed_mpc_formation,1.5076417960933595,0.021632012945120866,3.0,0.0,0.0,1.0
22.378,9,distributed_mpc_formation,1.507417587217343,0.020723039840707343,3.0,0.0,0.0,1.0
22.398,9,distributed_mpc_formation,1.5070953354663443,0.01945509227938781,3.0,0.0,0.0,1.0
22.418,9,distributed_mpc_formation,1.5068850863126888,0.018679518187283386,3.0,0.0,0.0,1.0
22.438,9,distributed_mpc_formation,1.5065604433255815,0.017644688724549728,3.0,0.0,0.0,1.0
22.458,9,distributed_mpc_formation,1.506279467363496,0.017046428174902345,3.0,0.0,0.0,1.0
22.478,9,distributed_mpc_formation,1.5058502821845026,0.01630875267467226,3.0,0.0,0.0,1.0
22.498,9,distributed_mpc_formation,1.505538233931409,0.01594128640191893,3.0,0.0,0.0,1.0
22.518,9,distributed_mpc_formation,1.5050880449472832,0.015599304109576691,3.0,0.0,0.0,1.0
22.538,9,distributed_mpc_formation,1.504773086963333,0.015511247282571704,3.0,0.0,0.0,1.0
22.558,9,distributed_mpc_formation,1.5042809907676604,0.015576316767221232,3.0,0.0,0.0,1.0
22.578,9,distributed_mpc_formation,1.5039504081678785,0.015724981502895197,3.0,0.0,0.0,1.0
22.598,9,distributed_mpc_formation,1.5034661801727074,0.016049144790243806,3.0,0.0,0.0,1.0
22.618,9,distributed_mpc_formation,1.503165956344918,0.01629351327504842,3.0,0.0,0.0,1.0
22.638,9,distributed_mpc_formation,1.5026945481626026,0.016676701033942552,3.0,0.0,0.0,1.0
