controller_id,climbpath_position_rmse_m,control_energy,terminal_position_error_m
h_2_state_feedback,0.08974783356659306,836836.8556060842,0.0006048702068405875
lqg,0.2427607354330561,839718.7447919312,0.0035707744599062347
lqi,0.21221954634435072,836329.6620929877,0.022064896641067727
lqr_baseline,0.20429428437790634,832169.2044319818,0.0027137995146974798
