time,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,sliding_surface_x,sliding_surface_y,sliding_surface_z,auxiliary_state_x,auxiliary_state_y,auxiliary_state_z,effective_reaching_gain_x,effective_reaching_gain_y,effective_reaching_gain_z
0.0,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.01,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.02,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.03,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.04,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.05,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.06,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.07,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.08,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.09,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.1,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.11,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.12,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.13,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.14,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.15,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.16,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.17,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.18,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.19,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
0.2,4.818,2.824888888888889,14.766649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,3.2,3.088888888888889,4.0
