time,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,sliding_surface_x,sliding_surface_y,sliding_surface_z,auxiliary_state_x,auxiliary_state_y,auxiliary_state_z,effective_reaching_gain_x,effective_reaching_gain_y,effective_reaching_gain_z
0.0,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.01,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.02,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.03,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.04,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.05,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.06,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.07,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.08,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.09,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.1,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.11,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.12,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.13,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.14,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.15,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.16,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.17,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.18,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.19,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
0.2,4.018351690783981,2.0661322404325695,13.708071356237308,1.6104396134799763,0.48266530054071144,0.9414213562373095,0.0,0.0,0.0,2.2,2.2,2.8
