time,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,sliding_surface_x,sliding_surface_y,sliding_surface_z,auxiliary_state_x,auxiliary_state_y,auxiliary_state_z,effective_reaching_gain_x,effective_reaching_gain_y,effective_reaching_gain_z
0.0,3.818,1.9360000000000002,13.56665,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.2,2.2,2.8
0.01,3.82848,1.93816,13.57415,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.21048,2.20216,2.8074999999999997
0.02,3.8389599999999997,1.94032,13.58165,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.22096,2.20432,2.8149999999999995
0.03,3.8494399999999995,1.94248,13.589149999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.2314399999999996,2.20648,2.8224999999999993
0.04,3.8599199999999994,1.94464,13.596649999999999,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.2419199999999995,2.20864,2.829999999999999
0.05,3.870399999999999,1.9467999999999999,13.604149999999999,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.2523999999999993,2.2108,2.837499999999999
0.06,3.880879999999999,1.9489599999999998,13.611649999999997,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.262879999999999,2.21296,2.844999999999999
0.07,3.891359999999999,1.9511199999999997,13.619149999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.273359999999999,2.2151199999999998,2.8524999999999987
0.08,3.9018399999999986,1.9532799999999997,13.626649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.2838399999999988,2.2172799999999997,2.8599999999999985
0.09,3.9123199999999985,1.9554399999999996,13.634149999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.2943199999999986,2.2194399999999996,2.8674999999999984
0.1,3.9227999999999983,1.9575999999999996,13.641649999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.3047999999999984,2.2215999999999996,2.8749999999999982
0.11,3.933279999999998,1.9597599999999995,13.649149999999997,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.3152799999999982,2.2237599999999995,2.882499999999998
0.12,3.943759999999998,1.9619199999999994,13.656649999999997,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.325759999999998,2.2259199999999995,2.889999999999998
0.13,3.9542399999999978,1.9640799999999994,13.664149999999998,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.336239999999998,2.2280799999999994,2.8974999999999977
0.14,3.9647199999999976,1.9662399999999993,13.671649999999996,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.3467199999999977,2.2302399999999993,2.9049999999999976
0.15,3.9751999999999974,1.9683999999999993,13.679149999999996,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.3571999999999975,2.2323999999999993,2.9124999999999974
0.16,3.9856799999999972,1.9705599999999992,13.686649999999997,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.3676799999999973,2.234559999999999,2.9199999999999973
0.17,3.996159999999997,1.9727199999999991,13.694149999999997,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.378159999999997,2.236719999999999,2.927499999999997
0.18,4.006639999999997,1.974879999999999,13.701649999999997,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.388639999999997,2.238879999999999,2.934999999999997
0.19,4.017119999999997,1.977039999999999,13.709149999999996,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.399119999999997,2.241039999999999,2.942499999999997
0.2,4.027599999999996,1.979199999999999,13.716649999999996,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.0,0.0,0.0,2.4095999999999966,2.243199999999999,2.9499999999999966
