time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,eta_hat1,eta_hat2,eta_hat3,eta_hat4,fault_index
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.01,-1.0673304173281679e-08,-1.0673277100057072e-08,1.5573448022849264e-06,0.0,0.0,0.02,-4.484794058107779e-07,4.4848054225612795e-07,2.0462955732326968e-13,1.1028182395971797,-1.1028593846658081,1.1028182394936041,-1.1027770944220818,1.0,1.0,1.0,1.0,0.0
0.02,-3.3861521198553045e-07,-3.386144151010502e-07,3.1276728031678754e-06,0.0,0.0,0.04,-1.422893673369072e-05,1.422897021485744e-05,1.0227462516603299e-10,2.1004726708059147,-2.1017104956538275,2.1004726678953873,-2.099234841601311,1.0,1.0,1.0,1.0,0.0
0.03,-1.8321983994667643e-06,-1.832194126085253e-06,4.722086741567186e-06,0.0,0.0,0.06,-7.700915845639416e-05,7.700933784108438e-05,2.9669038950642416e-09,3.005298602003044,-3.0116690957588195,3.0052985871760156,-2.998928051468218,1.0,1.0,1.0,1.0,0.0
0.04,-5.660909214656235e-06,-5.660896224354045e-06,6.349086542745628e-06,0.0,0.0,0.08,-0.0002380824703568737,0.0002380830099532428,2.834240023324489e-08,3.8281900369475954,-3.8469619529758785,3.828189994578531,-3.809417677788708,1.0,1.0,1.0,1.0,0.0
0.05,-1.3068681205509272e-05,-1.3068652103162632e-05,8.014628860349833e-06,0.0,0.0,0.1,-0.000550327769159422,0.000550328911417706,1.514111956947572e-07,4.578768750548296,-4.6201794279102435,4.578768666349181,-4.537355848032926,1.0,1.0,1.0,1.0,0.0
0.06,-2.5128259229734213e-05,-2.5128205762573894e-05,9.72267732306106e-06,0.0,0.0,0.12,-0.0010605023640117806,0.001060504024720302,5.622137436872396e-07,5.2655336068749,-5.3417320830493775,5.265533499231578,-5.1893270733547645,1.0,1.0,1.0,1.0,0.0
0.07,-4.249229352722316e-05,-4.2492207704860356e-05,1.147568633938983e-05,0.0,0.0,0.14,-0.0017997057244498115,0.001799706447125338,1.6190173304362432e-06,5.896012211486962,-6.019459704382274,5.896012217507175,-5.77254183170681,1.0,1.0,1.0,1.0,0.0
0.08,-6.517508863745294e-05,-6.5174959221662e-05,1.3274987996987435e-05,0.0,0.0,0.16,-0.002775357151844123,0.0027753519789007054,3.849951229597714e-06,6.4768723413530465,-6.65844150357866,6.4768728802141124,-6.295249279678111,1.0,1.0,1.0,1.0,0.0
0.09,-9.246259439926876e-05,-9.246238978770877e-05,1.5121080705508963e-05,0.0,0.0,0.18,-0.00396815408366917,0.003968131612239031,7.869756636703526e-06,7.013885957107851,-7.261148628556358,7.013887935524405,-6.766513985717054,1.0,1.0,1.0,1.0,0.0
