time,command,outer_command,unsaturated_command,integral,scheduled_gain
0.0,0.5382774015685173,0.0,0.5382774015685173,0.00445593875470627,1.1139846886765674
0.01,0.5418421525722824,0.0,0.5418421525722824,0.00891187750941254,1.1139846886765674
0.02,0.5454069035760474,0.0,0.5454069035760474,0.013367816264118811,1.1139846886765674
0.03,0.5489716545798125,0.0,0.5489716545798125,0.01782375501882508,1.1139846886765674
0.04,0.5525364055835774,0.0,0.5525364055835774,0.02227969377353135,1.1139846886765674
0.05,0.5561011565873425,0.0,0.5561011565873425,0.02673563252823762,1.1139846886765674
0.06,0.5596659075911075,0.0,0.5596659075911075,0.03119157128294389,1.1139846886765674
0.07,0.5632306585948725,0.0,0.5632306585948725,0.03564751003765016,1.1139846886765674
0.08,0.5667954095986375,0.0,0.5667954095986375,0.04010344879235643,1.1139846886765674
0.09,0.5703601606024026,0.0,0.5703601606024026,0.0445593875470627,1.1139846886765674
0.1,0.5739249116061675,0.0,0.5739249116061675,0.04901532630176897,1.1139846886765674
0.11,0.5774896626099326,0.0,0.5774896626099326,0.05347126505647524,1.1139846886765674
0.12,0.5810544136136976,0.0,0.5810544136136976,0.05792720381118151,1.1139846886765674
0.13,0.5846191646174626,0.0,0.5846191646174626,0.06238314256588778,1.1139846886765674
0.14,0.5881839156212276,0.0,0.5881839156212276,0.06683908132059405,1.1139846886765674
0.15,0.5917486666249926,0.0,0.5917486666249926,0.07129502007530032,1.1139846886765674
0.16,0.5953134176287577,0.0,0.5953134176287577,0.0757509588300066,1.1139846886765674
0.17,0.5988781686325226,0.0,0.5988781686325226,0.08020689758471287,1.1139846886765674
0.18,0.6024429196362877,0.0,0.6024429196362877,0.08466283633941915,1.1139846886765674
0.19,0.6060076706400527,0.0,0.6060076706400527,0.08911877509412543,1.1139846886765674
0.2,0.6095724216438178,0.0,0.6095724216438178,0.0935747138488317,1.1139846886765674
