time,command,outer_command,unsaturated_command,integral,scheduled_gain
0.0,0.492864,0.0,0.492864,0.00408,1.02
0.01,0.496128,0.0,0.496128,0.00816,1.02
0.02,0.49939200000000006,0.0,0.49939200000000006,0.012240000000000001,1.02
0.03,0.502656,0.0,0.502656,0.01632,1.02
0.04,0.50592,0.0,0.50592,0.0204,1.02
0.05,0.5091840000000001,0.0,0.5091840000000001,0.024480000000000002,1.02
0.06,0.512448,0.0,0.512448,0.028560000000000002,1.02
0.07,0.5157120000000001,0.0,0.5157120000000001,0.03264,1.02
0.08,0.518976,0.0,0.518976,0.03672,1.02
0.09,0.52224,0.0,0.52224,0.0408,1.02
0.1,0.5255040000000001,0.0,0.5255040000000001,0.04488,1.02
0.11,0.528768,0.0,0.528768,0.048960000000000004,1.02
0.12,0.5320320000000001,0.0,0.5320320000000001,0.053040000000000004,1.02
0.13,0.535296,0.0,0.535296,0.057120000000000004,1.02
0.14,0.53856,0.0,0.53856,0.061200000000000004,1.02
0.15,0.5418240000000001,0.0,0.5418240000000001,0.06528,1.02
0.16,0.545088,0.0,0.545088,0.06936,1.02
0.17,0.5483520000000001,0.0,0.5483520000000001,0.07344,1.02
0.18,0.551616,0.0,0.551616,0.07752,1.02
0.19,0.55488,0.0,0.55488,0.0816,1.02
0.2,0.5581440000000001,0.0,0.5581440000000001,0.08568,1.02
