time,command,outer_command,unsaturated_command,integral,scheduled_gain
0.0,0.6332,0.0,0.6332,0.004,1.0
0.01,0.6364,0.0,0.6364,0.008,1.0
0.02,0.6396,0.0,0.6396,0.012,1.0
0.03,0.6427999999999999,0.0,0.6427999999999999,0.016,1.0
0.04,0.646,0.0,0.646,0.02,1.0
0.05,0.6492,0.0,0.6492,0.024,1.0
0.06,0.6524,0.0,0.6524,0.028,1.0
0.07,0.6556,0.0,0.6556,0.032,1.0
0.08,0.6588,0.0,0.6588,0.036000000000000004,1.0
0.09,0.662,0.0,0.662,0.04000000000000001,1.0
0.1,0.6652,0.0,0.6652,0.04400000000000001,1.0
0.11,0.6684,0.0,0.6684,0.048000000000000015,1.0
0.12,0.6716,0.0,0.6716,0.05200000000000002,1.0
0.13,0.6748000000000001,0.0,0.6748000000000001,0.05600000000000002,1.0
0.14,0.678,0.0,0.678,0.060000000000000026,1.0
0.15,0.6812,0.0,0.6812,0.06400000000000003,1.0
0.16,0.6844,0.0,0.6844,0.06800000000000003,1.0
0.17,0.6876,0.0,0.6876,0.07200000000000004,1.0
0.18,0.6908000000000001,0.0,0.6908000000000001,0.07600000000000004,1.0
0.19,0.6940000000000001,0.0,0.6940000000000001,0.08000000000000004,1.0
0.2,0.6972,0.0,0.6972,0.08400000000000005,1.0
