time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,eta_hat
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0
0.01,2.6782309654349433e-11,-2.8926314355927877e-11,-6.74718454524047e-06,0.0,0.0,0.02,5.90045202736107e-08,5.463113023634767e-08,-3.1487429317475977e-15,1.1109340491291884,-1.1109293110416179,1.1109241412617603,-1.1109288793493897,1.0
0.02,8.516560513684892e-10,-9.198252180155672e-10,-1.3419431290806203e-05,0.0,0.0,0.04,1.8715336276352386e-06,1.7328324177907058e-06,-1.6788491477853634e-12,2.1159684108837005,-2.115824367151711,2.1156682630828967,-2.1158123068465557,1.0
0.03,4.672474312315624e-09,-5.046242823279634e-09,-1.986007975817908e-05,0.0,0.0,0.06,1.0148027480751832e-05,9.396381105840023e-06,-4.9151617023611724e-11,3.027876962710468,-3.0271267426707276,3.0263189821081404,-3.0270692030642126,1.0
0.04,1.499436203696928e-08,-1.6191153132497246e-08,-2.6015155769941346e-05,0.0,0.0,0.08,3.1607503789229725e-05,2.9271374016869614e-05,-4.766189173396997e-10,3.858078913408719,-3.855829797141734,3.8534229552519443,-3.8556720803050615,1.0
0.05,3.724491019468446e-08,-4.0202392071698524e-08,-3.1846944401178563e-05,0.0,0.0,0.1,7.41542848605832e-05,6.870180934967452e-05,-2.6226207713868375e-09,4.616728190706494,-4.611641000321978,4.606227764428537,-4.611315002638985,1.0
0.06,8.047644521359366e-08,-8.680857128729352e-08,-3.733042842925662e-05,0.0,0.0,0.12,0.00014631111466309455,0.00013565979589402066,-1.0208639040129598e-08,5.3128229762365535,-5.303132340664806,5.292872604211912,-5.3025634240179755,1.0
0.07,1.602582224161084e-07,-1.7269597068905227e-07,-4.2450240054411084e-05,0.0,0.0,0.14,0.00025670109630837693,0.0002383225350267089,-3.1425728482277226e-08,5.954309410412099,-5.937874214312975,5.920548499278096,-5.936984256815373,1.0
0.08,3.0277748873694594e-07,-3.2584864257034717e-07,-4.719820424758928e-05,0.0,0.0,0.16,0.00041358100001852,0.0003847129402026734,-8.159310812804957e-08,6.548180871786633,-6.522556265125404,6.495634946445415,-6.521260996614341,1.0
0.09,5.500932354085893e-07,-5.910597955367734e-07,-5.1571414819879806e-05,0.0,0.0,0.18,0.0006244381131983058,0.0005824032330654104,-1.8608511247167646e-07,7.100569808152925,-7.063093234059952,7.023813706917718,-7.0612935419688085,1.0
0.1,9.686425284786833e-07,-1.0387783638239177e-06,-5.5570764168817964e-05,0.0,0.0,0.2,0.0008957608186171046,0.0008383972496314214,-3.8320324995524784e-07,7.61693175342856,-7.56481614605711,7.510261424345773,-7.5623836821082655,1.0
0.11,1.6495477516481817e-06,-1.7651323574658798e-06,-5.9199475317348964e-05,0.0,0.0,0.22000000000000003,0.0012323915033030971,0.0011584610850883937,-7.260273002388836e-07,8.101765131152735,-8.032195820736568,7.959378439265147,-8.02896023752723,1.0
0.12,2.7214024377010766e-06,-2.904983099001781e-06,-6.24626342512896e-05,0.0,0.0,0.24,0.0016379112439454942,0.001547541053916295,-1.2839717883866384e-06,8.559128689993948,-8.4693466305733,8.375278803854505,-8.465082757432048,1.0
0.13,4.362130986988306e-06,-4.643487516957114e-06,-6.536636656691693e-05,0.0,0.0,0.26,0.0021142873186079498,0.0020093536673924913,-2.1423709939541963e-06,8.992552038817761,-8.879939116767474,8.7617123428873,-8.874361480790522,1.0
0.14,6.796292612339395e-06,-7.212560406662037e-06,-6.791717466612028e-05,0.0,0.0,0.28,0.002662031321770438,0.0025463009466060787,-3.4014668430064303e-06,9.405066120913135,-9.267204842483693,9.122056968417503,-9.259975263242513,1.0
0.15,1.0310650598130235e-05,-1.0905687956905881e-05,-7.01216732704798e-05,0.0,0.0,0.3,0.003280148961754077,0.0031592140712508035,-5.173081524466599e-06,9.799242875589227,-9.633968644288325,9.459359252113595,-9.624719481182899,1.0
0.16,1.5254221710273077e-05,-1.607712568231836e-05,-7.198638346564896e-05,0.0,0.0,0.32,0.003966449529517242,0.0038474032652077305,-7.577386870138545e-06,10.177294636167908,-9.98272678080851,9.776404071057827,-9.97109688178835,1.0
0.17,2.2060710393136998e-05,-2.3162669826757665e-05,-7.351744916545626e-05,0.0,0.0,0.34,0.004717526115732971,0.004608166195988112,-1.0736780670687702e-05,10.541053748280877,-10.315612001758312,10.075693316085578,-10.301310720886542,1.0
0.18,3.122472690899489e-05,-3.2656237817595824e-05,-7.472065489654287e-05,0.0,0.0,0.36,0.005529329162570445,0.0054373907333570256,-1.477329776634795e-05,10.892127513636698,-10.634531687265369,10.359554861936683,-10.617390524493242,1.0
0.19,4.3322994274647474e-05,-4.5129766985226606e-05,-7.560128160779956e-05,0.0,0.0,0.38,0.006397169947908378,0.006329127081576765,-1.9802229509451433e-05,11.231873757480436,-10.941131632160587,10.630115205651727,-10.921176400787513,1.0
0.2,5.902471923552781e-05,-6.124343463064427e-05,-7.616387147519093e-05,0.0,0.0,0.4,0.007315782981092057,0.007275482391692427,-2.5926582301128372e-05,11.561396385323532,-11.23678675715729,10.889284287576846,-11.214308606994575,1.0
0.21,7.908270027705981e-05,-8.17377533656737e-05,-7.641245143063029e-05,0.0,0.0,0.42000000000000004,0.008279673672345073,0.008267031768833238,-3.323403246056165e-05,11.881642534051307,-11.522688573439558,11.138813502002064,-11.49829524742025,1.0
0.22,0.00010433953454075939,-0.00010744158942911321,-7.63503892010803e-05,0.0,0.0,0.44000000000000006,0.009283006725562827,0.009292927644700242,-4.17908128785741e-05,12.193382514323359,-11.799832491286647,11.380267815805837,-11.774476901507231,1.0
0.23,0.00013571656830533096,-0.00013926455987509542,-7.59804976025665e-05,0.0,0.0,0.4600000000000001,0.01031982303762739,0.010341593321423922,-5.164166871565709e-05,12.497297025105434,-12.069107111873674,11.615067967361991,-12.044066791981738,1.0
0.24,0.00017420617712491678,-0.0001781941036633386,-7.530506302864984e-05,0.0,0.0,0.48,0.011383809385424652,0.01140131691782394,-6.280296392385642e-05,12.793983794701225,-12.331318062745247,11.844484716066855,-12.308127723934945,1.0
0.25,0.00022087279771569336,-0.00022529929984132656,-7.43258178391183e-05,0.0,0.0,0.5,0.012468299437448243,0.01246058183960184,-7.525996242656258e-05,13.083982176752844,-12.587215429232987,12.069642983313141,-12.567573362872434,1.0
