index,x,y,z
0,-36.0,-26.0,1.0
1,-33.62449769395013,-23.665047486152176,1.0
2,-31.28116898879433,-21.409930619310703,1.0
3,-29.023765400727243,-19.367862710879756,1.0
4,-26.95328475858982,-17.79807731559674,1.0
5,-25.266453517317878,-16.979181138321582,1.0
6,-23.626444276067353,-16.3829528360836,1.0
7,-21.485675413649727,-15.876963072093927,1.0
8,-19.27033116886973,-16.139579677614872,1.0
9,-17.613513172787698,-16.54693222070088,1.0
10,-16.53561207689461,-16.054559346361177,1.0
11,-14.30398183288887,-13.965977801708865,1.0
12,-12.015081568097754,-11.847976190230362,1.0
13,-9.748263623656808,-9.624889509559454,1.0
14,-7.596127879509496,-7.4112213484424885,1.0
15,-5.7093146889783535,-5.32475691826662,1.0
16,-3.4605169224685635,-3.151490820997656,1.0
17,-1.1073606828624445,-0.9548153795142215,1.0
18,1.3187972594570507,1.118768677270418,1.0
19,3.8164909943016245,2.856021763766145,1.0
20,6.170182091725296,4.601868334455288,1.0
21,8.33449697046906,6.4568584852332185,1.0
22,10.170827991142954,8.08472074789203,1.0
23,11.255058759098874,8.678682398776491,1.0
24,12.36719839713962,8.851103515750925,1.0
25,13.374938265568083,9.419633070465371,1.0
26,15.675209123488036,11.578033865149266,1.0
27,18.02682596546783,13.723494449866857,1.0
28,20.39797573070761,15.942295967858447,1.0
29,22.76267157739877,18.10798499996559,1.0
30,25.087166547712325,20.06030650194656,1.0
31,27.31556339660406,22.015936593078482,1.0
32,29.344823231146172,23.704888658714342,1.0
33,30.987389292902627,24.752394546971164,1.0
34,33.51846010776162,25.333227203061366,1.0
35,36.0,26.0,1.0
