t,mode_id,mode,minimum_pair_distance_input_m,formation_rmse_input_m,active_agents,failed_mask,safety_corrections,status_code
17.12,7,fault_tolerant_formation,1.489165218043149,0.03314254307149123,2.0,2.0,0.0,1.0
17.141,7,fault_tolerant_formation,1.4890959824089438,0.03186878455387037,2.0,2.0,0.0,1.0
17.16,7,fault_tolerant_formation,1.4890284309650288,0.029978136251323954,2.0,2.0,0.0,1.0
17.18,7,fault_tolerant_formation,1.4890080638887582,0.028737001997743244,2.0,2.0,0.0,1.0
17.2,7,fault_tolerant_formation,1.4889769997125986,0.026913511195028723,2.0,2.0,0.0,1.0
17.22,7,fault_tolerant_formation,1.4890048822829431,0.025725814856098258,2.0,2.0,0.0,1.0
17.24,7,fault_tolerant_formation,1.489017785924247,0.023989882600884117,2.0,2.0,0.0,1.0
17.26,7,fault_tolerant_formation,1.4890470645898106,0.022865255886423616,2.0,2.0,0.0,1.0
17.28,7,fault_tolerant_formation,1.4890750828771768,0.021231622049369663,2.0,2.0,0.0,1.0
17.301,7,fault_tolerant_formation,1.489096967093893,0.02017777167097621,2.0,2.0,0.0,1.0
17.32,7,fault_tolerant_formation,1.4891676095705586,0.018666257624491554,2.0,2.0,0.0,1.0
17.34,7,fault_tolerant_formation,1.4891585459379464,0.017705665217344468,2.0,2.0,0.0,1.0
17.36,7,fault_tolerant_formation,1.4891997214436439,0.01636987994494268,2.0,2.0,0.0,1.0
17.38,7,fault_tolerant_formation,1.4891234987739876,0.015555926177255009,2.0,2.0,0.0,1.0
17.4,7,fault_tolerant_formation,1.489164182135411,0.01448395234996561,2.0,2.0,0.0,1.0
17.42,7,fault_tolerant_formation,1.4890103280471683,0.013884919267135358,2.0,2.0,0.0,1.0
17.44,7,fault_tolerant_formation,1.488982339979627,0.01319954452147791,2.0,2.0,0.0,1.0
17.46,7,fault_tolerant_formation,1.4887693011921224,0.01289277095145615,2.0,2.0,0.0,1.0
17.48,7,fault_tolerant_formation,1.4887289848641307,0.012710805914727015,2.0,2.0,0.0,1.0
