t,phase,uav_a,uav_b,distance_m
6.054,init,2,3,1.4660079935845405
6.088,init,2,3,1.4660079935512245
6.122,init,2,3,1.466007993517908
6.156,init,2,3,1.4660079934845918
6.19,init,2,3,1.4660079934512755
6.224,init,2,3,1.4660079934179593
6.258,init,2,3,1.4660079933846428
6.292,init,2,3,1.4660079933513264
6.326,init,2,3,1.4660079933180103
6.36,init,2,3,1.4660079932846939
6.394,init,2,3,1.4660079932513777
6.428,init,2,3,1.4660079932180612
6.463,init,2,3,1.4660079931837653
6.497,init,2,3,1.4660079931504488
6.531,init,2,3,1.4660079931171326
6.5649999999999995,init,2,3,1.4660079930838161
6.599,init,2,3,1.4660079930505001
6.633,init,2,3,1.4660079930171837
6.667,init,2,3,1.4660079929838672
6.701,init,2,3,1.466007992950551
6.735,init,2,3,1.4660079929172345
6.769,init,2,3,1.4660079928839185
6.803,takeoff,2,3,1.466007992850602
6.837,takeoff,2,3,1.4660079928172858
6.871,takeoff,2,3,1.4660079927839695
6.905,takeoff,2,3,1.4660079927506533
6.939,takeoff,2,3,1.4660079927173368
6.973,takeoff,2,3,1.4660079926840208
7.007,takeoff,2,3,1.4660079926507044
7.041,takeoff,2,3,1.4660079926173881
7.075,takeoff,2,3,1.4660079925840717
7.109,takeoff,2,3,1.4660079925507556
7.143,takeoff,2,3,1.4660079925174392
7.177,takeoff,2,3,1.4660079924831428
7.211,takeoff,2,3,1.4660079924508065
7.245,takeoff,2,3,1.46600799241749
7.279,takeoff,2,3,1.466007992384174
7.313,takeoff,2,3,1.4660079923508575
7.3469999999999995,takeoff,2,3,1.4660079923175413
7.381,takeoff,2,3,1.4660079922842248
7.416,takeoff,2,3,1.466007992249929
7.45,takeoff,2,3,1.4660079922166125
7.484,takeoff,2,3,1.466007992183296
7.518,takeoff,2,3,1.46600799214998
7.552,takeoff,2,3,1.4660079921166638
7.586,takeoff,2,3,1.4660079920833473
7.62,takeoff,2,3,1.4660079920500309
7.654,takeoff,2,3,1.4660079920167148
