t,phase,uav_a,uav_b,distance_m
6.056,init,2,3,1.4660079935831354
6.09,init,2,3,1.4660079935498191
6.124,init,2,3,1.4660079935165027
6.158,init,2,3,1.4660079934831864
6.192,init,2,3,1.4660079934498702
6.226,init,2,3,1.466007993416554
6.26,init,2,3,1.4660079933832375
6.294,init,2,3,1.4660079933499215
6.328,init,2,3,1.466007993316605
6.362,init,2,3,1.4660079932832888
6.396,init,2,3,1.4660079932499723
6.43,init,2,3,1.4660079932166563
6.464,init,2,3,1.4660079931833399
6.498,init,2,3,1.4660079931500236
6.532,init,2,3,1.4660079931167072
6.566,init,2,3,1.4660079930833911
6.6,init,2,3,1.4660079930500747
6.634,init,2,3,1.4660079930167582
6.668,init,2,3,1.466007992983442
6.702,init,2,3,1.4660079929501255
6.736,init,2,3,1.4660079929168095
6.77,init,2,3,1.466007992883493
6.804,takeoff,2,3,1.4660079928501768
6.838,takeoff,2,3,1.4660079928168603
6.872,takeoff,2,3,1.4660079927835443
6.906,takeoff,2,3,1.4660079927502279
6.9399999999999995,takeoff,2,3,1.4660079927169116
6.974,takeoff,2,3,1.4660079926835954
7.008,takeoff,2,3,1.4660079926502791
7.042,takeoff,2,3,1.4660079926169627
7.076,takeoff,2,3,1.4660079925846263
7.11,takeoff,2,3,1.4660079925503302
7.144,takeoff,2,3,1.466007992517014
7.178,takeoff,2,3,1.4660079924836975
7.212,takeoff,2,3,1.4660079924503815
7.246,takeoff,2,3,1.466007992417065
7.28,takeoff,2,3,1.4660079923837486
7.314,takeoff,2,3,1.4660079923504323
7.348,takeoff,2,3,1.466007992317116
7.382,takeoff,2,3,1.4660079922837999
7.416,takeoff,2,3,1.4660079922504834
7.45,takeoff,2,3,1.4660079922171672
7.485,takeoff,2,3,1.466007992182871
7.519,takeoff,2,3,1.4660079921495548
7.553,takeoff,2,3,1.4660079921162383
7.588,takeoff,2,3,1.466007992081942
7.622,takeoff,2,3,1.466007992048626
7.656,takeoff,2,3,1.4660079920153095
7.6899999999999995,takeoff,2,3,1.4660079919819933
7.724,takeoff,2,3,1.4660079919486768
7.758,takeoff,2,3,1.4660079919153608
7.803,takeoff,2,3,1.4660079918879236
7.843,takeoff,2,3,1.4660079918389293
7.877,takeoff,2,3,1.4660079917987536
7.911,takeoff,2,3,1.4660079917654372
7.945,takeoff,2,3,1.4660079917321212
7.979,takeoff,2,3,1.4660079916988047
8.013,takeoff,2,3,1.4660079916654885
8.047,takeoff,2,3,1.466007991632172
8.081,takeoff,2,3,1.466007991598856
8.115,takeoff,2,3,1.4660079915655395
8.149,takeoff,2,3,1.466007991532223
8.183,takeoff,2,3,1.4660079914989068
8.217,takeoff,2,3,1.4660079914655908
8.251,takeoff,2,3,1.4660079914322743
8.285,takeoff,2,3,1.4660079913989579
8.319,takeoff,2,3,1.4660079913656416
8.353,takeoff,2,3,1.4660079913323254
8.387,takeoff,2,3,1.4660079912990092
8.421,takeoff,2,3,1.4660079912656927
8.455,takeoff,2,3,1.4660079912323767
8.489,takeoff,2,3,1.4660079911990602
8.523,takeoff,2,3,1.466007991165744
8.558,takeoff,2,3,1.4660079911314479
8.592,takeoff,2,3,1.4660079910981316
8.626,takeoff,2,3,1.4660079910648152
8.66,takeoff,2,3,1.4660079910314987
8.693999999999999,takeoff,2,3,1.4660079909981827
8.728,takeoff,2,3,1.4660079909648662
8.762,takeoff,2,3,1.46600799093155
8.796,takeoff,2,3,1.4660079908982335
8.83,takeoff,2,3,1.4660079908649175
8.864,takeoff,2,3,1.466007990831601
8.898,takeoff,2,3,1.4660079907982848
8.932,takeoff,2,3,1.4660079907649683
8.966,takeoff,2,3,1.4660079907316523
9.0,takeoff,2,3,1.4660079906983359
9.034,takeoff,2,3,1.4660079906650196
9.068,takeoff,2,3,1.4660079906317032
9.103,takeoff,2,3,1.466007990597407
9.137,takeoff,2,3,1.4660079905640908
9.171,takeoff,2,3,1.4660079905307744
9.205,takeoff,2,3,1.4660079904974583
9.239,takeoff,2,3,1.4660079904641419
9.273,takeoff,2,3,1.4660079904308256
9.307,takeoff,2,3,1.4660079903975094
9.341,takeoff,2,3,1.4660079903641932
9.375,takeoff,2,3,1.4660079903308767
9.409,takeoff,2,3,1.4660079902975605
9.443,takeoff,2,3,1.466007990264244
9.477,takeoff,2,3,1.466007990230928
9.511,takeoff,2,3,1.4660079901976115
9.545,takeoff,2,3,1.4660079901642953
9.579,takeoff,2,3,1.466007990130979
9.613,takeoff,2,3,1.4660079900976628
9.647,takeoff,2,3,1.4660079900643463
9.681000000000001,takeoff,2,3,1.4660079900310299
9.715,takeoff,2,3,1.4660079899977139
9.749,takeoff,2,3,1.4660079899643974
9.783,takeoff,2,3,1.4660079899310812
9.817,takeoff,2,3,1.4660079898977647
9.850999999999999,takeoff,2,3,1.4660079898657676
9.885,takeoff,2,3,1.4660079898559826
9.919,takeoff,2,3,1.4660079898292657
9.953,takeoff,2,3,1.4660079898051794
9.987,takeoff,2,3,1.4660079897898652
10.021,takeoff,2,3,1.4660079897675091
10.055,takeoff,2,3,1.4660079897520903
10.089,takeoff,2,3,1.4660079897229286
10.123,takeoff,2,3,1.4660079897091858
10.157,takeoff,2,3,1.4660079896854408
10.191,takeoff,2,3,1.4660079896706055
10.225,takeoff,2,3,1.4660079896477471
10.259,takeoff,2,3,1.4660079896253342
10.293,takeoff,2,3,1.4660079896064213
10.327,takeoff,2,3,1.466007989589689
10.361,takeoff,2,3,1.4660079895675713
10.395,takeoff,2,3,1.4660079895477223
10.429,takeoff,2,3,1.4660079895247224
10.464,takeoff,2,3,1.4660079895104798
10.5,takeoff,2,3,1.466007989489648
10.534,takeoff,2,3,1.4660079894669071
10.568,takeoff,2,3,1.4660079894479618
10.602,takeoff,2,3,1.466007989426152
10.636,takeoff,2,3,1.4660079894073113
10.67,takeoff,2,3,1.4660079893856617
10.704,takeoff,2,3,1.4660079893421127
