time,x_ref,y_ref,z_ref,yaw_ref,z_ref_rate,trace_probe_state
0.0,0.349945480361177,0.343822559204245,1.23504194217568,1.55314557945239,0.00802484600214615,0.0
0.05,0.34997588357286985,0.3532621885439494,1.2355195020626994,1.5801173673432627,0.007917740538664545,0.017498432104793866
0.1,0.349868654339065,0.359587737531457,1.23583632123635,1.5981932898012,0.00784523758801432,0.03499450894537225
0.15000000000000002,0.3497352692575374,0.3629675775067486,1.236003762495144,1.607857726346146,0.007806047165536332,0.052482826058174344
0.2,0.3492977043821248,0.37186930427605963,1.2364427483403562,1.6333240396187392,0.007702300959184373,0.06995545214386924
0.25,0.3486031298946258,0.38098102887216434,1.2368864347834592,1.6594351806926484,0.007594572026911588,0.08740123286426127
0.30000000000000004,0.3476843556807699,0.39008200116723873,1.2373246495147447,1.685572208215198,0.0074855187292059535,0.10480914808913727
0.35000000000000003,0.34656326681123256,0.39889604457573774,1.2377441637184114,1.7109594666663857,0.007378361694383038,0.12216533523955297
0.4,0.3451835658694908,0.4078212278390124,1.238164038388405,1.736764227268147,0.007268163839527777,0.13946262252764052
0.45,0.343960772761085,0.414737831301311,1.23848644619034,1.75683281084966,0.00718167243016435,0.15669587778162372
0.5,0.3433963686587412,0.417558977229446,1.2386167305579043,1.7650531321614733,0.0071459129456351,0.1738644525743657
0.55,0.3415407956049275,0.42638348480744725,1.2390226518134713,1.7908195570989063,0.007033378450304102,0.19097127034269715
0.6000000000000001,0.3394778140889299,0.4350900036362414,1.2394190912657586,1.8163862374284527,0.006920574404133045,0.2079864712690934
0.65,0.33719673380868503,0.4437411589657213,1.2398091600469077,1.841950574510181,0.006806667882208887,0.22489708035653
0.7000000000000001,0.3346856019330792,0.452373977450931,1.2401946762355713,1.867639664047578,0.006691100134110315,0.2416888147856754
0.75,0.33195759119726825,0.4609107901652288,1.2405722181911942,1.8932469904971212,0.006574775806920803,0.2583694615942005
0.8,0.329509451319451,0.467997972402726,1.24088302006958,1.91467059435017,0.0064766345557131,0.2749208301334658
0.8500000000000001,0.3286489103689527,0.47031865357935015,1.240983988563876,1.921742440796446,0.006443980925176515,0.2913539537183427
0.9,0.32547272035247526,0.478655031828356,1.2413455858357407,1.9472329550123837,0.006325918128904344,0.3076618348365327
0.9500000000000001,0.3220718348344938,0.4869479147831619,1.2417022341267578,1.9728440951460264,0.006206277932407884,0.32383041582367184
1.0,0.31861753694312633,0.49481767718910424,1.242037957383867,1.9974016333898024,0.006090627888099239,0.33980906551968615
1.05,0.3146597113957353,0.5032342962280323,1.2423940203110964,2.0239769499624964,0.005964425302096982,0.3556247114712994
1.1,0.31063284306165745,0.5112674929762504,1.2427311980465858,2.049652523446105,0.005841532780107201,0.37124591408037005
1.1500000000000001,0.3063857553609096,0.5191753496538041,1.2430602829379929,2.07530001786799,0.005717718487060427,0.38666476560320867
1.2000000000000002,0.303068866954074,0.525069305942458,1.2433041282238,2.09462376780102,0.00562388604419421,0.4018863316388584
1.25,0.3014422857242942,0.5278133966392369,1.243416922513976,2.103738111528973,0.005579340340412842,0.41694026428940134
1.3,0.2967893795674203,0.535474094697566,1.243730869568669,2.1293489164032198,0.005453789979694726,0.4318367751775571
1.35,0.29219479134812354,0.5426415370927071,1.2440226336885472,2.1536755240756738,0.005333730918961393,0.44652644344564635
1.4000000000000001,0.28697566914289646,0.5503341742183819,1.2443335856227729,2.180237457098277,0.005201716419611427,0.4609878805795421
1.4500000000000002,0.28171199420028026,0.5576913163897897,1.2446290474564385,2.206085342010734,0.005072412811025762,0.4752086851213899
1.5,0.27628674797029856,0.5648495269468382,1.2449145255153087,2.2317490399436575,0.004943134202656524,0.48920182396580725
1.55,0.271851772452651,0.570446396691694,1.24513655458288,2.25215234415082,0.00483980931128305,0.5029453441876836
1.6,0.27005698023845515,0.5726095014532694,1.2452219062566645,2.2601832206410055,0.0047989211543142014,0.5164556000681645
1.6500000000000001,0.2642599495358159,0.5794585555485148,1.2454915516327325,2.2858225568117283,0.004668085249592657,0.5297269059223038
1.7000000000000002,0.2582985638253299,0.5861512092172398,1.2457535255101504,2.3114323705130317,0.004536644676021467,0.5427559938870721
1.75,0.2521855987993606,0.5926757211116768,1.2460075031010922,2.336979416780518,0.004404796398498151,0.5554795825174291
1.8,0.24592635182982206,0.5990280664805995,1.2462534539332337,2.3624609452309517,0.004272578815435682,0.5679049307966157
1.85,0.2394349616634032,0.6052804350191819,1.2464942357376312,2.3882130946124542,0.004138237312234898,0.580069682554804
1.9000000000000001,0.233900118179624,0.610366539162692,1.24668919036575,2.40969024720143,0.00402567383662515,0.5920173304784225
1.9500000000000002,0.23203556950302678,0.6120041615984599,1.2467516919819124,2.4167806874235986,0.003988351848079124,0.6037244398495244
2.0,0.22528064041293117,0.6178306433245998,1.2469737036046606,2.4422701702657834,0.0038539597093539095,0.6151437667438365
