time,x_ref,y_ref,z_ref,yaw_ref,wind_force_x_n,wind_force_y_n,wind_force_z_n,acc_residual_raw_x_m_s2,acc_residual_raw_y_m_s2,acc_residual_raw_z_m_s2,disturbance_hat_x_m_s2,disturbance_hat_y_m_s2,disturbance_hat_z_m_s2,disturbance_comp_x_m_s2,disturbance_comp_y_m_s2,disturbance_comp_z_m_s2,acc_residual_after_comp_x_m_s2,acc_residual_after_comp_y_m_s2,acc_residual_after_comp_z_m_s2,controller_mode,disturbance_type
0.24,0.21558034082001493,0.25718915743014537,2.0,0.8673552972043075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.25,0.22452569087325716,0.2677276345580945,2.0,0.8666058015599479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.26,0.23346649428893168,0.27824442589402415,2.0,0.8658241718291211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.27,0.24240257001607485,0.2887386795835861,2.0,0.8650102186102661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.28,0.25133373709945855,0.29920954559796925,2.0,0.8641637442170177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.29,0.26025981468325443,0.30965617580275123,2.0,0.863284542576015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.3,0.2691806220146966,0.32007772402659734,2.0,0.8623723991202326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.31,0.2780959784477414,0.33047334612979934,2.0,0.8614270906777709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.32,0.2870057034467257,0.3408422000726506,2.0,0.860448385356029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.33,0.2959096165900227,0.351183445983651,2.0,0.8594360424211893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.34,0.3048075375736955,0.3614962462275357,2.0,0.8583898121729387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.35,0.31369928621514825,0.3717797654731234,2.0,0.8573094358143448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.36,0.32258468245677485,0.3820331707609779,2.0,0.8561946453168106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.37,0.331463546369605,0.3922556315708769,2.0,0.85504516328002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.38,0.340335698156948,0.4024463198890838,2.0,0.8538607027867964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.39,0.3492009581580331,0.41260441027541667,2.0,0.852640967252778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.4,0.3580591468516484,0.422729079930108,2.0,0.8513856502708304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.41,0.36691008485977544,0.4328195087604515,2.0,0.8500944354500968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.42,0.3757535929512221,0.44287487944722886,2.0,0.8487669962496013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.43,0.3845894920452517,0.45289437751091216,2.0,0.8474029958063047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.44,0.3934176032152095,0.4628771913776364,2.0,0.84600208675752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.45,0.4022377476921461,0.4728225124449365,2.0,0.8445639110575889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.46,0.41104974686843704,0.4827295351472436,2.0,0.8430880997887237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.47,0.4198534223014002,0.49259745702113533,2.0,0.8415742729659108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.48,0.428648595716909,0.5024254787703354,2.0,0.8400220393357796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.49,0.4374350890130022,0.5122128043304554,2.0,0.8384309961693331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.5,0.4462127242634909,0.5219586409334762,2.0,0.8368007290484416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.51,0.4549813237215612,0.5316621991719616,2.0,0.8351308116459962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.52,0.4637407098233736,0.5413226930629995,2.0,0.8334208054996229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.53,0.47249070519165903,0.5509393401118667,2.0,0.8316702597788561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.54,0.4812311326393102,0.5605113613754102,2.0,0.8298787110456729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.55,0.48996181517297,0.570037981525141,2.0,0.8280456830082908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.56,0.4986825759966155,0.5795184289100357,2.0,0.8261706862681337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.57,0.5073932385151377,0.5889519356190395,2.0,0.82425321805987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.58,0.5160936263379188,0.5983377375432667,2.0,0.822292761984436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.59,0.5247835632824024,0.6076750744378933,2.0,0.8202887877349578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.6,0.5334628733776623,0.6169631899837358,2.0,0.8182407508154858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.61,0.5421313808679658,0.6262013318485132,2.0,0.8161480922524681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.62,0.5507889102163323,0.6353887517477858,2.0,0.814010238298891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
0.63,0.5594352861080883,0.6445247055055645,2.0,0.8118266001310189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,NONE
