time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,wind_force_x_n,wind_force_y_n,wind_force_z_n
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.52,0.52,0.52,0.52,0.0,0.0,0.0
0.01,0.0002799970133428907,0.00021999556336017512,0.00027949923251816043,0.0,0.0,0.01,-8.799822534407005e-06,1.1199880533715627e-05,0.0,0.5204552817951282,0.5197547177761221,0.5202801407903768,0.5199298587808736,0.0,0.0,0.0
0.02,0.0005599761069724996,0.0004399645075255955,0.0007560070941798206,0.0,0.0,0.02,-1.759858030102382e-05,2.239904427889998e-05,0.0,0.5209105451297914,0.5195094514402171,0.5205602717073978,0.5198597248626107,0.0,0.0,0.0
0.03,0.0008399193623224002,0.0006598802165223964,0.0014265683859361984,0.0,0.0,0.03,-2.6395208660895857e-05,3.359677449289601e-05,0.0,0.5213657715443831,0.5192642168794308,0.520840382878145,0.5197896055456689,0.0,0.0,0.0
0.04,0.0011198088631198043,0.0008797160808181038,0.002288266923984458,0.0,0.0,0.04,-3.5188643232724154e-05,4.4792354524792174e-05,0.0,0.5218209425810146,0.5190190299792544,0.5211204644305746,0.5197195081296945,0.0,0.0,0.0
0.05,0.001399626696532196,0.0010994455005413548,0.003338225055717504,0.0,0.0,0.05,-4.397782002165419e-05,5.5985067861287844e-05,0.0,0.5222760397843731,0.5187739066226975,0.5214005064939542,0.5196494399131164,0.0,0.0,0.0
0.06,0.0016793549543137475,0.0013190418887004498,0.004573603181467267,0.0,0.0,0.06,-5.276167554801799e-05,6.71741981725499e-05,0.0,0.5227310447025808,0.5185288626894613,0.5216804991993009,0.5195794081927412,0.0,0.0,0.0
0.07,0.001958975733951442,0.001538478674400347,0.0059915992819740815,0.0,0.0,0.07,-6.153914697601389e-05,7.835902935805769e-05,0.0,0.5231859388880524,0.5182839140551112,0.5219604326798172,0.5195094202633465,0.0,0.0,0.0
0.08,0.0022384711398108254,0.0017577293060577063,0.00758944845151561,0.0,0.0,0.08,-7.030917224230825e-05,8.953884559243301e-05,0.0,0.5236407038983544,0.5180390765902507,0.5222402970713285,0.5194394834172766,0.0,0.0,0.0
0.09,0.002517823284281324,0.0019767672546135997,0.009364422436629424,0.0,0.0,0.09,-7.907069018454398e-05,0.00010071293137125296,0.0,0.5240953212970618,0.5177943661596947,0.52252008251272,0.5193696049440365,0.0,0.0,0.0
