time,x,y,z,x_ref,y_ref,z_ref
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1.6791168445049073e-16,7.133095612555342e-16,1.5710205448372021e-06,0.0,0.0,0.01
0.02,4.3810675061281277e-16,1.371126351598693e-15,3.2116748303113224e-06,0.0,0.0,0.02
0.03,6.884938679109269e-16,1.875463394880743e-15,4.883035686235015e-06,0.0,0.0,0.03
0.04,5.026979000682809e-16,1.3341826687982332e-15,6.561135421112981e-06,0.0,0.0,0.04
0.05,-1.9776929486636187e-16,-3.917196808987544e-17,8.239422643953538e-06,0.0,0.0,0.05
0.06,-1.5345014554720377e-15,-1.9575136827434214e-15,9.916264002948473e-06,0.0,0.0,0.06
0.07,-2.5961686422819328e-15,-3.2384946208210057e-15,1.1591354916713657e-05,0.0,0.0,0.07
0.08,-4.186914641518777e-15,-4.1282786940623666e-15,1.3264748865358058e-05,0.0,0.0,0.08
0.09,-4.4187692661007686e-15,-4.0400514762717215e-15,1.4936591207300332e-05,0.0,0.0,0.09
0.1,-4.8106424646221206e-15,-3.390187651172463e-15,1.6607052681330668e-05,0.0,0.0,0.1
0.11,-5.764484475554478e-15,-2.2563685918774364e-15,1.8276306452736125e-05,0.0,0.0,0.11000000000000001
0.12,-7.057254848918885e-15,-6.413516513408621e-16,1.9944552000572256e-05,0.0,0.0,0.12
0.13,-8.367824559820228e-15,1.7168043142436887e-15,2.1611946386546594e-05,0.0,0.0,0.13
0.14,-1.0905238601937848e-14,2.7513518675541365e-15,2.3278668405180247e-05,0.0,0.0,0.14
0.15,-1.3627815415747173e-14,4.2864242591341155e-15,2.494492674141916e-05,0.0,0.0,0.15
0.16,-1.6576150037144588e-14,6.023715615271213e-15,2.661085505040694e-05,0.0,0.0,0.16
0.17,-1.9589934384546134e-14,7.99070295352138e-15,2.8276650350333474e-05,0.0,0.0,0.17
0.18,-2.2554680080300325e-14,1.042985703883868e-14,2.9942732408909294e-05,0.0,0.0,0.18
0.19,-2.5504918227428596e-14,1.3270340094890401e-14,3.1608977492191085e-05,0.0,0.0,0.19
0.2,-2.8220940754359957e-14,1.6101668874263534e-14,3.32756818338813e-05,0.0,0.0,0.2
0.21,-3.0593795902552994e-14,1.8720287488739452e-14,3.494299233428537e-05,0.0,0.0,0.21000000000000002
0.22,-3.2724772111110816e-14,2.107179534234857e-14,3.661125209994211e-05,0.0,0.0,0.22000000000000003
0.23,-3.4956438751203015e-14,2.332972180110533e-14,3.828091767798249e-05,0.0,0.0,0.23000000000000004
0.24,-3.711225067169495e-14,2.5422820137547006e-14,3.995171798628674e-05,0.0,0.0,0.24
0.25,-3.925939134531321e-14,2.7339475297439705e-14,4.162375944023847e-05,0.0,0.0,0.25
0.26,-4.172771692549392e-14,2.902265990550707e-14,4.329756451609083e-05,0.0,0.0,0.26
0.27,-4.44772416805522e-14,3.0479286918511447e-14,4.4973069878371526e-05,0.0,0.0,0.27
0.28,-4.759392019040523e-14,3.169449602830154e-14,4.6650411674993495e-05,0.0,0.0,0.28
