time,x_ref,y_ref,z_ref,yaw_ref
0.0,0.0,0.0,1.2,0.0
0.02,1.6128368750000005e-06,0.0,1.1999992339024843,0.0
0.04,1.3370272906250003e-05,0.0,1.1999936491203695,0.0
0.06,4.7573331142187496e-05,0.0,1.1999774026677075,0.0
0.08,0.00011755562589976565,0.0,1.1999441610776977,0.0
0.1,0.000236728453439918,0.0,1.1998875539846159,0.0
0.12,0.0004182494987039712,0.0,1.1998013314881155,0.0
0.14,0.0006749098076713901,0.0,1.199679417841356,0.0
0.16,0.0010190971526849869,0.0,1.1995159288524746,0.0
0.18,0.0014627861353147453,0.0,1.1993051765857254,0.0
0.2,0.002017537647360161,0.0,1.199041669617504,0.0
0.22,0.002694501607201056,0.0,1.1987201117365796,0.0
0.24,0.003504420842520369,0.0,1.1983354000998028,0.0
0.26,0.00445763537425713,0.0,1.197882623197228,0.0
0.28,0.0055640868409899975,0.0,1.1973570587505298,0.0
0.3,0.0068333229724714985,0.0,1.196754171588076,0.0
0.32,0.008274502080365027,0.0,1.1960696115118266,0.0
0.34,0.00989639755500276,0.0,1.1952992111613736,0.0
0.36,0.011707402364250967,0.0,1.1944389838769807,0.0
0.38,0.013715533553112839,0.0,1.1934851215622715,0.0
0.4,0.015928436743589496,0.0,1.192433992546795,0.0
0.42,0.01835339063463132,0.0,1.1912821394485502,0.0
0.44,0.02099731150212096,0.0,1.1900262770364927,0.0
0.46,0.023866757698867338,0.0,1.188663290093038,0.0
0.48,0.026967934154603565,0.0,1.1871902312765632,0.0
0.5,0.03030669687598625,0.0,1.1856043189839065,0.0
0.52,0.03388855744659519,0.0,1.1839029352128672,0.0
0.54,0.03771868752693332,0.0,1.1820836234247067,0.0
0.56,0.041801923354426666,0.0,1.1801440864066475,0.0
0.58,0.04614277024342433,0.0,1.1780821841343734,0.0
0.6,0.050745407085198514,0.0,1.1758959316345305,0.0
0.62,0.055613690847944486,0.0,1.1735834968472263,0.0
0.64,0.06075116107678059,0.0,1.171143198488529,0.0
0.66,0.0661610443937482,0.0,1.1685735039129694,0.0
0.68,0.07184625899781188,0.0,1.1658730269760393,0.0
0.7,0.07780941916485917,0.0,1.163040525896692,0.0
0.72,0.08405283974770071,0.0,1.1600749011198423,0.0
0.74,0.09057854067607024,0.0,1.1569751931788665,0.0
0.76,0.0973882514566246,0.0,1.1537405805581034,0.0
0.78,0.10448341567294361,0.0,1.1503703775553518,0.0
0.8,0.11186519548553028,0.0,1.1468640321443733,0.0
0.82,0.11953447613181059,0.0,1.14322112383739,0.0
0.84,0.1274918704261337,0.0,1.1394413615475865,0.0
0.86,0.1357377232597718,0.0,1.1355245814516084,0.0
0.88,0.1442721161009201,0.0,1.131470744852063,0.0
0.9,0.15309487149469705,0.0,1.127279936040019,0.0
0.92,0.16220555756314398,0.0,1.1229523601575067,0.0
0.94,0.1716034925052254,0.0,1.1184883410600177,0.0
0.96,0.18128774909682888,0.0,1.113888319179006,0.0
0.98,0.19125715919076508,0.0,1.1091528493843865,0.0
1.0,0.2015103182167678,0.0,1.1042825988470353,0.0
1.02,0.21204558968149378,0.0,1.0992783449012904,0.0
1.04,0.22286110966852285,0.0,1.0941409729074516,0.0
1.06,0.233954791338358,0.0,1.0888714741142798,0.0
1.08,0.24532432942842536,0.0,1.083470943521498,0.0
1.1,0.256967204753074,0.0,1.07794057774229,0.0
1.12,0.2688806887035759,0.0,1.0722816728658013,0.0
1.14,0.2810618477481266,0.0,1.0664956223196398,0.0
1.16,0.29350754793184425,0.0,1.060583914732374,0.0
1.18,0.3062144593767705,0.0,1.0545481317960341,0.0
1.2,0.31917906078186964,0.0,1.048389946128612,0.0
1.22,0.3323976439230294,0.0,1.042111119136561,0.0
