time,x_raw_ref,y_raw_ref,z_raw_ref,x_safe_ref,y_safe_ref,z_safe_ref,yaw_ref,raw_obstacle_distance_m,safe_obstacle_distance_m,altitude_filter_active,obstacle_filter_active,velocity_filter_active,safety_active,controller_mode
0.0,0.0,0.0,1.2,0.0,0.0,1.2,0.0,4.304079934095692,4.304079934095692,0,0,0,0,NORMAL
0.02,2.4812875000000007e-06,0.0,1.1999988213884374,1.6128368750000005e-06,0.0,1.1999992339024843,0.0,4.304077406806037,4.30407829135739,0,0,0,0,NORMAL
0.04,1.9701200000000004e-05,0.0,1.19999064193,1.3370272906250003e-05,0.0,1.1999936491203695,0.0,4.304059867649223,4.3040663159456525,0,0,0,0,NORMAL
0.06,6.599036249999998e-05,0.0,1.1999686545778125,4.7573331142187496e-05,0.0,1.1999774026677075,0.0,4.30401272037664,4.304031478813707,0,0,0,0,NORMAL
0.08,0.00015523840000000003,0.0,1.19992626176,0.00011755562589976565,0.0,1.1999441610776977,0.0,4.30392181808808,4.303960199291445,0,0,0,0,NORMAL
0.1,0.00030089843750000006,0.0,1.1998570732421874,0.000236728453439918,0.0,1.1998875539846159,0.0,4.303773458835279,4.3038388178481775,0,0,0,0,NORMAL
0.12,0.0005159915999999999,0.0,1.19975490399,0.0004182494987039712,0.0,1.1998013314881155,0.0,4.303554381286639,4.303653933742651,0,0,0,0,NORMAL
0.14,0.0008131115125000002,0.0,1.1996137720315625,0.0006749098076713901,0.0,1.199679417841356,0.0,4.303251760445563,4.303392520418648,0,0,0,0,NORMAL
0.16,0.0012044288000000005,0.0,1.19942789632,0.0010190971526849869,0.0,1.1995159288524746,0.0,4.3028532034152684,4.303041963141715,0,0,0,0,NORMAL
0.18,0.0017016955874999999,0.0,1.1991916945959376,0.0014627861353147453,0.0,1.1993051765857254,0.0,4.302346745203401,4.302590069446054,0,0,0,0,NORMAL
0.2,0.00231625,0.0,1.19889978125,0.002017537647360161,0.0,1.199041669617504,0.0,4.30172084456014,4.302025070086664,0,0,0,0,NORMAL
0.22,0.0030590206624999997,0.0,1.1985469651853125,0.002694501607201056,0.0,1.1987201117365796,0.0,4.300964379843952,4.301335616686226,0,0,0,0,NORMAL
0.24,0.003940531199999999,0.0,1.19812824768,0.003504420842520369,0.0,1.1983354000998028,0.0,4.300066644909526,4.300510778239499,0,0,0,0,NORMAL
0.26,0.004970904737500001,0.0,1.1976388202496875,0.00445763537425713,0.0,1.197882623197228,0.0,4.299017345012784,4.299540037228886,0,0,0,0,NORMAL
0.28,0.006159868400000002,0.0,1.19707406251,0.0055640868409899975,0.0,1.1973570587505298,0.0,4.297806592728311,4.298413285611917,0,0,0,0,NORMAL
0.3,0.007516757812499999,0.0,1.1964295400390625,0.0068333229724714985,0.0,1.196754171588076,0.0,4.296424903874813,4.297120820769072,0,0,0,0,NORMAL
0.32,0.009050521600000002,0.0,1.1957010022399999,0.008274502080365027,0.0,1.1960696115118266,0.0,4.294863193444632,4.2956533414402935,0,0,0,0,NORMAL
0.34,0.010769725887500001,0.0,1.1948843802034375,0.00989639755500276,0.0,1.1952992111613736,0.0,4.293112771533625,4.294001943657746,0,0,0,0,NORMAL
0.36,0.0126825588,0.0,1.1939757845699999,0.011707402364250967,0.0,1.1944389838769807,0.0,4.291165339268064,4.292158116675255,0,0,0,0,NORMAL
0.38,0.014796834962500003,0.0,1.1929715033928125,0.013715533553112839,0.0,1.1934851215622715,0.0,4.289012984725455,4.290113738892595,0,0,0,0,NORMAL
0.4,0.017120000000000003,0.0,1.191868,0.015928436743589496,0.0,1.192433992546795,0.0,4.286648178846519,4.28786107377219,0,0,0,0,NORMAL
0.42,0.019659135037499994,0.0,1.1906619108571874,0.01835339063463132,0.0,1.1912821394485502,0.0,4.284063771335775,4.2853927657457,0,0,0,0,NORMAL
0.44,0.022420961199999995,0.0,1.18935004343,0.02099731150212096,0.0,1.1900262770364927,0.0,4.281252986548441,4.282701836108148,0,0,0,0,NORMAL
0.46,0.025411844112500002,0.0,1.1879293740465624,0.023866757698867338,0.0,1.188663290093038,0.0,4.2782094193616,4.279781678897417,0,0,0,0,NORMAL
0.48,0.028637798399999994,0.0,1.18639704576,0.026967934154603565,0.0,1.1871902312765632,0.0,4.274927031027773,4.276626056757155,0,0,0,0,NORMAL
0.5,0.0321044921875,0.0,1.1847503662109375,0.03030669687598625,0.0,1.1856043189839065,0.0,4.271400145009256,4.273229096781348,0,0,0,0,NORMAL
0.52,0.03581725160000001,0.0,1.18298680549,0.03388855744659519,0.0,1.1839029352128672,0.0,4.267623442791731,4.269585286338981,0,0,0,0,NORMAL
0.54,0.039781065262500005,0.0,1.1811039940003125,0.03771868752693332,0.0,1.1820836234247067,0.0,4.263591959675872,4.265689468877385,0,0,0,0,NORMAL
0.56,0.04400058880000001,0.0,1.17909972032,0.041801923354426666,0.0,1.1801440864066475,0.0,4.259301080545788,4.261536839703063,0,0,0,0,NORMAL
0.58,0.04848014933749999,0.0,1.1769719290646874,0.04614277024342433,0.0,1.1780821841343734,0.0,4.2547465356132825,4.25712294173889,0,0,0,0,NORMAL
0.6,0.05322374999999999,0.0,1.17471871875,0.050745407085198514,0.0,1.1758959316345305,0.0,4.249924396137089,4.252443661256757,0,0,0,0,NORMAL
0.62,0.058235074412500004,0.0,1.1723383396540625,0.055613690847944486,0.0,1.1735834968472263,0.0,4.2448310701162795,4.247495223584815,0,0,0,0,NORMAL
0.64,0.06351749120000003,0.0,1.1698291916799999,0.06075116107678059,0.0,1.171143198488529,0.0,4.239463297957227,4.242274188788633,0,0,0,0,NORMAL
0.66,0.0690740584875,0.0,1.1671898222184374,0.0661610443937482,0.0,1.1685735039129694,0.0,4.233818148113547,4.236777447325651,0,0,0,0,NORMAL
0.68,0.0749075284,0.0,1.16441892401,0.07184625899781188,0.0,1.1658730269760393,0.0,4.227893012698564,4.231002215672399,0,0,0,0,NORMAL
