time,x,y,z,x_ref,y_ref,z_ref
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,1.7624876341471637e-14,2.6374719679114958e-15,1.555752073136386e-06,0.0,0.0,0.0013333333333333335
0.02,3.679447396514692e-14,5.4239980443259185e-15,3.1080189184374895e-06,0.0,0.0,0.002666666666666667
0.03,5.6649229128780025e-14,8.2015530414234e-15,4.653633831512862e-06,0.0,0.0,0.004
0.04,7.777426624780904e-14,1.0916620266994661e-14,6.1922111126945885e-06,0.0,0.0,0.005333333333333334
0.05,1.0050331098102419e-13,1.3871693387028159e-14,7.723673821050394e-06,0.0,0.0,0.006666666666666667
0.06,1.2536978753251054e-13,1.7238276625244037e-14,9.248031981168192e-06,0.0,0.0,0.008
0.07,1.56684813406474e-13,2.6198200370319197e-14,1.0765318944759852e-05,0.0,0.0,0.009333333333333334
0.08,1.9823302745137058e-13,4.556255353724458e-14,1.227485414554523e-05,0.0,0.0,0.010666666666666668
0.09,2.445243672514314e-13,6.503424186974722e-14,1.377731771839974e-05,0.0,0.0,0.011999999999999999
0.1,2.9745832345692205e-13,8.541604139500254e-14,1.5271726509715235e-05,0.0,0.0,0.013333333333333334
0.11,3.6092096868903425e-13,1.0618803989137289e-13,1.675851065748406e-05,0.0,0.0,0.014666666666666668
0.12,4.413201463601877e-13,1.2306671193941623e-13,1.8238154949903928e-05,0.0,0.0,0.016
0.13,5.285039565383594e-13,1.443871627055445e-13,1.9712770587122273e-05,0.0,0.0,0.017333333333333333
0.14,6.287132471534561e-13,1.6802488428082007e-13,2.1181331944244098e-05,0.0,0.0,0.018666666666666668
0.15,7.453516001269126e-13,1.9398163849396417e-13,2.2643393391051596e-05,0.0,0.0,0.02
0.16,8.809848425343047e-13,2.2348944831515118e-13,2.409882818457372e-05,0.0,0.0,0.021333333333333336
0.17,1.0369165729489982e-12,2.577427355122211e-13,2.554768643234786e-05,0.0,0.0,0.02266666666666667
0.18,1.215776305716529e-12,2.985003667994281e-13,2.6989943848841896e-05,0.0,0.0,0.023999999999999997
0.19,1.4279370054841628e-12,3.4796045600132673e-13,2.842563897808192e-05,0.0,0.0,0.025333333333333333
0.2,1.680041957236305e-12,4.070114658499414e-13,2.985481122297203e-05,0.0,0.0,0.02666666666666667
0.21,1.9676884046458962e-12,4.749513528711523e-13,3.1277437678673054e-05,0.0,0.0,0.028
0.22,2.30248716754796e-12,5.547340070115521e-13,3.269358911692294e-05,0.0,0.0,0.029333333333333336
0.23,2.6926909298718955e-12,6.48458980278478e-13,3.410331584052479e-05,0.0,0.0,0.030666666666666672
0.24,3.1400576807243e-12,7.565735198449969e-13,3.550662856499622e-05,0.0,0.0,0.032
0.25,3.651688545839954e-12,8.807706306290078e-13,3.6903562911568767e-05,0.0,0.0,0.03333333333333333
0.26,4.32912290990637e-12,1.0414631458569258e-12,3.829437217418077e-05,0.0,0.0,0.034666666666666665
0.27,5.112052964935606e-12,1.2264419246538436e-12,3.967890016203011e-05,0.0,0.0,0.036000000000000004
0.28,6.000478710927663e-12,1.4357069670197607e-12,4.105714687511677e-05,0.0,0.0,0.037333333333333336
0.29,6.990222563021217e-12,1.668828455494368e-12,4.242908905313636e-05,0.0,0.0,0.03866666666666667
0.3,8.098442136373507e-12,1.9322464598573283e-12,4.3794761581599875e-05,0.0,0.0,0.04
0.31,9.380717660137378e-12,2.2375067049177414e-12,4.515429670701544e-05,0.0,0.0,0.04133333333333333
0.32,1.0865509128107519e-11,2.5913937117737193e-12,4.6507741541890515e-05,0.0,0.0,0.04266666666666667
0.33,1.2595739791810411e-11,3.0041389772853235e-12,4.785513977078489e-05,0.0,0.0,0.044000000000000004
0.34,1.4587354156673655e-11,3.479521229955951e-12,4.9196506469867227e-05,0.0,0.0,0.04533333333333334
0.35000000000000003,1.6876084824491066e-11,4.026021214199012e-12,5.053187506031482e-05,0.0,0.0,0.046666666666666676
0.36,1.9496085700602323e-11,4.651894578580322e-12,5.186127396180243e-05,0.0,0.0,0.047999999999999994
0.37,2.2528160249963625e-11,5.3769171471749545e-12,5.318476465970453e-05,0.0,0.0,0.04933333333333333
0.38,2.6038691300047213e-11,6.217288452870673e-12,5.450239877357099e-05,0.0,0.0,0.050666666666666665
0.39,3.0104970629358454e-11,7.191398039772571e-12,5.581420691178677e-05,0.0,0.0,0.052000000000000005
0.4,3.4783546996509596e-11,8.311984865221137e-12,5.712017751598704e-05,0.0,0.0,0.05333333333333334
0.41000000000000003,4.0147453017459206e-11,9.596913399228983e-12,5.8420367628187115e-05,0.0,0.0,0.054666666666666676
0.42,4.626531688469207e-11,1.106257479665853e-11,5.971481022595934e-05,0.0,0.0,0.056
0.43,5.3306532711972276e-11,1.2749652108728081e-11,6.100354586257285e-05,0.0,0.0,0.05733333333333333
0.44,6.143072715446997e-11,1.4696473720625892e-11,6.228661435696807e-05,0.0,0.0,0.05866666666666667
0.45,7.074464630430716e-11,1.692861996601148e-11,6.356405155246449e-05,0.0,0.0,0.06
0.46,8.139966842227404e-11,1.9482430768708027e-11,6.483589664787888e-05,0.0,0.0,0.061333333333333344
0.47000000000000003,9.355893252448279e-11,2.2397081247669356e-11,6.610218972621499e-05,0.0,0.0,0.06266666666666666
0.48,1.0802457122831936e-10,2.586439550070163e-11,6.736292939969815e-05,0.0,0.0,0.064
0.49,1.2476312334470525e-10,2.987649971496393e-11,6.861816317333912e-05,0.0,0.0,0.06533333333333334
0.5,1.439441539534822e-10,3.447406035238992e-11,6.986792790374641e-05,0.0,0.0,0.06666666666666667
0.51,1.657918369430848e-10,3.971079149779801e-11,7.11122570408625e-05,0.0,0.0,0.06799999999999999
0.52,1.905303462019475e-10,4.564040723600655e-11,7.235118403462994e-05,0.0,0.0,0.06933333333333333
0.53,2.1838385561850472e-10,5.231662165183392e-11,7.358474233499127e-05,0.0,0.0,0.07066666666666667
0.54,2.517479850496179e-10,6.031357077325522e-11,7.481296673076522e-05,0.0,0.0,0.07200000000000001
