experiment_id,scene_id,controller_id,priority,status,raw_file,metrics_file,duration_s,position_rmse_m,max_position_error_m,steady_state_error_m,settling_time_s,disturbance_peak_error_m,disturbance_recovery_time_s,overshoot_max_pct,control_energy,control_smoothness,saturation_ratio,constraint_violation_count,total_health_score,final_trackability_score,formation_score,baseline_experiment,rmse_improvement_pct,health_score_delta,quality_status,quality_pass,source,evidence_level,notes
robust_mass20_example1_enhanced_pid,robust_mass20_example1,enhanced_pid,P1,done,results/raw/robust_mass20_example1_enhanced_pid.csv,results/robustness/mass20_example1/robust_mass20_example1_enhanced_pid/metrics/robust_mass20_example1_enhanced_pid.json,50,0.28261,1.42747,0.103144,7.1,0.0835254,3.03,4.86169,47665.3,13535.8,,70,52.4446,,,robust_mass20_example1_pid_baseline,3.03007,0.623925,pass,True,MWORKS_MCP,real_sysplorer_mcp_robust_mass20_ablation,
robust_mass20_example1_improved_pid,robust_mass20_example1,improved_pid,P1,done,results/raw/robust_mass20_example1_improved_pid.csv,results/robustness/mass20_example1/robust_mass20_example1_improved_pid/metrics/robust_mass20_example1_improved_pid.json,50,0.286484,1.49651,0.105508,7.3,0.0987105,3.06,4.82757,47696.5,180930,,72,51.8863,,,robust_mass20_example1_pid_baseline,1.70073,0.0655616,pass,True,MWORKS_MCP,real_sysplorer_mcp_robust_mass20_ablation,
robust_mass20_example1_l1_residual_sysblock,robust_mass20_example1,l1_residual_sysblock,P1,done,results/robustness/mass20_example1/robust_mass20_example1_l1_residual_sysblock/raw/robust_mass20_example1_l1_residual_sysblock.csv,results/robustness/mass20_example1/robust_mass20_example1_l1_residual_sysblock/metrics/robust_mass20_example1_l1_residual_sysblock.json,50,0.260769,1.34981,0.07485,5.76,0.0726445,2.7,4.29554,47683.4,13817.9,,67,55.3608,,,robust_mass20_example1_awff_sysblock,7.78541,2.91727,pass,True,MWORKS_MCP,real_sysplorer_mcp_sysblock_l1_residual_mass20_ablation,
robust_mass20_example1_linear_mpc_sysblock,robust_mass20_example1,linear_mpc_sysblock,P1,done,results/robustness/mass20_example1/robust_mass20_example1_linear_mpc_sysblock/raw/robust_mass20_example1_linear_mpc_sysblock.csv,results/robustness/mass20_example1/robust_mass20_example1_linear_mpc_sysblock/metrics/robust_mass20_example1_linear_mpc_sysblock.json,50,0.2588,1.34387,0.0722168,5.76,0.0721415,2.67,4.21795,47685.8,14135.5,,66,55.3882,,,robust_mass20_example1_l1_residual_sysblock,0.755201,0.0273344,pass,True,MWORKS_MCP,real_sysplorer_mcp_sysblock_linear_mpc_mass20_ablation,
robust_mass20_example1_pid_baseline,robust_mass20_example1,pid_baseline,P1,done,results/raw/robust_mass20_example1_pid_baseline.csv,results/robustness/mass20_example1/robust_mass20_example1_pid_baseline/metrics/robust_mass20_example1_pid_baseline.json,50,0.291441,1.49651,0.111428,7.3,0.0987105,3.18,4.97306,47694.5,118386,,72,51.8207,,,,,,pass,True,MWORKS_MCP,real_sysplorer_mcp_robust_mass20_ablation,
robust_rotor1_loss15_example1_awff_pid,robust_rotor1_loss15_example1,awff_pid,P1,done,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_awff_pid/raw/robust_rotor1_loss15_example1_awff_pid.csv,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_awff_pid/metrics/robust_rotor1_loss15_example1_awff_pid.json,50,0.364823,1.27353,0.265442,,0.264609,13.76,6.62205,41589.1,13917.6,,62,36.185,,,robust_rotor1_loss15_example1_pid_baseline,6.96118,0.559169,needs_iteration,False,MWORKS_MCP,real_sysplorer_mcp_robust_rotor_loss_awff,
robust_rotor1_loss15_example1_awff_sysblock,robust_rotor1_loss15_example1,awff_sysblock,P1,done,results/raw/robust_rotor1_loss15_example1_awff_sysblock.csv,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_awff_sysblock/metrics/robust_rotor1_loss15_example1_awff_sysblock.json,50,0.369058,1.32931,0.265419,,0.261832,13.76,6.62215,41577.9,13248.9,,65,36.0439,,,robust_rotor1_loss15_example1_pid_baseline,5.8814,0.418113,needs_iteration,False,MWORKS_MCP,real_sysplorer_mcp_sysblock_robust_rotor_loss_ablation,
robust_rotor1_loss15_example1_enhanced_pid,robust_rotor1_loss15_example1,enhanced_pid,P1,done,results/raw/robust_rotor1_loss15_example1_enhanced_pid.csv,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_enhanced_pid/metrics/robust_rotor1_loss15_example1_enhanced_pid.json,50,0.368251,1.32926,0.265416,,0.258818,13.76,6.62286,41577.8,13260.6,,65,36.0506,,,robust_rotor1_loss15_example1_pid_baseline,6.08711,0.424774,needs_iteration,False,MWORKS_MCP,real_sysplorer_mcp_robust_rotor_loss_ablation,
robust_rotor1_loss15_example1_improved_pid,robust_rotor1_loss15_example1,improved_pid,P1,done,results/raw/robust_rotor1_loss15_example1_improved_pid.csv,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_improved_pid/metrics/robust_rotor1_loss15_example1_improved_pid.json,50,0.371435,1.40163,0.265699,,0.258539,13.81,6.52531,41608.9,156441,,67,35.8849,,,robust_rotor1_loss15_example1_pid_baseline,5.27511,0.259146,needs_iteration,False,MWORKS_MCP,real_sysplorer_mcp_robust_rotor_loss_ablation,
robust_rotor1_loss15_example1_l1_residual_sysblock,robust_rotor1_loss15_example1,l1_residual_sysblock,P1,done,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_l1_residual_sysblock/raw/robust_rotor1_loss15_example1_l1_residual_sysblock.csv,results/robustness/rotor1_loss15_example1/robust_rotor1_loss15_example1_l1_residual_sysblock/metrics/robust_rotor1_loss15_example1_l1_residual_sysblock.json,50,0.319854,1.25515,0.214432,,0.213491,13.33,5.70681,41592.7,13758.7,,62,36.8034,,,robust_rotor1_loss15_example1_awff_sysblock,13.3322,0.759471,needs_iteration,False,MWORKS_MCP,real_sysplorer_mcp_sysblock_l1_residual_rotor_loss_ablation,
