time,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,unconstrained_acceleration_x,unconstrained_acceleration_y,unconstrained_acceleration_z,auxiliary_x,auxiliary_y,auxiliary_z,solver_cost,solver_iterations
0.0,1.2,1.2,10.60665,4.189666295104802,1.3051525099882444,2.0593704987184025,0.0,0.0,0.0,1.1992596793616757,7.0
0.01,2.4,1.6040789106353006,11.406649999999999,4.488592596420261,1.6040789106353006,2.2886569849602814,0.0,0.0,0.0,1.199502124510961,7.0
0.02,3.5999999999999996,1.704737158306228,12.20665,4.7875188746896695,1.704737158306228,2.5179434833323224,0.0,0.0,0.0,1.1998060751357935,7.0
0.03,4.0,1.7298116770362841,12.30665,5.086445206202766,1.7298116770362841,2.7472300137393266,0.0,0.0,0.0,1.200442913141636,7.0
0.04,4.0,1.736057876695017,12.30665,5.186087341723814,1.736057876695017,2.775890833283909,0.0,0.0,0.0,1.2006745422462104,7.0
0.05,4.0,1.7376138391823743,12.30665,5.186087341723814,1.7376138391823743,2.775890833283909,0.0,0.0,0.0,1.2006820696522205,7.0
0.06,4.0,1.7380014379464,12.30665,5.186087341723814,1.7380014379464,2.775890833283909,0.0,0.0,0.0,1.2006839508579863,7.0
0.07,4.0,1.7380979909180687,12.30665,5.186087341723814,1.7380979909180687,2.775890833283909,0.0,0.0,0.0,1.2006844198543973,7.0
0.08,4.0,1.7381220427913064,12.30665,5.186087341723814,1.7381220427913064,2.775890833283909,0.0,0.0,0.0,1.20068453670741,7.0
0.09,4.0,1.7381280342444563,12.30665,5.186087341723814,1.7381280342444563,2.775890833283909,0.0,0.0,0.0,1.2006845658175886,7.0
0.1,4.0,1.7381295267482,12.30665,5.186087341723814,1.7381295267482,2.775890833283909,0.0,0.0,0.0,1.200684573069184,7.0
0.11,4.0,1.7381298985390445,12.30665,5.186087341723814,1.7381298985390445,2.775890833283909,0.0,0.0,0.0,1.2006845748756017,7.0
0.12,4.0,1.738129991154177,12.30665,5.186087341723814,1.738129991154177,2.775890833283909,0.0,0.0,0.0,1.2006845753255904,7.0
0.13,4.0,1.7381300142251126,12.30665,5.186087341723814,1.7381300142251126,2.775890833283909,0.0,0.0,0.0,1.200684575437685,7.0
0.14,4.0,1.738130019972209,12.30665,5.186087341723814,1.738130019972209,2.775890833283909,0.0,0.0,0.0,1.2006845754656084,7.0
0.15,4.0,1.738130021403842,12.30665,5.186087341723814,1.738130021403842,2.775890833283909,0.0,0.0,0.0,1.2006845754725641,7.0
0.16,4.0,1.7381300217604696,12.30665,5.186087341723814,1.7381300217604696,2.775890833283909,0.0,0.0,0.0,1.200684575474297,7.0
0.17,4.0,1.7381300218493079,12.30665,5.186087341723814,1.7381300218493079,2.775890833283909,0.0,0.0,0.0,1.2006845754747286,7.0
0.18,4.0,1.7381300218714375,12.30665,5.186087341723814,1.7381300218714375,2.775890833283909,0.0,0.0,0.0,1.200684575474836,7.0
0.19,4.0,1.7381300218769502,12.30665,5.186087341723814,1.7381300218769502,2.775890833283909,0.0,0.0,0.0,1.200684575474863,7.0
0.2,4.0,1.7381300218783238,12.30665,5.186087341723814,1.7381300218783238,2.775890833283909,0.0,0.0,0.0,1.2006845754748698,7.0
