time,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,unconstrained_acceleration_x,unconstrained_acceleration_y,unconstrained_acceleration_z,auxiliary_x,auxiliary_y,auxiliary_z,solver_cost,solver_iterations
0.0,1.2,1.2,10.60665,4.4367474557104085,1.5487052299846744,2.253070897067818,0.25,0.25,0.2,1.3064925,0.0
0.01,2.4,1.849586718721207,11.406649999999999,4.737628944446941,1.849586718721207,2.483355754639032,0.25,0.25,0.2,1.2446563917715436,0.0
0.02,3.5999999999999996,2.0124605678814707,12.20665,5.0385104331834745,2.0124605678814707,2.7136406122102468,0.25,0.25,0.2,1.2157712848207503,0.0
0.03,4.0,2.053298673057795,12.30665,5.339391921920007,2.053298673057795,2.943925469781461,0.25,0.25,0.2,1.2124908841814728,0.0
0.04,4.0,2.0635381979599883,12.30665,5.4396857514988515,2.0635381979599883,2.9727110769778626,0.25,0.25,0.2,1.212670979060979,0.0
0.05,4.0,2.0661056008737604,12.30665,5.4396857514988515,2.0661056008737604,2.9727110769778626,0.25,0.25,0.2,1.2127163973475747,0.0
0.06,4.0,2.0667493375494956,12.30665,5.4396857514988515,2.0667493375494956,2.9727110769778626,0.25,0.25,0.2,1.212727801770892,0.0
0.07,4.0,2.0669107445906203,12.30665,5.4396857514988515,2.0669107445906203,2.9727110769778626,0.25,0.25,0.2,1.2127306622907148,0.0
0.08,4.0,2.0669512149163087,12.30665,5.4396857514988515,2.0669512149163087,2.9727110769778626,0.25,0.25,0.2,1.2127313795871024,0.0
0.09,4.0,2.0669613622261775,12.30665,5.4396857514988515,2.0669613622261775,2.9727110769778626,0.25,0.25,0.2,1.212731559442204,0.0
0.1,4.0,2.066963906507594,12.30665,5.4396857514988515,2.066963906507594,2.9727110769778626,0.25,0.25,0.2,1.2127316045383534,0.0
0.11,4.0,2.0669645444469116,12.30665,5.4396857514988515,2.0669645444469116,2.9727110769778626,0.25,0.25,0.2,1.2127316158455335,0.0
0.12,4.0,2.0669647044003545,12.30665,5.4396857514988515,2.0669647044003545,2.9727110769778626,0.25,0.25,0.2,1.2127316186806354,0.0
0.13,4.0,2.0669647445062127,12.30665,5.4396857514988515,2.0669647445062127,2.9727110769778626,0.25,0.25,0.2,1.2127316193914939,0.0
0.14,4.0,2.066964754562138,12.30665,5.4396857514988515,2.066964754562138,2.9727110769778626,0.25,0.25,0.2,1.2127316195697304,0.0
0.15,4.0,2.066964757083506,12.30665,5.4396857514988515,2.066964757083506,2.9727110769778626,0.25,0.25,0.2,1.2127316196144204,0.0
0.16,4.0,2.0669647577157004,12.30665,5.4396857514988515,2.0669647577157004,2.9727110769778626,0.25,0.25,0.2,1.2127316196256257,0.0
0.17,4.0,2.066964757874213,12.30665,5.4396857514988515,2.066964757874213,2.9727110769778626,0.25,0.25,0.2,1.2127316196284355,0.0
0.18,4.0,2.066964757913958,12.30665,5.4396857514988515,2.066964757913958,2.9727110769778626,0.25,0.25,0.2,1.2127316196291398,0.0
0.19,4.0,2.066964757923923,12.30665,5.4396857514988515,2.066964757923923,2.9727110769778626,0.25,0.25,0.2,1.2127316196293165,0.0
0.2,4.0,2.066964757926422,12.30665,5.4396857514988515,2.066964757926422,2.9727110769778626,0.25,0.25,0.2,1.212731619629361,0.0
