time,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,unconstrained_acceleration_x,unconstrained_acceleration_y,unconstrained_acceleration_z,auxiliary_x,auxiliary_y,auxiliary_z,solver_cost,solver_iterations
0.0,1.2,1.2,10.60665,4.187120470127327,1.30769833496572,2.058980509745127,0.0,0.0,0.0,1.3064925,0.0
0.01,2.4,1.6085798237022528,11.406649999999999,4.488001958863859,1.6085798237022528,2.2892653673163412,0.0,0.0,0.0,1.2416837448702254,0.0
0.02,3.5999999999999996,1.7110249117216227,12.20665,4.7888834476003925,1.7110249117216227,2.519550224887556,0.0,0.0,0.0,1.2114153543130515,0.0
0.03,4.0,1.736711437219134,12.30665,5.089764936336925,1.736711437219134,2.74983508245877,0.0,0.0,0.0,1.207748010856684,0.0
0.04,4.0,1.7431519372459339,12.30665,5.1900587659157695,1.7431519372459339,2.7786206896551717,0.0,0.0,0.0,1.2078285644298674,0.0
0.05,4.0,1.74476679327616,12.30665,5.1900587659157695,1.74476679327616,2.7786206896551717,0.0,0.0,0.0,1.2078488657567612,0.0
0.06,4.0,1.7451716935148847,12.30665,5.1900587659157695,1.7451716935148847,2.7786206896551717,0.0,0.0,0.0,1.2078539625245417,0.0
0.07,4.0,1.7452732160037323,12.30665,5.1900587659157695,1.7452732160037323,2.7786206896551717,0.0,0.0,0.0,1.2078552408705412,0.0
0.08,4.0,1.7452986712017196,12.30665,5.1900587659157695,1.7452986712017196,2.7786206896551717,0.0,0.0,0.0,1.2078555614218627,0.0
0.09,4.0,1.7453050536999417,12.30665,5.1900587659157695,1.7453050536999417,2.7786206896551717,0.0,0.0,0.0,1.2078556417967827,0.0
0.1,4.0,1.745306654012914,12.30665,5.1900587659157695,1.745306654012914,2.7786206896551717,0.0,0.0,0.0,1.2078556619496559,0.0
0.11,4.0,1.7453070552667054,12.30665,5.1900587659157695,1.7453070552667054,2.7786206896551717,0.0,0.0,0.0,1.2078556670026843,0.0
0.12,4.0,1.7453071558749038,12.30665,5.1900587659157695,1.7453071558749038,2.7786206896551717,0.0,0.0,0.0,1.2078556682696537,0.0
0.13,4.0,1.7453071811008576,12.30665,5.1900587659157695,1.7453071811008576,2.7786206896551717,0.0,0.0,0.0,1.2078556685873267,0.0
0.14,4.0,1.7453071874258763,12.30665,5.1900587659157695,1.7453071874258763,2.7786206896551717,0.0,0.0,0.0,1.2078556686669781,0.0
0.15,4.0,1.7453071890117773,12.30665,5.1900587659157695,1.7453071890117773,2.7786206896551717,0.0,0.0,0.0,1.2078556686869497,0.0
0.16,4.0,1.7453071894094174,12.30665,5.1900587659157695,1.7453071894094174,2.7786206896551717,0.0,0.0,0.0,1.2078556686919573,0.0
0.17,4.0,1.7453071895091194,12.30665,5.1900587659157695,1.7453071895091194,2.7786206896551717,0.0,0.0,0.0,1.2078556686932127,0.0
0.18,4.0,1.7453071895341183,12.30665,5.1900587659157695,1.7453071895341183,2.7786206896551717,0.0,0.0,0.0,1.2078556686935276,0.0
0.19,4.0,1.7453071895403864,12.30665,5.1900587659157695,1.7453071895403864,2.7786206896551717,0.0,0.0,0.0,1.2078556686936066,0.0
0.2,4.0,1.745307189541958,12.30665,5.1900587659157695,1.745307189541958,2.7786206896551717,0.0,0.0,0.0,1.2078556686936264,0.0
