t,phase,uav_a,uav_b,distance_m
5.855,init,2,3,1.466007993779243
5.889,init,2,3,1.4660079937459265
5.923,init,2,3,1.4660079937126105
5.957,init,2,3,1.466007993679294
5.991,init,2,3,1.4660079936459778
6.025,init,2,3,1.4660079936126613
6.059,init,2,3,1.466007993579345
6.093,init,2,3,1.4660079935460288
6.127,init,2,3,1.4660079935127126
6.161,init,2,3,1.4660079934793961
6.195,init,2,3,1.4660079934460801
6.229,init,2,3,1.4660079934127637
6.263,init,2,3,1.4660079933794474
6.297,init,2,3,1.466007993346131
6.331,init,2,3,1.4660079933128145
6.365,init,2,3,1.4660079932794985
6.399,init,2,3,1.466007993246182
6.433,init,2,3,1.4660079932128658
6.467,init,2,3,1.4660079931795498
6.501,init,2,3,1.4660079931462333
6.535,init,2,3,1.4660079931129169
6.569,init,2,3,1.4660079930796006
6.603,init,2,3,1.4660079930462844
6.6370000000000005,init,2,3,1.4660079930129681
6.671,takeoff,2,3,1.4660079929796517
6.705,takeoff,2,3,1.4660079929463357
6.739,takeoff,2,3,1.4660079929130192
6.773,takeoff,2,3,1.466007992879703
6.807,takeoff,2,3,1.4660079928463865
6.841,takeoff,2,3,1.4660079928130705
6.875,takeoff,2,3,1.466007992779754
6.909,takeoff,2,3,1.4660079927454577
6.943,takeoff,2,3,1.4660079927131213
6.977,takeoff,2,3,1.4660079926798053
7.011,takeoff,2,3,1.4660079926464888
7.045,takeoff,2,3,1.4660079926131724
7.079,takeoff,2,3,1.4660079925798561
7.113,takeoff,2,3,1.4660079925465397
7.147,takeoff,2,3,1.4660079925132237
7.181,takeoff,2,3,1.4660079924799072
7.215,takeoff,2,3,1.466007992446591
7.249,takeoff,2,3,1.4660079924132745
7.283,takeoff,2,3,1.4660079923799585
7.317,takeoff,2,3,1.466007992346642
7.351,takeoff,2,3,1.4660079923133258
7.385,takeoff,2,3,1.4660079922800093
7.419,takeoff,2,3,1.4660079922466933
7.453,takeoff,2,3,1.4660079922133769
7.487,takeoff,2,3,1.4660079921800606
7.521,takeoff,2,3,1.4660079921467444
7.555,takeoff,2,3,1.4660079921134281
7.589,takeoff,2,3,1.4660079920801117
7.623,takeoff,2,3,1.4660079920467957
7.657,takeoff,2,3,1.4660079920134792
7.691,takeoff,2,3,1.4660079919801627
7.725,takeoff,2,3,1.4660079919468465
7.759,takeoff,2,3,1.46600799191353
7.793,takeoff,2,3,1.466007991880214
7.827,takeoff,2,3,1.4660079918468976
7.861,takeoff,2,3,1.4660079918135813
7.895,takeoff,2,3,1.4660079917802649
7.929,takeoff,2,3,1.4660079917469488
7.963,takeoff,2,3,1.4660079917136324
7.999,takeoff,2,3,1.4660079916852158
8.033,takeoff,2,3,1.4660079916450401
8.067,takeoff,2,3,1.4660079916117237
8.101,takeoff,2,3,1.4660079915784074
8.135,takeoff,2,3,1.466007991545091
