t,mode_id,mode,minimum_pair_distance_input_m,formation_rmse_input_m,active_agents,failed_mask,safety_corrections,status_code
17.184,4,containment,1.4875561881368646,0.39649699518316495,3.0,0.0,0.0,1.0
17.204,4,containment,1.4875412371783956,0.39636262116203097,3.0,0.0,0.0,1.0
17.224,4,containment,1.4875793169607505,0.39631264270684213,3.0,0.0,0.0,1.0
17.244,4,containment,1.487598898423337,0.3962071105694313,3.0,0.0,0.0,1.0
17.264,4,containment,1.4876328135127903,0.39617909418752356,3.0,0.0,0.0,1.0
17.284,4,containment,1.4876702677921736,0.39609944371061306,3.0,0.0,0.0,1.0
17.304,4,containment,1.487703905975499,0.39608983328852143,3.0,0.0,0.0,1.0
17.324,4,containment,1.4877935349634486,0.3960184868734836,3.0,0.0,0.0,1.0
17.344,4,containment,1.4877901827576094,0.3959878468910114,3.0,0.0,0.0,1.0
17.364,4,containment,1.4878617601528417,0.39590136471543225,3.0,0.0,0.0,1.0
17.384,4,containment,1.4877955374586365,0.3958186152051918,3.0,0.0,0.0,1.0
17.404,4,containment,1.487854166608276,0.39568270668910344,3.0,0.0,0.0,1.0
17.424,4,containment,1.4876801850440433,0.3955273837117414,3.0,0.0,0.0,1.0
17.444,4,containment,1.4876700024617209,0.39533631961677657,3.0,0.0,0.0,1.0
17.464,4,containment,1.4874192738260397,0.39507356630089746,3.0,0.0,0.0,1.0
17.484,4,containment,1.4869661625215085,0.39479758825492856,3.0,0.0,0.0,1.0
17.504,4,containment,1.4855325276146925,0.39438578149034687,3.0,0.0,0.0,1.0
17.524,4,containment,1.4844200665116256,0.39400976082454564,3.0,0.0,0.0,1.0
17.544,4,containment,1.48253331299448,0.39345099768320024,3.0,0.0,0.0,1.0
17.564,4,containment,1.4812207662174723,0.3929717425886416,3.0,0.0,0.0,1.0
17.584,4,containment,1.4788084880161314,0.39224232116889673,3.0,0.0,0.0,1.0
17.604,4,containment,1.4771352337662118,0.3916556136069921,3.0,0.0,0.0,1.0
17.624,4,containment,1.4741374792209554,0.3907519146757378,3.0,0.0,0.0,1.0
17.644,4,containment,1.4721519071394955,0.3900589446378109,3.0,0.0,0.0,1.0
17.664,4,containment,1.46869226282243,0.3889940300801579,3.0,0.0,0.0,1.0
17.685,4,containment,1.4664979906219084,0.38819203815085634,3.0,0.0,0.0,1.0
17.704,4,containment,1.462668482649323,0.38697741346571424,3.0,0.0,0.0,1.0
17.724,4,containment,1.4604016099726935,0.3860545518181404,3.0,0.0,0.0,1.0
17.744,4,containment,1.4564038916698607,0.3846774532314775,3.0,0.0,0.0,1.0
17.764,4,containment,1.4543638708258995,0.38357363637060643,3.0,0.0,0.0,1.0
17.785,4,containment,1.4504748662607179,0.38199385772071814,3.0,0.0,0.0,1.0
17.804,4,containment,1.4490068224878399,0.38064415100728005,3.0,0.0,0.0,1.0
17.824,4,containment,1.4454685539968126,0.37884037798796005,3.0,0.0,0.0,1.0
17.844,4,containment,1.4448676251406791,0.37719870496114677,3.0,0.0,0.0,1.0
17.864,4,containment,1.4419557200441442,0.3751701114476473,3.0,0.0,0.0,1.0
