time_s,x_ref,y_ref,z_ref,yaw_ref,display_bridge_x,display_bridge_y,display_bridge_z,display_reference_x,display_reference_y,display_reference_z,attitude_bridge_roll,attitude_bridge_pitch,attitude_bridge_yaw,roll_rate_from_extraction,pitch_rate_from_extraction,yaw_rate_from_extraction
0,0.349945480361177,0.343822559204245,1.23504194217568,1.55314557945239,-55.58,-24.48,1.9,0.349945480361177,0.343822559204245,1.23504194217568,0.0,0.0,0.0,0.0,0.0,0.0
1,0.31861753694312633,0.49481767718910424,1.242037957383867,1.9974016333898024,-55.22183567711377,-24.017146243274624,0.0007854562747427279,0.31861753694312633,0.49481767718910424,1.242037957383867,-0.019054373375573922,-0.28591159915797587,2.4843806899469394,-3.268388938684415,-9.97517327600754,75.10192705481454
2,0.22528064041293117,0.6178306433245998,1.2469737036046606,2.4422701702657834,-53.531663364868045,-22.07920073068303,0.001117971217668775,0.22528064041293117,0.6178306433245998,1.2469737036046606,-1.450815611471879,2.2181345014113423,0.19376274734096824,-54.16026410100065,71.31176508166983,54.796648553343566
