time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,geofence_breach_active,flight_mode,active_setpoint_source,safety_status,event_code,system_supervisor_keepalive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,53.562090367172424,-53.562090367172424,53.562090367172424,-53.562090367172424,0.0,3.0,30.0,0.0,30.0,0.031
0.01,-1.949646721273965e-05,0.0004330024947901061,-1.0239520821899925e-05,0.0,0.0,0.02,-0.5790194018431973,1.9835725238831132,1.7064266303535847,88.86217006285419,-61.892988168252444,29.82574220848028,-50.52903978587826,0.0,3.0,30.0,0.0,30.0,0.031
0.02,-0.000422370510687734,0.0014478137308816998,3.920143826256633e-05,0.0,0.0,0.04,1.2416009472212264,-2.8273863003436324,1.2776538628893348,102.4307260212847,-55.917744937023016,32.03034978453661,-55.917744937023016,0.0,3.0,30.0,0.0,30.0,0.031
0.03,-0.00017577415818286973,0.0020606178972456396,3.57560310949754e-05,0.0,0.0,0.06,0.09788181642016495,0.05474748206132306,-0.5923453930974566,67.5767565315625,-63.96821055621577,65.50018266563262,-62.959473309191544,0.0,3.0,30.0,0.0,30.0,0.031
0.04,0.0004378453590576644,0.003144879622370612,2.649748135495937e-05,0.0,0.0,0.08,-0.22004648198732762,2.0603792746853173,0.790366595795748,93.87661606935625,-77.53130357353777,43.83265589556237,-57.174887510583545,0.0,3.0,30.0,0.0,30.0,0.031
0.05,0.0008115199262049627,0.004753244081957472,2.7622984767484176e-05,0.0,0.0,0.1,1.3791059012497213,-2.7530277612197236,0.7221177063060562,108.66315052066963,-68.37821940921259,38.26277428392153,-68.37821940921259,0.0,3.0,30.0,0.0,30.0,0.031
0.06,0.0017670544083232547,0.006295287855969461,1.9027908842228674e-05,0.0,0.0,0.12,0.1211478453109686,0.11517654675245613,-1.2040979222869002,56.385497840548986,-70.89984071173885,83.4041077835017,-83.25258384630868,0.0,3.0,30.0,0.0,30.0,0.031
0.07,0.003087217282739795,0.008357176432105713,1.2044694838379783e-05,0.0,0.0,0.14,-0.10292606268723513,2.0547646686321968,0.05452068926608071,92.0763324045976,-94.7816090454385,48.99247173679636,-67.46509347649163,0.0,3.0,30.0,0.0,30.0,0.031
0.08,0.004435005277711935,0.010950815060756267,1.1412276324002381e-05,0.0,0.0,0.16,1.4510398734183794,-2.736388763502178,0.09887236514647656,108.84192483268868,-82.31239856119272,38.44154859594058,-82.31239856119272,0.0,3.0,30.0,0.0,30.0,0.031
0.09,0.006346730436581929,0.013737407688738433,4.48519898349111e-06,0.0,0.0,0.18,0.14912519413981243,0.1807235416908662,-1.8635399959844197,48.53086630572957,-83.76977644677379,88.69308457392665,-98.82060210816572,0.0,3.0,30.0,0.0,30.0,0.031
0.1,0.008668006662857296,0.01709425606545665,-5.657071660758062e-07,0.0,0.0,0.2,0.057688512472100356,2.0477763911273286,-0.7636465608757997,88.64417312715197,-110.11442128145262,48.024476840238314,-80.33374133161817,0.0,3.0,30.0,0.0,30.0,0.031
0.11,0.011243990728966877,0.020994896994252145,-2.2468440141112095e-06,0.0,0.0,0.22000000000000003,1.493225566031726,-2.8010554077533976,-0.6004393814764553,105.71314382382822,-96.43118890249758,35.31276758708012,-96.43118890249758,0.0,3.0,30.0,0.0,30.0,0.031
0.12,0.014398185506169761,0.025248388033397007,-7.858206001623081e-06,0.0,0.0,0.24,0.09176382680359137,0.17973092521175316,-2.6010988171094422,53.81922703192842,-97.53773154136847,91.54393434749394,-97.2925249935055,0.0,3.0,30.0,0.0,30.0,0.031
