t,phase,uav_a,uav_b,distance_m
5.7620000000000005,init,2,3,1.4660079938702435
5.796,init,2,3,1.4660079938369273
5.83,init,2,3,1.466007993803611
5.864,init,2,3,1.4660079937702946
5.898,init,2,3,1.466007993736978
5.932,init,2,3,1.466007993703662
5.966,init,2,3,1.4660079936703456
6.0,init,2,3,1.4660079936370294
6.034,init,2,3,1.466007993603713
6.068,init,2,3,1.466007993570397
6.102,init,2,3,1.4660079935370804
6.144,init,2,3,1.466007993497885
6.178,init,2,3,1.466007993462609
6.212,init,2,3,1.4660079934292924
6.246,init,2,3,1.4660079933959762
6.28,init,2,3,1.4660079933626597
6.314,init,2,3,1.4660079933293437
6.348,init,2,3,1.4660079932960273
6.382,init,2,3,1.466007993262711
6.416,init,2,3,1.4660079932293948
6.451,init,2,3,1.4660079931960786
6.485,init,2,3,1.4660079931617822
6.519,init,2,3,1.4660079931284657
6.553,init,2,3,1.4660079930951497
6.587,init,2,3,1.4660079930618333
6.621,init,2,3,1.466007993028517
6.655,takeoff,2,3,1.4660079929952006
6.689,takeoff,2,3,1.4660079929618846
6.723,takeoff,2,3,1.466007992928568
6.757,takeoff,2,3,1.4660079928952519
6.791,takeoff,2,3,1.4660079928619354
6.825,takeoff,2,3,1.4660079928286194
6.859,takeoff,2,3,1.466007992795303
6.893,takeoff,2,3,1.4660079927619865
6.927,takeoff,2,3,1.4660079927286702
6.961,takeoff,2,3,1.4660079926953542
6.995,takeoff,2,3,1.4660079926620377
7.029,takeoff,2,3,1.4660079926287213
7.063,takeoff,2,3,1.466007992595405
7.097,takeoff,2,3,1.4660079925620886
7.131,takeoff,2,3,1.4660079925287726
7.165,takeoff,2,3,1.466007992495456
7.199,takeoff,2,3,1.4660079924621399
7.233,takeoff,2,3,1.4660079924288236
7.268,takeoff,2,3,1.4660079923945273
7.302,takeoff,2,3,1.4660079923612113
7.336,takeoff,2,3,1.466007992327895
7.37,takeoff,2,3,1.4660079922945786
7.404,takeoff,2,3,1.466007992261262
7.438,takeoff,2,3,1.466007992227946
7.4719999999999995,takeoff,2,3,1.4660079921946296
7.506,takeoff,2,3,1.4660079921613134
7.54,takeoff,2,3,1.466007992127997
7.574,takeoff,2,3,1.466007992094681
7.608,takeoff,2,3,1.4660079920613645
7.642,takeoff,2,3,1.4660079920280482
7.676,takeoff,2,3,1.4660079919947318
7.71,takeoff,2,3,1.4660079919614157
7.744,takeoff,2,3,1.4660079919280993
7.7780000000000005,takeoff,2,3,1.466007991894783
7.812,takeoff,2,3,1.4660079918614666
7.8469999999999995,takeoff,2,3,1.4660079918271705
7.884,takeoff,2,3,1.4660079917899347
7.918,takeoff,2,3,1.4660079917575983
7.952,takeoff,2,3,1.4660079917242819
7.986,takeoff,2,3,1.4660079916909656
8.021,takeoff,2,3,1.4660079916566695
8.055,takeoff,2,3,1.466007991623353
8.089,takeoff,2,3,1.4660079915900368
8.123,takeoff,2,3,1.4660079915567203
8.157,takeoff,2,3,1.4660079915234043
8.191,takeoff,2,3,1.4660079914900879
8.225,takeoff,2,3,1.4660079914567716
8.259,takeoff,2,3,1.4660079914234552
8.293,takeoff,2,3,1.4660079913901392
8.328,takeoff,2,3,1.4660079913558428
8.362,takeoff,2,3,1.4660079913225263
8.396,takeoff,2,3,1.46600799128921
8.43,takeoff,2,3,1.4660079912558939
8.464,takeoff,2,3,1.4660079912225776
8.498,takeoff,2,3,1.4660079911892612
8.532,takeoff,2,3,1.4660079911559452
8.567,takeoff,2,3,1.4660079911216488
8.602,takeoff,2,3,1.466007991087353
8.636,takeoff,2,3,1.4660079910540365
8.67,takeoff,2,3,1.46600799102072
8.704,takeoff,2,3,1.4660079909874038
8.738,takeoff,2,3,1.4660079909540875
8.772,takeoff,2,3,1.4660079909207713
8.806000000000001,takeoff,2,3,1.4660079908874548
8.84,takeoff,2,3,1.4660079908541386
8.874,takeoff,2,3,1.4660079908198425
8.908,takeoff,2,3,1.466007990787506
8.942,takeoff,2,3,1.4660079907541896
8.975999999999999,takeoff,2,3,1.4660079907208734
9.01,takeoff,2,3,1.4660079906875572
9.044,takeoff,2,3,1.466007990654241
9.078,takeoff,2,3,1.4660079906209245
9.112,takeoff,2,3,1.466007990587608
9.146,takeoff,2,3,1.4660079905542918
9.18,takeoff,2,3,1.4660079905209755
9.214,takeoff,2,3,1.4660079904876593
9.248,takeoff,2,3,1.4660079904543428
9.282,takeoff,2,3,1.4660079904210268
9.317,takeoff,2,3,1.4660079903867305
9.350999999999999,takeoff,2,3,1.4660079903534142
9.385,takeoff,2,3,1.466007990320098
9.419,takeoff,2,3,1.4660079902867817
9.453,takeoff,2,3,1.4660079902534653
9.487,takeoff,2,3,1.4660079902201488
9.521,takeoff,2,3,1.4660079901868328
9.555,takeoff,2,3,1.4660079901535163
9.589,takeoff,2,3,1.4660079901202
9.623,takeoff,2,3,1.4660079900868836
9.657,takeoff,2,3,1.4660079900535676
9.691,takeoff,2,3,1.4660079900202512
9.725,takeoff,2,3,1.466007989986935
9.759,takeoff,2,3,1.4660079899536187
9.793,takeoff,2,3,1.4660079899203025
9.828,takeoff,2,3,1.4660079898860146
9.862,takeoff,2,3,1.4660079898581042
9.896,takeoff,2,3,1.4660079898471379
9.93,takeoff,2,3,1.4660079898182043
9.964,takeoff,2,3,1.4660079897984948
9.998,takeoff,2,3,1.4660079897784508
10.032,takeoff,2,3,1.466007989761546
10.066,takeoff,2,3,1.4660079897409866
10.1,takeoff,2,3,1.4660079897127074
10.134,takeoff,2,3,1.4660079897014069
10.168,takeoff,2,3,1.4660079896749623
10.202,takeoff,2,3,1.466007989662319
10.236,takeoff,2,3,1.4660079896353895
10.27,takeoff,2,3,1.4660079896159104
10.304,takeoff,2,3,1.4660079895970677
10.338,takeoff,2,3,1.4660079895782439
10.372,takeoff,2,3,1.4660079895584397
10.406,takeoff,2,3,1.4660079895344875
10.44,takeoff,2,3,1.4660079895151792
10.474,takeoff,2,3,1.4660079895009719
10.508,takeoff,2,3,1.4660079894743976
10.542,takeoff,2,3,1.4660079894568065
10.576,takeoff,2,3,1.4660079894370797
10.61,takeoff,2,3,1.4660079894186513
10.644,takeoff,2,3,1.4660079893988807
10.678,takeoff,2,3,1.4660079893722582
10.712,takeoff,2,3,1.4660079893623656
10.746,takeoff,2,3,1.4660079893398688
10.78,takeoff,2,3,1.466007989317371
10.814,takeoff,2,3,1.466007989296582
10.848,takeoff,2,3,1.4660079892778877
10.882,takeoff,2,3,1.4660079892642124
10.916,takeoff,2,3,1.4660079892407356
10.95,takeoff,2,3,1.4660079892152436
10.984,takeoff,2,3,1.4660079891720148
11.018,takeoff,2,3,1.4660079891482167
11.052,takeoff,2,3,1.466007989129926
