time,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,ax_ref,ay_ref,az_ref,jx_ref,jy_ref,jz_ref,yaw_ref
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21280868087682991,-0.004836560929018845,0.0,0.0
0.05,4.402625787156908e-06,-1.0005967698083846e-07,1.0,0.000263540931292848,-5.989566620291978e-06,0.0,0.010492354057547575,-0.0002384625922169895,0.0,0.206894697576869,-0.004702152217656097,0.0,-0.02272336084164098
0.1,3.497482073021846e-05,-7.948822893231439e-07,1.0,0.0010443301267176134,-2.37347756072184e-05,0.0,0.0206903913728665,-0.00047023616756514596,0.0,0.20103601118768374,-0.004569000254265524,0.0,-0.022723360841640984
0.15000000000000002,0.00011721225412696924,-2.6639148665220187e-06,1.0,0.0023277208703013337,-5.290274705230285e-05,0.0,0.030596876791495545,-0.0006953835634430782,0.0,0.19523262170927405,-0.004437105038847122,0.0,-0.022723360841640984
0.2,0.000275881715533469,-6.270038989397001e-06,1.0,0.004099204688347984,-9.31637429169993e-05,0.0,0.040214575158973496,-0.0009139676172493945,0.0,0.18948452914164002,-0.004306466571400894,0.0,-0.022723360841640984
0.25,0.0005350280268778999,-1.215972788358859e-05,1.0,0.006344411349438478,-0.00014419116703269215,0.0,0.04954625132083914,-0.0011260511663827037,0.0,0.1837917334847816,-0.004177084851926839,0.0,-0.022723360841640984
0.30000000000000004,0.0009179809545744138,-2.0863203513054787e-05,1.0,0.009049108864430673,-0.00020566156510069638,0.0,0.058594670122631254,-0.0013316970482416147,0.0,0.17815423473869874,-0.004048959880424957,0.0,-0.022723360841640984
0.35000000000000003,0.0014473621216369772,-3.289459367356754e-05,1.0,0.012199203486459358,-0.0002772546246922571,0.0,0.0673625964098886,-0.0015309681002247356,0.0,0.17257203290339154,-0.003922091656895249,0.0,-0.022723360841640984
0.4,0.0021450919197932216,-4.8752089086209414e-05,1.0,0.01578073971093627,-0.0003586531752485502,0.0,0.07585279502815,-0.0017239271597306756,0.0,0.16704512797885995,-0.003796480181337713,0.0,-0.022723360841640977
0.45,0.003032396421598287,-6.891810049086992e-05,1.0,0.01977990027555007,-0.0004495431880806818,0.0,0.0840680308229542,-0.0019106370641580434,0.0,0.161573519965104,-0.0036721254537523513,0.0,-0.022723360841640984
