time_s,position_x_m,position_y_m,position_z_m,position_ref_x_m,position_ref_y_m,position_ref_z_m,position_error_norm_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3.9260094184083324e-11,-5.065818702529518e-11,1.3422735365307003e-05,0.0,0.0,0.02,0.019986577264634695
0.02,6.471173433156878e-10,-8.349902146178725e-10,8.329478235879811e-05,0.0,0.0,0.04,0.039916705217641214
0.03,3.283223529519591e-09,-4.236418606505163e-09,0.00022045450649963783,0.0,0.0,0.06,0.0597795454935006
0.04,1.045313341594587e-08,-1.3487921355384478e-08,0.0004440770391828701,0.0,0.0,0.08,0.07955592296081897
0.05,2.553657116450589e-08,-3.295044472017801e-08,0.0007530922812305648,0.0,0.0,0.1,0.0992469077187782
0.06,5.290148105325869e-08,-6.826007149547132e-08,0.0011583510432181627,0.0,0.0,0.12,0.1188416489568132
0.07,9.749729314916551e-08,-1.2580320863416133e-07,0.0016551915413960153,0.0,0.0,0.14,0.13834480845869557
0.08,1.6519522659935852e-07,-2.1315569708337056e-07,0.002251751352168849,0.0,0.0,0.16,0.15774824864806167
0.09,2.620621184888322e-07,-3.3814581967963644e-07,0.00294239635976904,0.0,0.0,0.18,0.1770576036407478
0.1,3.95027185647072e-07,-5.09714651354731e-07,0.0037342760655133156,0.0,0.0,0.2,0.1962657239355461
0.11,5.708116481806149e-07,-7.365349229825278e-07,0.004621550534803161,0.0,0.0,0.22000000000000003,0.21537844946721266
0.12,7.969635715216019e-07,-1.028346320243668e-06,0.005610935180493556,0.0,0.0,0.24,0.2343890648231172
0.13,1.0804552261274315e-06,-1.3941456072735176e-06,0.006696670284774296,0.0,0.0,0.26,0.25330332972136665
0.14,1.4289846833419449e-06,-1.8438661318718808e-06,0.007885097050655286,0.0,0.0,0.28,0.27211490295934393
0.15,1.8493873016924984e-06,-2.3863280978489397e-06,0.009170560048025711,0.0,0.0,0.3,0.29082943996764465
0.16,2.3492213991282676e-06,-3.0312846338472495e-06,0.010559296485338992,0.0,0.0,0.32,0.30944070353842573
0.17,2.9348566013760793e-06,-3.7869550909890277e-06,0.012045705802826734,0.0,0.0,0.34,0.32795429423216965
0.18,3.6133792735662975e-06,-4.662483723340812e-06,0.013635793449686724,0.0,0.0,0.36,0.34636420660054257
0.19,4.390414678745377e-06,-5.6651294892036554e-06,0.015324056428443176,0.0,0.0,0.38,0.36467594364198846
0.2,5.2724565842770805e-06,-6.803272081994691e-06,0.017116421432836194,0.0,0.0,0.4,0.38288357866390776
0.21,6.264284472130284e-06,-8.08307918472624e-06,0.019007536628443227,0.0,0.0,0.42000000000000004,0.40099246350195505
0.22,7.371405620394119e-06,-9.511657649384341e-06,0.021003043453842563,0.0,0.0,0.44000000000000006,0.41899695671896214
0.23,8.597603905774872e-06,-1.1093890530883866e-05,0.02309767033576666,0.0,0.0,0.4600000000000001,0.4369023298896765
0.24,9.947604390707996e-06,-1.2835875403607005e-05,0.025297086438690126,0.0,0.0,0.48,0.4547029138512954
0.25,1.142415563736821e-05,-1.474115942947995e-05,0.027596129248235398,0.0,0.0,0.5,0.4724038711198957
0.26,1.303086119904252e-05,-1.6814393059321634e-05,0.030000167179027582,0.0,0.0,0.52,0.489999833282735
0.27,1.4769520714854313e-05,-1.905789900939342e-05,0.03250423838102966,0.0,0.0,0.54,0.5074957621917261
0.28,1.664275695505862e-05,-2.147506216773088e-05,0.03511357084777589,0.0,0.0,0.56,0.5248864298553855
0.29,1.8651404647767294e-05,-2.4066960144145813e-05,0.03782331627755938,0.0,0.0,0.58,0.5421766845774141
0.3,2.079715168430996e-05,-2.6835771467829486e-05,0.040638568331490085,0.0,0.0,0.6,0.5593614326988635
0.31,2.3079951646480996e-05,-2.9781436702474277e-05,0.04355459058020582,0.0,0.0,0.62,0.5764454106511494
0.32,2.5500637474315556e-05,-3.2905031128111174e-05,0.04657634973617831,0.0,0.0,0.64,0.5934236517240126
0.33,2.8058388334969316e-05,-3.620549596251416e-05,0.049699218954271235,0.0,0.0,0.66,0.6103007827646444
0.34,3.075328412805681e-05,-3.968293471700425e-05,0.052928042155198834,0.0,0.0,0.68,0.6270719598545385
0.35000000000000003,3.3583851735992445e-05,-4.3335446838143836e-05,0.05625829893088874,0.0,0.0,0.7000000000000001,0.6437417034037713
0.36,3.654953416941174e-05,-4.716231392986669e-05,0.05969471387078198,0.0,0.0,0.72,0.6603052888250561
0.37,3.9648335637970396e-05,-5.116096090264809e-05,0.06323286981709306,0.0,0.0,0.74,0.6767671332780886
0.38,4.287918528428301e-05,-5.533000618439721e-05,0.06687737531355768,0.0,0.0,0.76,0.6931226282211951
0.39,4.623969487308128e-05,-5.96663681852656e-05,0.07062391334963754,0.0,0.0,0.78,0.709376090666698
0.4,4.972840308463865e-05,-6.416816139086892e-05,0.07447697965662833,0.0,0.0,0.8,0.7255230248852448
0.41000000000000003,5.334260699481903e-05,-6.883189804164764e-05,0.07843231207752897,0.0,0.0,0.8200000000000001,0.7415676930354662
0.42,5.7080671155343957e-05,-7.365546783795697e-05,0.08249440170194466,0.0,0.0,0.8400000000000001,0.7575056040295846
0.43,6.0939701684989844e-05,-7.863513651566262e-05,0.08665910558509154,0.0,0.0,0.86,0.7733409008138535
0.44,6.491787749224984e-05,-8.376855412939535e-05,0.09093063849977442,0.0,0.0,0.8800000000000001,0.7890693686171548
0.45,6.901226636153527e-05,-8.905193686223379e-05,0.09530501879438569,0.0,0.0,0.9,0.8046949890924165
0.46,7.322098181492014e-05,-9.448285031128512e-05,0.09978637839956747,0.0,0.0,0.9200000000000002,0.8202136303105545
0.47000000000000003,7.754112981485882e-05,-0.00010005755984774735,0.10437080282104894,0.0,0.0,0.9400000000000001,0.8356292067670209
0.48,8.197083885655733e-05,-0.00010577365031741585,0.10906234990179876,0.0,0.0,0.96,0.8509376606202903
0.49,8.650732378632808e-05,-0.00011162752753171428,0.11385717234259443,0.0,0.0,0.9800000000000001,0.8661428391706464
0.5,9.114879616720782e-05,-0.00011761688346793801,0.11875923374216545,0.0,0.0,1.0,0.8812407788207091
0.51,9.589263322664353e-05,-0.0001237383334257371,0.12376476669839354,0.0,0.0,1.02,0.8962352469735595
0.52,0.00010073718153959962,-0.00012998974355781664,0.12887763653367093,0.0,0.0,1.04,0.9111223783080858
0.53,0.00010568003200299629,-0.00013636800485129273,0.13409415812024447,0.0,0.0,1.06,0.925905857952935
0.54,0.00011071967678279702,-0.0001428711713000409,0.13941811821499275,0.0,0.0,1.08,0.9405818991524576
0.55,0.00011585394481976506,-0.00014949644104745864,0.14484591254824708,0.0,0.0,1.1,0.9551541061771727
0.56,0.00012108151961190654,-0.00015624211496995588,0.15038123623720479,0.0,0.0,1.12,0.9696187839110917
0.5700000000000001,0.00012640047151608218,-0.00016310570273381808,0.15602056027118144,0.0,0.0,1.1400000000000001,0.9839794613657286
0.58,0.00013180967013230735,-0.00017008574536302832,0.16176747642948003,0.0,0.0,1.16,0.9982325467629867
0.59,0.0001373073641502428,-0.00017717998265887478,0.167618410398258,0.0,0.0,1.18,1.012381614417512
0.6,0.00014289274544431442,-0.0001843873715221221,0.1735771020904097,0.0,0.0,1.2,1.0264229244176888
0.61,0.00014856423156682128,-0.00019170586968059416,0.1796399527928513,0.0,0.0,1.22,1.0403600754773954
0.62,0.0001543211876694533,-0.0001991346576574014,0.1858106150098567,0.0,0.0,1.24,1.0541894150936717
