index,x,y,z
0,-41.0,-28.0,2.1
1,-35.0,-26.8,1.58
2,-33.0,-25.2,1.5
3,-29.799999999999997,-24.8,1.47
4,-21.4,-20.0,1.71
5,-17.0,-20.0,1.79
6,-10.600000000000001,-14.799999999999999,1.9
7,-9.399999999999999,-14.799999999999999,1.87
8,-6.599999999999994,-11.599999999999998,2.24
9,-6.403460699257717,-9.590195760846736,2.42
10,-5.799999999999997,-9.2,2.4299999999999997
11,3.0,0.8000000000000007,2.5
12,3.0,2.3999999999999986,2.5
13,4.200000000000003,3.6000000000000014,2.5
14,7.800000000000004,4.399999999999999,2.24
15,19.400000000000006,15.200000000000003,2.2
16,22.200000000000003,15.600000000000001,2.27
17,23.799999999999997,15.600000000000001,2.1500000000000004
18,26.200000000000003,16.400000000000006,2.0
19,29.0,18.0,1.83
20,30.60000000000001,18.0,2.0700000000000003
21,33.400000000000006,18.400000000000006,1.87
22,36.2,23.200000000000003,2.0
23,36.2,24.0,1.88
24,41.0,28.0,1.69
