index,x,y,z
0,-41.0,-26.0,2.2800000000000002
1,-32.2,-24.4,1.6600000000000001
2,-26.599999999999998,-19.6,1.77
3,-25.799999999999997,-19.6,1.6400000000000001
4,-23.849263684360626,-17.970384736491873,1.4100000000000001
5,-23.0,-18.0,1.29
6,-16.2,-18.0,2.16
7,-13.799999999999997,-17.2,2.1
8,-9.0,-14.399999999999999,1.97
9,-8.199999999999996,-13.2,1.87
10,-7.399999999999999,-12.8,2.16
11,-5.799999999999997,-9.2,2.4299999999999997
12,2.6000000000000014,0.40000000000000213,2.5
13,3.0,2.3999999999999986,2.5
14,4.200000000000003,3.6000000000000014,2.5
15,8.200000000000003,4.399999999999999,2.1500000000000004
16,18.6,14.800000000000004,2.02
17,21.400000000000006,15.600000000000001,2.14
18,23.799999999999997,15.600000000000001,2.1500000000000004
19,26.200000000000003,16.400000000000006,2.0
20,29.0,18.0,1.83
21,30.60000000000001,18.0,2.0700000000000003
22,35.0,18.400000000000006,2.14
23,37.80000000000001,21.200000000000003,1.9300000000000002
24,37.80000000000001,21.6,1.98
25,37.83464958364952,22.271022443192024,1.79
26,38.60000000000001,22.400000000000006,1.9300000000000002
27,39.80000000000001,23.200000000000003,1.75
28,41.0,26.0,1.46
