time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,plant_gust_force_x_N,plant_gust_force_y_N,plant_gust_force_z_N,plant_mass_kg,controller_nominal_mass_kg,fault_effectiveness_1,fault_effectiveness_2,fault_effectiveness_3,fault_effectiveness_4
32.85,1.0005431867596717,-1.0007432181176432,2.0002627805796513,1.0,-1.0,2.0,1.1158933294398982e-05,1.1817864800844943e-05,-0.8674208106067973,60.89511362550208,-68.45885860221287,60.872240491512855,-68.46142485365085,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
32.86,1.0005447026771481,-1.0007446070694164,2.0002782436248605,1.0,-1.0,2.0,1.0926467140796547e-05,1.160780593339279e-05,-0.865537636155216,60.90297445208697,-68.45026745750579,60.880083946330394,-68.45282320253025,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
32.87,1.00054622997076,-1.0007460067280403,2.0002935033453615,1.0,-1.0,2.0,1.0684604290044153e-05,1.1399717463258323e-05,-0.8630822593210621,60.91340062845775,-68.43924771805843,60.89049665514993,-68.4417889760705,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
32.88,1.0005477684399962,-1.000747416860296,2.000308553462275,1.0,-1.0,2.0,1.0432852332627114e-05,1.1191527187698015e-05,-0.86005545672021,60.9263533015412,-68.42576576931988,60.903439608643644,-68.42829149308402,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
32.89,1.000549317882488,-1.0007488372197986,2.000323400056197,1.0,-1.0,2.0,1.0170455961418786e-05,1.0981445733017536e-05,-0.8564584987405995,60.94180332023584,-68.40980339352261,60.91888380576205,-68.41231301152875,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
32.9,1.0005508780971357,-1.0007502675556783,2.000338050461359,1.0,-1.0,2.0,9.89673785077583e-06,1.0767753876013578e-05,-0.8522929166802357,60.959729154388356,-68.39135229372967,60.93680783208185,-68.39384563393071,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
32.910000000000004,1.0005524488675162,-1.0007517075925663,2.0003525102409445,1.0,-1.0,2.0,9.611236509220027e-06,1.0548719287329623e-05,-0.8475608882489574,60.98011729033234,-68.37041749991789,60.957198143523314,-68.37289531486769,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
32.92,1.000554029973766,-1.0007531570409907,2.000366788187982,1.0,-1.0,2.0,9.313561107773237e-06,1.032279172244082e-05,-0.8422650109511062,61.0029584924082,-68.34701289635217,60.98004568816597,-68.3494752581639,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
32.93,1.0005556211962676,-1.0007546156173177,2.000380889486471,1.0,-1.0,2.0,9.00340701817984e-06,1.0088281769540337e-05,-0.83640796253565,61.028240079322536,-68.32114897611605,61.005337809957965,-68.32359641084896,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
32.94,1.0005572223045787,-1.0007560830204665,2.000394812088462,1.0,-1.0,2.0,8.680927091943469e-06,9.843546220717803e-06,-0.8299928467076582,61.05595265016183,-68.29284304006265,61.03306501955476,-68.29527680027525,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
