example,candidate_id,returncode,id,pid3_kp,pid3_kd,pid4_kp,pid4_kd,pid5_kd,pid6_kd,pid7_kp,pid7_ki,pid7_kd,row_count,duration_s,position_rmse_m,max_position_error_m,steady_state_error_m,max_tilt_rad,control_energy,control_smoothness,total_health_score
1,att_kd_145,0,att_kd_145,1.5,1.0,1.5,1.0,1.45,1.45,8.0,6.0,4.0,5001,50.0,0.2750843875431575,1.369402134811571,0.11148879879659807,0.23126446857058794,39925.09657420979,116855.43377993617,52.465696308978785
1,att_kd_170,0,att_kd_170,1.5,1.0,1.5,1.0,1.7,1.7,8.0,6.0,4.0,5001,50.0,0.27460004239015545,1.3694021269205177,0.11180479985777524,0.27226634561953744,39925.78771673761,160705.08347822548,52.4682691566893
1,att_kd_190,0,att_kd_190,1.5,1.0,1.5,1.0,1.9,1.9,8.0,6.0,4.0,5001,50.0,0.2728806332457949,1.3694021359463928,0.11173007826575616,0.30940743774583895,39925.926745097524,207174.5631112863,52.48253053002462
1,pos_kd_115_att_170,0,pos_kd_115_att_170,1.5,1.15,1.5,1.15,1.7,1.7,8.0,6.0,4.0,5001,50.0,0.26735791207644705,1.3694021258111788,0.09991453904553937,0.34506422025108363,39925.437163273025,179768.64823334644,52.577581133720585
1,pos_kp_165_att_170,0,pos_kp_165_att_170,1.65,1.0,1.65,1.0,1.7,1.7,8.0,6.0,4.0,5001,50.0,0.2698897842544468,1.3694021318862455,0.10555929798775847,0.27369525227585273,39926.97240387584,160907.6718048499,52.53322686594767
1,z_soft_att_170,0,z_soft_att_170,1.5,1.0,1.5,1.0,1.7,1.7,7.5,5.5,4.2,5001,50.0,0.2878691517805859,1.4199907657217565,0.11182576525445224,0.27229385956347274,39931.02971166434,164107.88741037625,52.05218160848059
3,att_kd_145,0,att_kd_145,1.5,1.0,1.5,1.0,1.45,1.45,8.0,6.0,4.0,12001,120.0,0.1722327126373002,1.21703341568673,0.06818033691573495,0.2882883604835031,95610.1945817615,74202.7200081799,60.506021020414224
3,att_kd_170,0,att_kd_170,1.5,1.0,1.5,1.0,1.7,1.7,8.0,6.0,4.0,12001,120.0,0.17179443529584987,1.2170334595192729,0.06815649647640784,0.2944530307097232,95610.40550595576,80466.17354605602,60.50957453654539
3,att_kd_190,0,att_kd_190,1.5,1.0,1.5,1.0,1.9,1.9,8.0,6.0,4.0,12001,120.0,0.17149877983796954,1.2170334860223457,0.06817878124886718,0.2965538094747992,95610.67323559133,87249.3335688069,60.511971692210054
3,pos_kd_115_att_170,0,pos_kd_115_att_170,1.5,1.15,1.5,1.15,1.7,1.7,8.0,6.0,4.0,12001,120.0,0.16933439964925143,1.2170334609914966,0.0681245006294176,0.32686615122854945,95611.07802355448,77428.92321939976,60.529520768698646
3,pos_kp_165_att_170,0,pos_kp_165_att_170,1.65,1.0,1.65,1.0,1.7,1.7,8.0,6.0,4.0,12001,120.0,0.16722671039218026,1.2170334324330865,0.06194001202591797,0.2958801609867875,95611.21264562428,79889.936109464,60.54661019573959
3,z_soft_att_170,0,z_soft_att_170,1.5,1.0,1.5,1.0,1.7,1.7,7.5,5.5,4.2,12001,120.0,0.17966934337796278,1.271110421027028,0.06818074997476943,0.28973160371385803,95597.94134572253,80590.5788931978,60.01524922513201
