time,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,estimated_position_x,estimated_position_y,estimated_position_z,estimated_velocity_x,estimated_velocity_y,estimated_velocity_z,adaptive_disturbance_x,adaptive_disturbance_y,adaptive_disturbance_z,storage_function
0.0,2.789520000000001,-0.01291000000000001,11.453275,0.0,0.0,0.0,0.0,0.0,0.0,0.0044800000000000005,0.0009099999999999999,0.0033750000000000004,0.0
0.01,2.785040000000001,-0.013820000000000011,11.4499,0.0,0.0,0.0,0.0,0.0,0.0,0.008960000000000001,0.0018199999999999998,0.006750000000000001,0.0
0.02,2.780560000000001,-0.01473000000000001,11.446525,0.0,0.0,0.0,0.0,0.0,0.0,0.01344,0.00273,0.010125000000000002,0.0
0.03,2.7760800000000008,-0.01564000000000001,11.44315,0.0,0.0,0.0,0.0,0.0,0.0,0.017920000000000002,0.0036399999999999996,0.013500000000000002,0.0
0.04,2.7716000000000007,-0.01655000000000001,11.439775,0.0,0.0,0.0,0.0,0.0,0.0,0.022400000000000003,0.004549999999999999,0.016875,0.0
0.05,2.767120000000001,-0.01746000000000001,11.436399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.026880000000000005,0.00546,0.02025,0.0
0.06,2.762640000000001,-0.01837000000000001,11.433024999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.031360000000000006,0.00637,0.023625,0.0
0.07,2.758160000000001,-0.019280000000000012,11.429649999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.035840000000000004,0.00728,0.027,0.0
0.08,2.753680000000001,-0.02019000000000001,11.426274999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.04032,0.00819,0.030375,0.0
0.09,2.749200000000001,-0.021100000000000008,11.422899999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0448,0.009099999999999999,0.03375,0.0
0.1,2.744720000000001,-0.02201000000000001,11.419525,0.0,0.0,0.0,0.0,0.0,0.0,0.04928,0.010009999999999998,0.037125000000000005,0.0
0.11,2.740240000000001,-0.02292000000000001,11.41615,0.0,0.0,0.0,0.0,0.0,0.0,0.053759999999999995,0.010919999999999997,0.04050000000000001,0.0
0.12,2.735760000000001,-0.023830000000000007,11.412775,0.0,0.0,0.0,0.0,0.0,0.0,0.05823999999999999,0.011829999999999997,0.04387500000000001,0.0
0.13,2.731280000000001,-0.024740000000000005,11.4094,0.0,0.0,0.0,0.0,0.0,0.0,0.06272,0.012739999999999996,0.047250000000000014,0.0
0.14,2.726800000000001,-0.025650000000000006,11.406025,0.0,0.0,0.0,0.0,0.0,0.0,0.0672,0.013649999999999995,0.05062500000000002,0.0
0.15,2.7223200000000007,-0.026560000000000007,11.40265,0.0,0.0,0.0,0.0,0.0,0.0,0.07168,0.014559999999999995,0.05400000000000002,0.0
0.16,2.717840000000001,-0.027470000000000005,11.399275,0.0,0.0,0.0,0.0,0.0,0.0,0.07615999999999999,0.015469999999999994,0.05737500000000002,0.0
0.17,2.713360000000001,-0.028380000000000006,11.3959,0.0,0.0,0.0,0.0,0.0,0.0,0.08063999999999999,0.016379999999999995,0.060750000000000026,0.0
0.18,2.708880000000001,-0.029290000000000007,11.392525,0.0,0.0,0.0,0.0,0.0,0.0,0.08511999999999999,0.017289999999999996,0.06412500000000003,0.0
0.19,2.704400000000001,-0.030200000000000008,11.389149999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.08959999999999999,0.018199999999999997,0.06750000000000003,0.0
0.2,2.699920000000001,-0.03111000000000001,11.385774999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.09407999999999998,0.01911,0.07087500000000004,0.0
