time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,eta_hat
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0
0.002,1.194387316554739e-09,-1.2905474955160291e-09,4.901749093409578e-07,0.0,0.0,0.004,4.632073231668268e-06,4.286957238996045e-06,-1.0427615943475645e-11,0.23160748440174092,-0.2312305200230594,0.23081844255794567,-0.23119540713660588,1.0
0.004,4.936905707505882e-09,-5.320864211827528e-09,1.0040869169749032e-06,0.0,0.0,0.008,1.848429573963239e-05,1.715198909550515e-05,-1.4770850109048946e-10,0.45930000439919727,-0.4578156219135498,0.45619210034237906,-0.45767648564726865,1.0
0.006,1.1743994215914843e-08,-1.260726043893989e-08,1.5474559897675454e-06,0.0,0.0,0.012,4.154825540608214e-05,3.871979246037268e-05,-6.695953331152956e-10,0.6831658607095249,-0.6798727068023336,0.67626256871765,-0.679555735354102,1.0
0.008,2.254611667759928e-08,-2.4080077607568027e-08,2.14820237577293e-06,0.0,0.0,0.016,7.393229678881294e-05,6.930896689700739e-05,-2.246961300778717e-09,0.9033047927953237,-0.8975195513600412,0.891151764204618,-0.8969370482217757,1.0
0.01,3.872294568730781e-08,-4.111306462868292e-08,3.0873107094972154e-06,0.0,0.0,0.02,0.00011578898336854047,0.0001093599698603964,-5.843546900571891e-09,1.1198075947143171,-1.110860252523058,1.1009556828154599,-1.1099031353589497,1.0
0.012,6.214192946258402e-08,-6.555445116006838e-08,5.3684416057873885e-06,0.0,0.0,0.024,0.0001672627163376759,0.00015937203100947279,-1.2670759555684291e-08,1.3327239516769407,-1.3199574794972462,1.3057232075783387,-1.3184899181443688,1.0
0.014,9.521109672881192e-08,-9.977154680905135e-08,1.1020893161485789e-05,0.0,0.0,0.028000000000000004,0.00022848721950015824,0.00021987651880645343,-2.4244147775196214e-08,1.5420443566256257,-1.5248146052483817,1.505441019290104,-1.5226712250710848,1.0
0.016,1.40945180559507e-07,-1.467076982568906e-07,2.083712452500287e-05,0.0,0.0,0.032,0.0002996054317296699,0.00029142298017391366,-4.239178547857237e-08,1.7478320818107203,-1.7255060785637661,1.7001654169835125,-1.722492211796608,1.0
0.018000000000000002,2.0304039925379925e-07,-2.0994735232967107e-07,3.645990741386199e-05,0.0,0.0,0.036000000000000004,0.0003807933883226355,0.0003745619603772222,-6.932497203863553e-08,1.950101388388458,-1.9220537767195192,1.8899003597288158,-1.9179492611326368,1.0
0.02,2.8595453037907124e-07,-2.9378663030228e-07,5.928526947868598e-05,0.0,0.0,0.04,0.0004722826932587514,0.0004698210687827185,-1.0766651214174834e-07,2.1488813771811692,-2.1144891843668843,2.0746619003623428,-2.1090560890781553,1.0
0.022,3.9499121840306866e-07,-4.0330987584975907e-07,9.092629071093497e-05,0.0,0.0,0.044,0.0005743809940331702,0.0005776766307182312,-1.6050533324260335e-07,2.344188565137389,-2.30282452555683,2.2544518929781012,-2.2958188976693044,1.0
0.024,5.36389306565571e-07,-5.444745902197155e-07,0.00013298206965039618,0.0,0.0,0.048,0.0006874861253054649,0.0006985205202931629,1.0982290802854996e-09,2.5360401539629285,-2.487062947787885,2.4292733592188864,-2.4782503687413713,1.0
0.026000000000000002,7.173399601806108e-07,-7.241374568394984e-07,0.00018711286182380063,0.0,0.0,0.052000000000000005,0.0008119924711209174,0.0008324999947108735,1.4325397490163534e-06,2.724442748187672,-2.667189450097591,2.5991418198350225,-2.6563676119057114,1.0
0.028,9.458914627750123e-07,-9.499924791495863e-07,0.00025485994936122274,0.0,0.0,0.05600000000000001,0.0009480821206818293,0.0009792134322884909,3.222088226597902e-06,2.90936441510059,-2.8431867805417923,2.764102628369873,-2.830219239550547,1.0
0.03,1.2308220318792534e-06,-1.230462140031879e-06,0.0003375070286974917,0.0,0.0,0.06,0.0010958072744756122,0.00113783800508952,3.970930555400742e-06,3.090762625765473,-3.015041241832225,2.9242364970300776,-2.999883861478972,1.0
0.032,1.5816784115209625e-06,-1.574744610242036e-06,0.00043609455841544853,0.0,0.0,0.064,0.0012553875118166244,0.0013075764182816558,3.4951661560601297e-06,3.2686251950561585,-3.1827430177721188,3.0796319207665284,-3.165450616637187,1.0
0.034,2.008907993379486e-06,-1.992972236402537e-06,0.0005515660179249153,0.0,0.0,0.068,0.0014273221349693909,0.0014878762075826106,2.51901079601569e-06,3.4429743268411555,-3.346284981477908,3.2303604150186795,-3.3270060456835124,1.0
0.036000000000000004,2.523977540807148e-06,-2.496374667533208e-06,0.0006848958624581146,0.0,0.0,0.07200000000000001,0.0016122687231672596,0.00167835592726102,1.7527325815243637e-06,3.6138450709921046,-3.5056608571236043,3.376474151084135,-3.4846299473946396,1.0
0.038,3.139403074839894e-06,-3.0973581160030827e-06,0.0008371186534889846,0.0,0.0,0.076,0.0018108451128938463,0.0018786567654774128,1.3766672678976737e-06,3.7812655075090738,-3.660866754272068,3.5180176686842874,-3.6383955251017936,1.0
0.04,3.868699864620887e-06,-3.809498046517647e-06,0.0010092855412917367,0.0,0.0,0.08,0.002023496418992625,0.0020884015656485603,1.1509220984054772e-06,3.945252621718031,-3.811906419424842,3.6550384068502773,-3.7883682093770554,1.0
0.042,4.726320965178188e-06,-4.647508725449939e-06,0.0012024152534664992,0.0,0.0,0.084,0.0022504553153082476,0.0023072737370636144,7.856808928720287e-07,4.105819423571772,-3.9587973513110777,3.7875889529956437,-3.934601686674779,1.0
0.044,5.727643462594324e-06,-5.6272479037687535e-06,0.001417479236342626,0.0,0.0,0.088,0.0024917432997317284,0.002535124224910951,1.765199725557273e-07,4.262982199096184,-4.10157502239161,3.9157237233777105,-4.077133121167803,1.0
