probe_id,model_name,topology_change,check_status,simulate_status,simulate_data,error_6140_present,get_var_times_count,nonzero_alias_refs,x_ref_at_1s,y_ref_at_1s,z_ref_at_1s,yaw_ref_at_1s,verdict
iso05_clean_hover_sum,QuadrotorExperiments.FactoryTraceIso05CleanHoverSumSmoke,clean hover sum to actuator input without controller,pass,pass,true,false,1001,true,0.31861753694312633,0.49481767718910424,1.242037957383867,1.9974016333898024,clean_hover_sum_valid
iso06_clean_sensor_feedback_controller,QuadrotorExperiments.FactoryTraceIso06CleanControllerPlantWiringSmoke,clean controller motor sum to actuator input with sensor feedback,pass,failed,false,false,0,false,0.0,0.0,0.0,0.0,empty_result_context_with_sensor_feedback
iso07_clean_open_feedback_controller,QuadrotorExperiments.FactoryTraceIso07CleanControllerOpenFeedbackSmoke,clean controller motor sum to actuator input with trace-derived open feedback,pass,pass,true,false,1001,true,0.31861753694312633,0.49481767718910424,1.242037957383867,1.9974016333898024,clean_controller_actuator_topology_valid_without_sensor_feedback
