time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,battery_voltage,voltage_margin,battery_low_active,esc_saturation_ratio,flight_mode,active_setpoint_source,safety_status,event_code,system_supervisor_keepalive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,53.562090367172424,-53.562090367172424,53.562090367172424,-53.562090367172424,16.8,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.01,-1.9712136124698153e-05,0.0004331147039727595,-1.0241543683422624e-05,0.0,0.0,0.02,-0.5790521122728617,1.9835840514737915,1.7064565644316756,88.38487391236043,-62.370289833745005,30.379670042931597,-49.97511746642574,16.720000000000002,0.9714285714285721,0.0,0.25,3.0,30.0,0.0,30.0,0.031
0.02,-0.00042439379027663776,0.0014478906841157509,3.996896145156679e-05,0.0,0.0,0.04,1.241480158077686,-2.827352500447003,1.2776014091062464,102.45817635948814,-55.890288378186334,32.05780012274003,-55.890288378186334,16.64,0.9428571428571428,0.0,0.25,3.0,30.0,0.0,30.0,0.031
0.03,-0.00017858315194043897,0.00205753644503126,3.682110018722943e-05,0.0,0.0,0.06,0.09762738448630383,0.054587619303959375,-0.5923949635660696,67.6723421230254,-63.89065988829198,65.47544295270306,-62.96606428101853,16.560000000000002,0.9142857142857148,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.04,0.0004328385420694725,0.0031393132594949975,2.751541112552673e-05,0.0,0.0,0.08,-0.21911030975536117,2.0600944162825408,0.7891231716383617,94.134143689128,-77.27368145449553,43.5932297358718,-57.414219171003616,16.48,0.8857142857142857,0.0,0.25,3.0,30.0,0.0,30.0,0.031
0.05,0.0007958988493447808,0.004744436495046776,2.8735342562654948e-05,0.0,0.0,0.1,1.3797103661885566,-2.7523075304403926,0.7216814910094926,108.66653825267095,-68.37470558337515,38.26616201592285,-68.37470558337515,16.400000000000002,0.8571428571428577,0.0,0.25,3.0,30.0,0.0,30.0,0.031
0.06,0.0017479644474800795,0.006265065249621536,1.9885420858960017e-05,0.0,0.0,0.12,0.1221109213490627,0.11412904063117649,-1.2045128183247589,56.256689361119015,-70.6313412689756,83.5233876478758,-83.53031736499108,16.32,0.8285714285714285,0.0,0.5,3.0,30.0,0.0,30.0,0.031
0.07,0.003055858513995915,0.008307095592236507,1.2719257275388258e-05,0.0,0.0,0.14,-0.10241157464145278,2.0543183820093165,0.053891831505474205,92.44106302012707,-94.41673276288014,48.56645171768078,-67.89096782857834,16.240000000000002,0.8000000000000005,0.0,0.5,3.0,30.0,0.0,30.0,0.031
0.08,0.004352343440630421,0.010875305574417508,1.2511008605837621e-05,0.0,0.0,0.16,1.4556020097251927,-2.7337707365451283,0.09992566424439475,108.81729266541308,-82.3368765497057,38.416916428664976,-82.3368765497057,16.16,0.7714285714285712,0.0,0.25,3.0,30.0,0.0,30.0,0.031
0.09,0.006221914324731852,0.013593115980965994,5.302246332858335e-06,0.0,0.0,0.18,0.15579638240980864,0.18264006604261346,-1.8637450367186008,49.21929106426116,-84.10876977615024,87.9351055875638,-98.55083467456797,16.080000000000002,0.7428571428571433,0.0,0.75,3.0,30.0,0.0,30.0,0.031
