time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,gps_valid,mid360_valid,estimator_quality,estimator_mode,degraded_nav_active,obstacle_avoid_active,flight_mode,active_setpoint_source,safety_status,event_code,system_supervisor_keepalive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,53.562090367172424,-53.562090367172424,53.562090367172424,-53.562090367172424,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.01,-1.949641347771501e-05,0.0004330024666488804,-1.0239520322509496e-05,0.0,0.0,0.02,-0.579019390820283,1.9835725216192674,1.706426620173431,88.86247344645724,-61.89268478336754,29.82539007919231,-50.52939191388439,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.02,-0.0004223699358779279,0.0014478137510605695,3.9201170647160824e-05,0.0,0.0,0.04,1.2416009866244018,-2.8273863072460266,1.2776538827035624,102.43070856624233,-55.9177623948636,32.03033232949423,-55.9177623948636,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.03,-0.00017577351822820842,0.002060619114832136,3.575573188545553e-05,0.0,0.0,0.06,0.0978819128733868,0.0547475359394327,-0.5923453608181616,67.57479507575113,-63.97386134587289,65.50147524516366,-62.95449142323942,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.04,0.0004378471826304968,0.0031448814329803165,2.6497211533585028e-05,0.0,0.0,0.08,-0.22004688675642592,2.060379342252311,0.7903671166954483,93.8768542281556,-77.53106543098787,43.83158921171456,-57.175954210680814,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.05,0.0008115285651167898,0.004753247059517804,2.762265155577578e-05,0.0,0.0,0.1,1.3791056477245802,-2.75302835245074,0.7221179042027851,108.66285497425923,-68.37851498384369,38.262478737511145,-68.37851498384369,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.06,0.001766886004734471,0.006295479574862473,1.9054842633305082e-05,0.0,0.0,0.12,0.12115945572562738,0.11517760111682099,-1.2041296643431,56.382675843974226,-70.90074265974718,83.40607964493375,-83.25253205977216,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.07,0.003088413723824828,0.008356788867124014,1.209889516900062e-05,0.0,0.0,0.14,-0.10266688868515808,2.054914298512919,0.05417534835719517,92.0798305415271,-94.77810839028304,48.98722008168613,-67.4703426133759,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.08,0.004441501230684608,0.010950168862579771,1.1432854274715939e-05,0.0,0.0,0.16,1.4515403531642466,-2.73636033596054,0.09882836637097975,108.84050093852946,-82.31381910897835,38.44012470178137,-82.31381910897835,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
0.09,0.00634508101374756,0.013760048294230144,5.078708909317338e-06,0.0,0.0,0.18,0.14826865911732048,0.1818230113986932,-1.8642450464731075,48.5427673368156,-83.97380442548237,88.65914096687757,-98.63859018200256,1.0,1.0,1.0,1.0,0.0,0.0,3.0,30.0,0.0,30.0,0.031
