t,phase,uav_a,uav_b,distance_m
0.1461806297302246,init,2,3,1.4660079932444436
6.41,init,2,3,1.4660079932434638
6.444,init,2,3,1.4660079932111274
6.479,init,2,3,1.4660079931768313
6.513,init,2,3,1.4660079931435148
6.547,init,2,3,1.4660079931101986
6.5809999999999995,init,2,3,1.4660079930768821
6.615,init,2,3,1.466007993043566
6.649,init,2,3,1.4660079930102496
6.684,init,2,3,1.4660079929759535
6.718,init,2,3,1.466007992942637
6.752,init,2,3,1.466007992909321
6.786,init,2,3,1.4660079928760046
6.82,init,2,3,1.4660079928426881
6.854,init,2,3,1.4660079928093719
6.888,init,2,3,1.4660079927760554
6.922,init,2,3,1.4660079927427394
6.9559999999999995,init,2,3,1.466007992709423
6.99,init,2,3,1.4660079926761067
7.024,init,2,3,1.4660079926427902
7.058,init,2,3,1.4660079926094742
7.093,init,2,3,1.4660079925751779
7.127,init,2,3,1.4660079925418619
7.161,init,2,3,1.4660079925085454
7.195,init,2,3,1.466007992475229
7.229,init,2,3,1.466007992441913
7.264,init,2,3,1.4660079924076166
7.298,takeoff,2,3,1.4660079923743004
7.332,takeoff,2,3,1.466007992340984
7.366,takeoff,2,3,1.4660079923076679
7.4,takeoff,2,3,1.4660079922743514
7.434,takeoff,2,3,1.4660079922410352
7.468,takeoff,2,3,1.4660079922077187
7.502,takeoff,2,3,1.4660079921744027
7.536,takeoff,2,3,1.4660079921410862
7.57,takeoff,2,3,1.4660079921077698
7.604,takeoff,2,3,1.4660079920744535
7.638,takeoff,2,3,1.466007992041137
7.672,takeoff,2,3,1.466007992007821
7.7059999999999995,takeoff,2,3,1.4660079919745046
7.74,takeoff,2,3,1.4660079919411884
7.774,takeoff,2,3,1.466007991907872
7.808,takeoff,2,3,1.4660079918745559
7.842,takeoff,2,3,1.4660079918412394
7.876,takeoff,2,3,1.4660079918079232
7.91,takeoff,2,3,1.466007991774607
7.944,takeoff,2,3,1.4660079917412907
7.978,takeoff,2,3,1.4660079917079742
8.012,takeoff,2,3,1.4660079916746582
8.046,takeoff,2,3,1.4660079916413418
8.08,takeoff,2,3,1.4660079916080255
8.114,takeoff,2,3,1.466007991574709
8.148,takeoff,2,3,1.466007991541393
8.182,takeoff,2,3,1.4660079915090565
8.216,takeoff,2,3,1.4660079914747601
8.25,takeoff,2,3,1.466007991441444
8.284,takeoff,2,3,1.4660079914081274
8.318,takeoff,2,3,1.4660079913748114
8.352,takeoff,2,3,1.466007991341495
8.386,takeoff,2,3,1.4660079913081787
8.42,takeoff,2,3,1.4660079912748623
8.454,takeoff,2,3,1.4660079912415462
8.488,takeoff,2,3,1.4660079912082298
8.522,takeoff,2,3,1.4660079911749135
8.556000000000001,takeoff,2,3,1.466007991141597
8.59,takeoff,2,3,1.466007991108281
8.624,takeoff,2,3,1.4660079910749646
8.658,takeoff,2,3,1.4660079910416481
8.692,takeoff,2,3,1.4660079910083321
8.725999999999999,takeoff,2,3,1.4660079909750159
8.76,takeoff,2,3,1.4660079909416994
8.794,takeoff,2,3,1.466007990908383
8.828,takeoff,2,3,1.466007990875067
8.862,takeoff,2,3,1.4660079908417505
8.896,takeoff,2,3,1.4660079908084342
8.93,takeoff,2,3,1.4660079907751182
8.964,takeoff,2,3,1.4660079907418018
8.998,takeoff,2,3,1.4660079907084853
9.032,takeoff,2,3,1.466007990675169
9.066,takeoff,2,3,1.4660079906418528
9.1,takeoff,2,3,1.4660079906085366
9.134,takeoff,2,3,1.4660079905752201
9.168,takeoff,2,3,1.466007990541904
9.202,takeoff,2,3,1.4660079905085877
9.236,takeoff,2,3,1.4660079904752714
9.27,takeoff,2,3,1.466007990441955
9.304,takeoff,2,3,1.4660079904086385
9.338,takeoff,2,3,1.4660079903753225
9.372,takeoff,2,3,1.4660079903420062
9.406,takeoff,2,3,1.4660079903086898
9.44,takeoff,2,3,1.4660079902753733
9.474,takeoff,2,3,1.4660079902420573
9.508,takeoff,2,3,1.4660079902087408
9.542,takeoff,2,3,1.4660079901754246
9.576,takeoff,2,3,1.4660079901421081
9.61,takeoff,2,3,1.466007990108792
9.644,takeoff,2,3,1.4660079900754757
9.678,takeoff,2,3,1.4660079900421594
9.712,takeoff,2,3,1.466007990008843
9.746,takeoff,2,3,1.4660079899755267
9.78,takeoff,2,3,1.4660079899422105
9.814,takeoff,2,3,1.4660079899088942
9.848,takeoff,2,3,1.4660079898755778
9.882,takeoff,2,3,1.4660079898422618
9.916,takeoff,2,3,1.4660079898089453
9.951,takeoff,2,3,1.466007989774649
9.985,takeoff,2,3,1.466007989741333
10.019,takeoff,2,3,1.4660079897080165
10.053,takeoff,2,3,1.4660079896747003
10.087,takeoff,2,3,1.4660079896413838
10.121,takeoff,2,3,1.4660079896080678
10.155,takeoff,2,3,1.4660079895747513
10.189,takeoff,2,3,1.466007989541435
10.223,takeoff,2,3,1.4660079895081186
10.257,takeoff,2,3,1.4660079894748026
10.292,takeoff,2,3,1.4660079894405063
