time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,plant_gust_force_x_N,plant_gust_force_y_N,plant_gust_force_z_N,plant_mass_kg,controller_nominal_mass_kg,fault_effectiveness_1,fault_effectiveness_2,fault_effectiveness_3,fault_effectiveness_4
25.16,1.40207385400662,0.9970423748858981,2.0121012835519485,1.3963063528085202,0.9996833292512791,2.0,0.048321930428380504,-0.021584958327107516,0.07658577780857433,65.4760355191849,-64.7630991339267,64.73335996131027,-64.10842334962909,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
25.17,1.4069388046838225,0.9969661630237754,2.0120301995786085,1.4013094291593893,0.9998349856630405,2.0,0.048322545123175194,-0.021613836634115976,0.07680563007177614,65.47920871119285,-64.75748759189358,64.73319127204041,-64.11319880656966,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
25.18,1.4117825385779252,0.996842541342747,2.011958802655729,1.4062953394872735,0.9999376503605545,2.0,0.048322511851854974,-0.02163907914625725,0.07697475531979148,65.4821687626024,-64.75210369135706,64.73278893925674,-64.11818598550964,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
25.19,1.4166050307623155,0.996671509565691,2.011887099033272,1.411264022714835,0.9999913183132713,2.0,0.04832183240832021,-0.02166070603530687,0.07709289609743417,65.48491520781965,-64.74694910111033,64.73215111412728,-64.12338540070141,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
25.2,1.4214062598522514,0.996453068031511,2.011815094974829,1.4162154179757664,0.999995986891472,2.0,0.048320505685597745,-0.021678740020256913,0.07715982870014791,65.48744776261354,-64.74202543533066,64.73127606008588,-64.12879732505378,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
25.21,1.4261862080090022,0.9961872177549628,2.0117427967589783,1.421149464615539,0.9999516558663971,2.0,0.048318527695921785,-0.021693206282909595,0.07717536342891534,65.4897661542614,-64.73733411701413,64.73016232169546,-64.13442192125326,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
25.22,1.4309448609003317,0.995873960397371,2.0116702106804296,1.4260661021921393,0.9998583274102583,2.0,0.048315891588614254,-0.02170413243230012,0.07713934472409906,65.49187022738614,-64.73287646422484,64.72880862224933,-64.14025915661527,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
25.23,1.4356822076308398,0.9955132981785136,2.011597343051083,1.4309652704768232,0.9997160060961309,2.0,0.04831258767528067,-0.02171154845727499,0.07705165120374377,65.49376022758403,-64.72865389755918,64.72721358571019,-64.14630860051744,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
25.240000000000002,1.4403982407608609,0.9951052339936692,2.0115242002050073,1.4358469094548385,0.999524698897731,2.0,0.04830860347929825,-0.021715486623596892,0.0769121958861957,65.49543646426592,-64.72466767654272,64.7253760684382,-64.1525696786833,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
25.25,1.445092956275327,0.9946497714267857,2.0114507885034034,1.4407109593261662,0.9992844151890731,2.0,0.04830392378350564,-0.021715981432397478,0.07672092627740941,65.49689931895828,-64.72091890712503,64.72329515143834,-64.15904166471044,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
