time,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,yaw_ref,segment_index
0,-55.58,-24.48,1.9,0,0,0,0.785398163397,0
0.05,-55.5796201471,-24.4796201471,1.9,0.0223497936497,0.0223497936497,0,0.785398163397,0
0.1,-55.5771349828,-24.4771349828,1.9,0.0825293163767,0.0825293163767,0,0.785398163397,0
0.15,-55.5708986261,-24.4708986261,1.9,0.170851660181,0.170851660181,0,0.785398163397,0
0.2,-55.5597289453,-24.4597289453,1.9,0.278453756175,0.278453756175,0,0.785398163397,0
0.25,-55.5428663662,-24.4428663662,1.9,0.397296374581,0.397296374581,0,0.785398163397,0
0.3,-55.51993268,-24.41993268,1.9,0.520164124733,0.520164124733,0,0.785398163397,0
0.35,-55.4908898517,-24.3908898517,1.9,0.640665455078,0.640665455078,0,0.785398163397,0
0.4,-55.4559988277,-24.3559988277,1.9,0.753232653171,0.753232653171,0,0.785398163397,0
0.45,-55.4157783442,-24.3157783442,1.9,0.853121845682,0.853121845682,0,0.785398163397,0
0.5,-55.3709637348,-24.2709637348,1.9,0.93641299839,0.93641299839,0,0.785398163397,0
0.55,-55.3224657393,-24.2224657393,1.9,1.00000991618,1.00000991618,0,0.785398163397,0
0.6,-55.2713293108,-24.1713293108,1.9,1.04164024307,1.04164024307,0,0.785398163397,0
0.65,-55.2186924244,-24.1186924244,1.9,1.05985546216,1.05985546216,0,0.785398163397,0
0.7,-55.1657448853,-24.0657448853,1.9,1.05403089568,1.05403089568,0,0.785398163397,0
0.75,-55.1136871363,-24.0136871363,1.9,1.02436570496,1.02436570496,0,0.785398163397,0
0.8,-55.0636890662,-23.9636890662,1.9,0.97188289045,0.97188289045,0,0.785398163397,0
0.85,-55.016848818,-23.916848818,1.9,0.898429291714,0.898429291714,0,0.785398163397,0
0.9,-54.9741515965,-23.8741515965,1.9,0.806675587419,0.806675587419,0,0.785398163397,0
0.95,-54.9364284768,-23.8364284768,1.9,0.700116295346,0.700116295346,0,0.785398163397,0
1,-54.9043152119,-23.8043152119,1.9,0.583069772389,0.583069772389,0,0.785398163397,0
1.05,-54.8782110411,-23.7782110411,1.9,0.460678214551,0.460678214551,0,0.785398163397,0
1.1,-54.8582374981,-23.7582374981,1.9,0.338907656947,0.338907656947,0,0.785398163397,0
1.15,-54.8441972185,-23.7441972185,1.9,0.224547973805,0.224547973805,0,0.785398163397,0
1.2,-54.8355327486,-23.7355327486,1.9,0.125212878463,0.125212878463,0,0.785398163397,0
1.25,-54.8312853527,-23.7312853527,1.9,0.049339923369,0.049339923369,0,0.785398163397,0
1.3,-54.8300538218,-23.7300538218,1.9,0.00619050008501,0.00619050008501,0,0.785398163397,0
1.32582521472,-54.83,-23.73,1.9,0,0,0,0.785398163397,0
1.37582521472,-54.83,-23.7289513026,1.9,0,0.0611790696296,0,1.57079632679,1
1.42582521472,-54.83,-23.7222919955,1.9,0,0.217919336296,0,1.57079632679,1
1.47582521472,-54.83,-23.7061809408,1.9,0,0.43352064,0,1.57079632679,1
1.52582521472,-54.83,-23.6784955003,1.9,0,0.675943158519,0,1.57079632679,1
1.57582521472,-54.83,-23.6385985185,1.9,0,0.917807407407,0,1.57079632679,1
1.62582521472,-54.83,-23.5871053056,1.9,0,1.13639424,0,1.57079632679,1
1.67582521472,-54.83,-23.5256506207,1.9,0,1.31364484741,0,1.57079632679,1
1.72582521472,-54.83,-23.4566556549,1.9,0,1.43616075852,0,1.57079632679,1
1.77582521472,-54.83,-23.3830950144,1.9,0,1.49520384,0,1.57079632679,1
1.82582521472,-54.83,-23.3082637037,1.9,0,1.4866962963,0,1.57079632679,1
1.87582521472,-54.83,-23.2355441086,1.9,0,1.41122066963,0,1.57079632679,1
1.92582521472,-54.83,-23.1681729792,1.9,0,1.27401984,0,1.57079632679,1
1.97582521472,-54.83,-23.1090084134,1.9,0,1.08499702519,0,1.57079632679,1
2.02582521472,-54.83,-23.0602968396,1.9,0,0.858715780741,0,1.57079632679,1
2.07582521472,-54.83,-23.02344,1.9,0,0.6144,0,1.57079632679,1
2.12582521472,-54.83,-22.9987619337,1.9,0,0.375933914074,0,1.57079632679,1
2.17582521472,-54.83,-22.9852759599,1.9,0,0.171862091852,0,1.57079632679,1
2.22582521472,-54.83,-22.9804516608,1.9,0,0.03538944,0,1.57079632679,1
