receive_time_s,stamp_s,sequence,frame_id,planner_id,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,ax_ref,ay_ref,az_ref,yaw_ref,yaw_rate_ref,trajectory_status
1780692111.837918997,1780692111.837357283,28,map,ego_position_cmd,0.20041786463084024,0.06306328304517353,1.2150075318049178,0.12912152262967191,0.09018803908387811,0.010731282924209098,-0.040584617587745155,0.058104685183352364,-0.0007597562976239645,0.6097011349498643,0.45,1
1780692111.893333673,1780692111.892463684,28,map,ego_position_cmd,0.20041786463084024,0.06306328304517353,1.2150075318049178,0.12912152262967191,0.09018803908387811,0.010731282924209098,-0.040584617587745155,0.058104685183352364,-0.0007597562976239645,0.6097011349498643,0.45,1
1780692111.947875023,1780692111.947341919,28,map,ego_position_cmd,0.20041786463084024,0.06306328304517353,1.2150075318049178,0.12912152262967191,0.09018803908387811,0.010731282924209098,-0.040584617587745155,0.058104685183352364,-0.0007597562976239645,0.6097011349498643,0.45,1
1780692112.003276110,1780692112.002429962,28,map,ego_position_cmd,0.20041786463084024,0.06306328304517353,1.2150075318049178,0.12912152262967191,0.09018803908387811,0.010731282924209098,-0.040584617587745155,0.058104685183352364,-0.0007597562976239645,0.6097011349498643,0.45,1
1780692112.058236361,1780692112.057419538,28,map,ego_position_cmd,0.20041786463084024,0.06306328304517353,1.2150075318049178,0.12912152262967191,0.09018803908387811,0.010731282924209098,-0.040584617587745155,0.058104685183352364,-0.0007597562976239645,0.6097011349498643,0.45,1
1780692112.113204479,1780692112.112457275,28,map,ego_position_cmd,0.20041786463084024,0.06306328304517353,1.2150075318049178,0.12912152262967191,0.09018803908387811,0.010731282924209098,-0.040584617587745155,0.058104685183352364,-0.0007597562976239645,0.6097011349498643,0.45,1
1780692112.167997122,1780692112.167450666,28,map,ego_position_cmd,0.20041786463084024,0.06306328304517353,1.2150075318049178,0.12912152262967191,0.09018803908387811,0.010731282924209098,-0.040584617587745155,0.058104685183352364,-0.0007597562976239645,0.6097011349498643,0.45,1
1780692112.223190784,1780692112.222396135,28,map,ego_position_cmd,0.20041786463084024,0.06306328304517353,1.2150075318049178,0.12912152262967191,0.09018803908387811,0.010731282924209098,-0.040584617587745155,0.058104685183352364,-0.0007597562976239645,0.6097011349498643,0.45,1
1780692112.277714014,1780692112.277335405,28,map,ego_position_cmd,0.20041786463084024,0.06306328304517353,1.2150075318049178,0.12912152262967191,0.09018803908387811,0.010731282924209098,-0.040584617587745155,0.058104685183352364,-0.0007597562976239645,0.6097011349498643,0.45,1
1780692112.332944393,1780692112.332360983,28,map,ego_position_cmd,0.20041786463084024,0.06306328304517353,1.2150075318049178,0.12912152262967191,0.09018803908387811,0.010731282924209098,-0.040584617587745155,0.058104685183352364,-0.0007597562976239645,0.6097011349498643,0.45,1
1780692112.387825012,1780692112.387365103,28,map,ego_position_cmd,0.20041786463084024,0.06306328304517353,1.2150075318049178,0.12912152262967191,0.09018803908387811,0.010731282924209098,-0.040584617587745155,0.058104685183352364,-0.0007597562976239645,0.6097011349498643,0.45,1
1780692112.442965984,1780692112.442310572,28,map,ego_position_cmd,0.20041786463084024,0.06306328304517353,1.2150075318049178,0.12912152262967191,0.09018803908387811,0.010731282924209098,-0.040584617587745155,0.058104685183352364,-0.0007597562976239645,0.6097011349498643,0.45,1
1780692112.497968197,1780692112.497361898,28,map,ego_position_cmd,0.20041786463084024,0.06306328304517353,1.2150075318049178,0.12912152262967191,0.09018803908387811,0.010731282924209098,-0.040584617587745155,0.058104685183352364,-0.0007597562976239645,0.6097011349498643,0.45,1
1780692112.553106785,1780692112.552433014,28,map,ego_position_cmd,0.20041786463084024,0.06306328304517353,1.2150075318049178,0.12912152262967191,0.09018803908387811,0.010731282924209098,-0.040584617587745155,0.058104685183352364,-0.0007597562976239645,0.6097011349498643,0.45,1
1780692112.608337879,1780692112.607377529,28,map,ego_position_cmd,0.20041786463084024,0.06306328304517353,1.2150075318049178,0.12912152262967191,0.09018803908387811,0.010731282924209098,-0.040584617587745155,0.058104685183352364,-0.0007597562976239645,0.6097011349498643,0.45,1
