time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,plant_gust_force_x_N,plant_gust_force_y_N,plant_gust_force_z_N,plant_mass_kg,controller_nominal_mass_kg,fault_effectiveness_1,fault_effectiveness_2,fault_effectiveness_3,fault_effectiveness_4
3.15,0.0007158248137490786,-0.0009236960096045633,1.270069836411017,0.0,0.0,1.26,-8.03077545324605e-06,-6.223968015838085e-06,-1.6618571142991367e-06,64.37278572309842,-64.36082899440915,64.35153729492504,-64.3635230545104,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3.16,0.0007154967841393027,-0.0009232727341304901,1.2743607622793143,0.0,0.0,1.264,-7.80588574840955e-06,-6.049684452059279e-06,-1.6724286732482063e-06,64.37432421362676,-64.36236867936175,64.35307774166616,-64.36506249150129,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3.17,0.0007151628535266103,-0.0009228418446138649,1.278646424392706,0.0,0.0,1.268,-7.583234554240047e-06,-5.8771353263235535e-06,-1.6819769085665607e-06,64.37587009654997,-64.36391571291816,64.35462551893703,-64.3666092849366,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3.18,0.0007148231900019408,-0.0009224035579532138,1.282926859001572,0.0,0.0,1.272,-7.362828855395332e-06,-5.7063260547063244e-06,-1.6904943566424574e-06,64.37742299403807,-64.36546971751947,64.35618024950462,-64.3681630571818,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3.19,0.0007144779599698937,-0.0009219580888706314,1.2872021026550844,0.0,0.0,1.276,-7.144675051693911e-06,-5.537261600294978e-06,-1.697974223563344e-06,64.37898253304,-64.36703032039385,64.35774156091865,-64.3697234353888,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3.2,0.0007141273281439109,-0.0009215056499055677,1.2914721921903265,0.0,0.0,1.28,-6.9287789694481955e-06,-5.369946481941682e-06,-1.7044103904197812e-06,64.38054834528022,-64.36859715355311,64.35930908550857,-64.37129005149275,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3.21,0.0007137714575418757,-0.0009210464514091569,1.2957371647215197,0.0,0.0,1.284,-6.7151458726891924e-06,-5.204384782924964e-06,-1.7097974181362299e-06,64.3821200672527,-64.37016985378692,64.36088246037754,-64.37286254220611,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3.22,0.0007134105094821322,-0.000920580701539081,1.2999970576293807,0.0,0.0,1.288,-6.503780474138558e-06,-5.040580159496992e-06,-1.7141305518471126e-06,64.38369734021681,-64.37174806265877,64.3624613273984,-64.37444054901454,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3.23,0.0007130446435799035,-0.0009201086062549561,1.3042519085506021,0.0,0.0,1.292,-6.294686946076974e-06,-4.878535849248143e-06,-1.7174057248612837e-06,64.38527981018817,-64.37333142649678,64.36404533320461,-64.37602371816791,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3.24,0.0007126740177441111,-0.0009196303693142331,1.3085017553674492,0.0,0.0,1.296,-6.0878689309283925e-06,-4.71825467935564e-06,-1.7196195621456196e-06,64.38686712792723,-64.37491959638248,64.36563412917876,-64.37761170066884,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3.25,0.0007122987881745841,-0.0009191461922686009,1.3127466361974849,0.0,0.0,1.3,-5.883329551705079e-06,-4.559739074633919e-06,-1.7207693833899934e-06,64.38845894892657,-64.37651222813787,64.36722737143975,-64.37920415225993,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3.2600000000000002,0.0007119191093596496,-0.0009186562744608848,1.3169865893834216,0.0,0.0,1.304,-5.681071422152419e-06,-4.4029910654341596e-06,-1.7208532055855463e-06,64.39005493339695,-64.37810898231162,64.36882472082883,-64.38080073340993,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3.27,0.0007115351340740999,-0.0009181608130224274,1.3212216534830894,0.0,0.0,1.308,-5.481096656717284e-06,-4.2480122953092365e-06,-1.7198697451767128e-06,64.39165474625332,-64.37970952416488,64.37042584289537,-64.38240110929956,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3.2800000000000002,0.0007111470133775268,-0.0009176600028709456,1.3254518672595303,0.0,0.0,1.312,-5.28340688025669e-06,-4.094804028581312e-06,-1.717818419741151e-06,64.39325805709831,-64.38131352365477,64.37203040788029,-64.38400494980507,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
