time,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,sliding_surface_x,sliding_surface_y,sliding_surface_z,auxiliary_state_x,auxiliary_state_y,auxiliary_state_z,effective_reaching_gain_x,effective_reaching_gain_y,effective_reaching_gain_z
0.0,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.01,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.02,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.03,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.04,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.05,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.06,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.07,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.08,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.09,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.1,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.11,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.12,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.13,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.14,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.15,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.16,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.17,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.18,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.19,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
0.2,3.8675155528763625,2.024569083148235,13.681963510527918,1.421894441095453,0.4307113539352938,0.915313510527919,0.0,0.0,0.0,2.2,2.2,2.8
