time,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,sliding_surface_x,sliding_surface_y,sliding_surface_z,auxiliary_state_x,auxiliary_state_y,auxiliary_state_z,effective_reaching_gain_x,effective_reaching_gain_y,effective_reaching_gain_z
0.0,3.4959046063504964,0.6530966799187807,12.57050438199983,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.012,0.012,0.015,1.6,1.6,2.0
0.01,3.507904606350496,0.6650966799187807,12.585504381999831,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.024,0.024,0.03,1.6,1.6,2.0
0.02,3.5199046063504964,0.6770966799187808,12.600504381999832,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.036000000000000004,0.036000000000000004,0.045,1.6,1.6,2.0
0.03,3.531904606350496,0.6890966799187808,12.61550438199983,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.048,0.048,0.06,1.6,1.6,2.0
0.04,3.5439046063504964,0.7010966799187808,12.630504381999831,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.06,0.06,0.075,1.6,1.6,2.0
0.05,3.555904606350496,0.7130966799187808,12.645504381999832,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.072,0.072,0.09,1.6,1.6,2.0
0.06,3.5679046063504964,0.7250966799187808,12.660504381999832,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.08399999999999999,0.08399999999999999,0.105,1.6,1.6,2.0
0.07,3.579904606350496,0.7370966799187808,12.675504381999831,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.09599999999999999,0.09599999999999999,0.12,1.6,1.6,2.0
0.08,3.5919046063504965,0.7490966799187808,12.690504381999832,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.10799999999999998,0.10799999999999998,0.135,1.6,1.6,2.0
0.09,3.603904606350496,0.7610966799187808,12.70550438199983,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.11999999999999998,0.11999999999999998,0.15000000000000002,1.6,1.6,2.0
0.1,3.6159046063504956,0.7730966799187808,12.720504381999831,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.13199999999999998,0.13199999999999998,0.16500000000000004,1.6,1.6,2.0
0.11,3.627904606350496,0.7850966799187808,12.735504381999831,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.144,0.144,0.18000000000000005,1.6,1.6,2.0
0.12,3.6399046063504965,0.7970966799187809,12.750504381999832,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.156,0.156,0.19500000000000006,1.6,1.6,2.0
0.13,3.651904606350496,0.8090966799187809,12.76550438199983,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.168,0.168,0.21000000000000008,1.6,1.6,2.0
0.14,3.6639046063504965,0.8210966799187809,12.780504381999831,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.18000000000000002,0.18000000000000002,0.2250000000000001,1.6,1.6,2.0
0.15,3.675904606350496,0.8330966799187809,12.79550438199983,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.19200000000000003,0.19200000000000003,0.2400000000000001,1.6,1.6,2.0
0.16,3.6879046063504966,0.8450966799187809,12.81050438199983,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.20400000000000004,0.20400000000000004,0.2550000000000001,1.6,1.6,2.0
0.17,3.699904606350496,0.8570966799187809,12.825504381999831,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.21600000000000005,0.21600000000000005,0.27000000000000013,1.6,1.6,2.0
0.18,3.7119046063504966,0.8690966799187809,12.840504381999832,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.22800000000000006,0.22800000000000006,0.28500000000000014,1.6,1.6,2.0
0.19,3.723904606350496,0.8810966799187809,12.85550438199983,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.24000000000000007,0.24000000000000007,0.30000000000000016,1.6,1.6,2.0
0.2,3.7359046063504966,0.893096679918781,12.870504381999831,1.3599999999999999,0.31999999999999995,0.7999999999999999,0.25200000000000006,0.25200000000000006,0.31500000000000017,1.6,1.6,2.0
