time,setpoint_source.y,measurement_source.y,inner_measurement_source.y,feedforward_source.y,schedule_source.y,fuzzy_error_source.y,neural_residual_source.y,command,outer_command,unsaturated_command,integral,scheduled_gain,saturated,status_code
0.0,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.49286399999999997,0.0,0.49286399999999997,0.00408,1.02,0.0,0.0
0.01,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.49612799999999996,0.0,0.49612799999999996,0.00816,1.02,0.0,0.0
0.02,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.499392,0.0,0.499392,0.012240000000000001,1.02,0.0,0.0
0.03,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.502656,0.0,0.502656,0.01632,1.02,0.0,0.0
0.04,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.5059199999999999,0.0,0.5059199999999999,0.0204,1.02,0.0,0.0
0.05,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.509184,0.0,0.509184,0.024480000000000002,1.02,0.0,0.0
0.06,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.512448,0.0,0.512448,0.028560000000000002,1.02,0.0,0.0
0.07,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.515712,0.0,0.515712,0.03264,1.02,0.0,0.0
0.08,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.518976,0.0,0.518976,0.03672,1.02,0.0,0.0
0.09,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.52224,0.0,0.52224,0.0408,1.02,0.0,0.0
0.1,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.525504,0.0,0.525504,0.04488,1.02,0.0,0.0
0.11,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.528768,0.0,0.528768,0.048960000000000004,1.02,0.0,0.0
0.12,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.532032,0.0,0.532032,0.053040000000000004,1.02,0.0,0.0
0.13,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.535296,0.0,0.535296,0.057120000000000004,1.02,0.0,0.0
0.14,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.5385599999999999,0.0,0.5385599999999999,0.061200000000000004,1.02,0.0,0.0
0.15,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.541824,0.0,0.541824,0.06528,1.02,0.0,0.0
0.16,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.545088,0.0,0.545088,0.06936,1.02,0.0,0.0
0.17,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.548352,0.0,0.548352,0.07344,1.02,0.0,0.0
0.18,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.551616,0.0,0.551616,0.07752,1.02,0.0,0.0
0.19,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.55488,0.0,0.55488,0.0816,1.02,0.0,0.0
0.2,0.5,0.1,0.05,0.3,0.5,0.4,0.1,0.558144,0.0,0.558144,0.08568,1.02,0.0,0.0
