time,command,outer_command,unsaturated_command,integral_state,scheduled_gain
0.0,1.0,0.48,2.63,0.0,1.0
0.02,0.625968,0.48,0.625968,-0.00504,1.0
0.04,0.6323679999999999,0.48,0.6323679999999999,0.00296,1.0
0.06,0.638768,0.48,0.638768,0.010960000000000001,1.0
0.08,0.645168,0.48,0.645168,0.01896,1.0
0.1,0.651568,0.48,0.651568,0.02696,1.0
0.12,0.657968,0.48,0.657968,0.034960000000000005,1.0
0.14,0.664368,0.48,0.664368,0.042960000000000005,1.0
0.16,0.670768,0.48,0.670768,0.050960000000000005,1.0
0.18,0.677168,0.48,0.677168,0.058960000000000005,1.0
0.2,0.6835680000000001,0.48,0.6835680000000001,0.06696,1.0
