time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,eta_hat
0.092,0.00013197555470004227,-0.00013293649077810983,0.015346514083671504,0.0,0.0,0.184,0.011290913543042898,0.010995789675019746,-5.877617090004443e-05,7.053639131669466,-6.45069042724862,5.813428502309254,-6.417370945382148,1.0
0.094,0.00014473877465950825,-0.0001458841965020398,0.016368346915997988,0.0,0.0,0.188,0.011774767937789133,0.011421357514872698,-6.410071762720581e-05,7.1304074481823285,-6.505603830301032,5.849989762627997,-6.4758739229145945,1.0
0.096,0.0001584102212149888,-0.00015976742833389134,0.017430321697613105,0.0,0.0,0.192,0.012261908172516649,0.011852268595994165,-6.96719154616296e-05,7.204157274992644,-6.557707739903563,5.883664363165838,-6.531284832587266,1.0
0.098,0.0001730292884392432,-0.00017462932743892755,0.018532846309869982,0.0,0.0,0.196,0.012750072959355954,0.012289685833956222,-7.546646385768279e-05,7.274906184639527,-6.607181194237413,5.9145133611817595,-6.583502799885226,1.0
0.1,0.00018863594017739634,-0.00019051336309571236,0.019676306208308698,0.0,0.0,0.2,0.013237382428370251,0.012734551972585724,-8.146229520746695e-05,7.342677192140053,-6.654171219949566,5.942592725745541,-6.6324593512915175,1.0
0.10200000000000001,0.0002052706801650745,-0.0002074630964991052,0.020861067346661336,0.0,0.0,0.20400000000000001,0.013722571346947703,0.013187423407837573,-8.764265761076724e-05,7.407499975131711,-6.698778026209444,5.967952015913866,-6.678133193672815,1.0
0.10400000000000001,0.00022297457241485198,-0.00022552215522245989,0.022087474569793045,0.0,0.0,0.20800000000000002,0.014204995888184175,0.013648388080395821,-9.399704503228384e-05,7.469407123584539,-6.7410522359330605,5.990638142885298,-6.720553010721049,1.0
0.106,0.00024178919595423405,-0.0002447341365177149,0.023355852103019416,0.0,0.0,0.21200000000000002,0.01468463503639371,0.01411697049526331,-0.00010052248337226699,7.5284296631227345,-6.780992732409797,6.010699812924307,-6.759799603754121,1.0
0.108,0.0002617565960715401,-0.00026514256274909255,0.024666503387922603,0.0,0.0,0.21600000000000003,0.015162044481875607,0.014592087512808233,-0.00010722401404828564,7.584593214839572,-6.818548482565572,6.028191353509313,-6.796004060681436,1.0
0.11,0.00028291918317223234,-0.00028679091062731605,0.026019710434071093,0.0,0.0,0.22000000000000003,0.01563816175423434,0.015072095588853338,-0.00011411324873031684,7.637912865312081,-6.853630695440986,6.043177852501529,-6.829335575838552,1.0
0.112,0.000305319599506129,-0.0003097225846222562,0.02741573488229276,0.0,0.0,0.22400000000000003,0.01611422252620457,0.015554906191314362,-0.00012120782052096235,7.688395868134286,-6.886123239905574,6.055732426111609,-6.859990989161176,1.0
0.114,0.00032900059238260936,-0.0003339809462959455,0.02885481808060889,0.0,0.0,0.22800000000000004,0.016591618286020703,0.01603816509167322,-0.00012852975011904937,7.736044808985088,-6.9158981440696445,6.065933053959301,-6.888179253559653,1.0
0.116,0.0003540048572592444,-0.00035960935547089403,0.030337181496623934,0.0,0.0,0.23200000000000004,0.0170717368646889,0.016519499694053804,-0.00013610313022927853,7.7808632645651645,-6.94283427055154,6.07385691821043,-6.914102712295609,1.0
0.11800000000000001,0.00038037487621844036,-0.0003866512277533276,0.03186302704561973,0.0,0.0,0.23600000000000004,0.017555802414719567,0.01699682560543067,-0.0001439512520023933,7.822863933768781,-6.966837921006091,6.079572277242459,-6.937936444244594,1.0
0.12,0.00040815279468615814,-0.00041515007183699955,0.03343253695329859,0.0,0.0,0.24,0.018044719473899802,0.0174685293725729,-0.00015209344436077768,7.862070423988661,-6.987856505584132,6.083136691344194,-6.959814546965545,1.0
0.122,0.0004373802944334234,-0.0004451495025236557,0.03504587405603756,0.0,0.0,0.244,0.018538923420116905,0.017933589368274203,-0.00016054185259507252,7.898516299869614,-7.005888308827576,6.084597975110476,-6.979820312745783,1.0
0.124,0.00046809849546949,-0.0004766932127983618,0.036703182177877304,0.0,0.0,0.248,0.019038263042936286,0.018391574465085023,-0.00016929845152515994,7.9322396331632525,-7.020984749045998,6.0839996457055685,-6.99798391384044,1.0
0.126,0.0005003478787676809,-0.0005098249235893084,0.03840458646793214,0.0,0.0,0.252,0.0195419310660918,0.018842621523900174,-0.000178352731275536,7.963278926376826,-7.033250160039502,6.081384997526833,-7.014282578475905,1.0
