receive_time_s,stamp_s,sequence,frame_id,planner_id,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,ax_ref,ay_ref,az_ref,yaw_ref,yaw_rate_ref,trajectory_status
1780692276.861124039,1780692276.860494137,73,map,ego_position_cmd,0.3495728256194602,0.36728697742309135,1.2362179403760412,-0.007779139840391115,0.15730777152875708,0.007756010749264084,-0.0707884971879407,-0.0035006129281760024,-0.0018335332315370816,1.6202077947000362,0.45,1
1780692276.916474104,1780692276.915563107,74,map,ego_position_cmd,0.3490375729502256,0.37593786168935184,1.2366419871229593,-0.011672037760208333,0.15706690782760152,0.007654514483058012,-0.0706801085224207,-0.005252416992093751,-0.001855000598099814,1.6449725051988935,0.45,1
1780692276.971407175,1780692276.970537901,75,map,ego_position_cmd,0.34844081057143167,0.38300002315641085,1.236984553878053,-0.014850010420384904,0.15679836475714426,0.00757064911061762,-0.07055926414071492,-0.006682504689173207,-0.0018723430400764368,1.6652223661501921,0.45,1
1780692277.026288986,1780692277.025500059,76,map,ego_position_cmd,0.3475749968515028,0.39112932729425337,1.2373749977207,-0.018508197282414006,0.15640874858317627,0.007472945920769425,-0.07038393686242933,-0.008328688777086304,-0.00189210925961044,1.688580842848387,0.45,1
1780692277.081250429,1780692277.080549717,77,map,ego_position_cmd,0.34650220613297,0.39935809097792135,1.2377661077733688,-0.022211140940064624,0.1559259927598365,0.007372728861981531,-0.07016669674192644,-0.009995013423029081,-0.0019119092060268037,1.7122911106485845,0.45,1
1780692277.135923862,1780692277.135470867,78,map,ego_position_cmd,0.34531637986143265,0.40706660844482284,1.2381288514890543,-0.025679973800170276,0.1553923709376447,0.007277595989326432,-0.06992656692194012,-0.011555988210076624,-0.0019302731066333802,1.7345749828509724,0.45,1
1780692277.191326380,1780692277.190582275,79,map,ego_position_cmd,0.343939534109006,0.41485057345066323,1.2384916769041727,-0.029182758052798446,0.15477279034905272,0.0071802531091131605,-0.06964775565707373,-0.0131322411237593,-0.0019486411432737458,1.7571605971501414,0.45,1
1780692277.246094942,1780692277.245494843,80,map,ego_position_cmd,0.3424887291867575,0.4221212200398737,1.2388275132587279,-0.032454549017943174,0.15411992813404088,0.007088122166060979,-0.0693539676603184,-0.014604547058074428,-0.001965642858723101,1.7783438003989431,0.45,1
1780692277.301093340,1780692277.300474405,81,map,ego_position_cmd,0.34066411048347006,0.43029921437041635,1.2392018227696846,-0.03613464646668736,0.15329884971756155,0.006983041261436185,-0.06898448237290271,-0.016260590910009316,-0.0019845922777152903,1.8022845739513287,0.45,1
1780692277.356015682,1780692277.355464458,83,map,ego_position_cmd,0.3367189532462321,0.44550050536390756,1.2398882593433522,-0.04297522741375841,0.15152352896080445,0.006783392776256737,-0.06818558803236201,-0.019338852336191287,-0.0020193431292572076,1.847159448300954,0.45,1
