time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,eta_hat
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0
0.01,-1.0822451144245213e-08,1.082248081940176e-08,1.5573707126054307e-06,0.0,0.0,0.02,4.547487945695716e-07,4.547475423708519e-07,-8.522462437672686e-14,1.1105054813567907,-1.1104710857777786,1.110430173666173,-1.1104645692468202,1.0
0.02,-3.433305372469134e-07,3.4343357813548796e-07,3.127971696923949e-06,0.0,0.0,0.04,1.4431453581694632e-05,1.4427123826218587e-05,-1.0403638547677084e-10,2.116086746841724,-2.1150379572839615,2.1138001978021714,-2.1148489893220024,1.0
0.03,-1.8575931808877818e-06,1.860616748700178e-06,4.723090187177462e-06,0.0,0.0,0.06,7.820408845329738e-05,7.80770250681834e-05,-3.0495566748957824e-09,3.031795955384329,-3.0263247017062715,3.019923121159054,-3.0253944316928516,1.0
0.04,-5.738482128678092e-06,5.7635574316150124e-06,6.35133655336279e-06,0.0,0.0,0.08,0.00024240269044880817,0.00024134859564784147,-2.92804921010623e-08,3.871844023496366,-3.8554916833392228,3.8365474827962163,-3.852900362611868,1.0
0.05,-1.3243242065646196e-05,1.3358961924188337e-05,8.018741441062345e-06,0.0,0.0,0.1,0.0005625644512692351,0.0005576968066742475,-1.5722763788341486e-07,4.648934195002755,-4.6123075710106365,4.570363953466143,-4.606993442761719,1.0
0.06,-2.5447885494242657e-05,2.5825174457310412e-05,9.729313920335921e-06,0.0,0.0,0.12,0.0010899494573856784,0.001074061040745289,-5.876180411915377e-07,5.373747526328952,-5.305232359991463,5.227819909663596,-5.2963456647859495,1.0
0.07,-4.2988819475210586e-05,4.396270783838175e-05,1.1485532475074393e-05,0.0,0.0,0.14,0.0018620422856957621,0.0018209529118698746,-1.7054672551131834e-06,6.054536282204649,-5.941540975992265,5.815832531140545,-5.9288582147136655,1.0
0.08,-6.583979370202249e-05,6.795594764913544e-05,1.3288734971511776e-05,0.0,0.0,0.16,0.002893756319162694,0.002804214660863401,-4.091802168599382e-06,6.696859633671088,-6.527449468958798,6.342245830688334,-6.511728008574435,1.0
0.09,-9.323074669295564e-05,9.724205011653157e-05,1.5139408831566535e-05,0.0,0.0,0.18,0.004172724447164933,0.004002285605967218,-8.444508278277452e-06,7.303632382362692,-7.068191493005587,6.815714180514233,-7.051301892196342,1.0
0.1,-0.00012361258774975725,0.00013042074314463355,1.7037469353816988e-05,0.0,0.0,0.2,0.005657088946212346,0.005366089614962783,-1.5396170571510424e-05,7.875672881588123,-7.568543601429959,7.245996207096604,-7.553389713504859,1.0
0.11,-0.00015481171574169435,0.00016531926147394084,1.898242624486964e-05,0.0,0.0,0.22000000000000003,0.0072784029330340205,0.006825502445165934,-2.527477910850242e-05,8.412206652088173,-8.032825545347514,7.64308806426956,-8.022896903297141,1.0
0.12,-0.00018428573752265033,0.00019917998059407015,2.0973531566714193e-05,0.0,0.0,0.24,0.008949531041931686,0.008299935784779985,-3.790299045322754e-05,8.911817602908817,-8.465172324271892,8.016557948130101,-8.463835037976542,1.0
0.13,-0.00020944715306861036,0.00022894813647332754,2.3009895108114063e-05,0.0,0.0,0.26,0.010576056219674852,0.009711184855648734,-5.253294015156161e-05,9.373402337381581,-8.869660957352805,8.37470989270219,-8.879312720882735,1.0
0.14,-0.00022798281268106331,0.0002516163420424906,2.5090568844784443e-05,0.0,0.0,0.28,0.012069388178258589,0.010995611718461525,-6.796758234072136e-05,9.796986269419165,-9.25033023809815,8.723886292245984,-9.271637288335251,1.0
0.15,-0.00023812654317857302,0.00026458534254791236,2.721461355896276e-05,0.0,0.0,0.3,0.013360155012820922,0.012114176885650701,-8.284803583697648e-05,10.184324528792093,-9.611085816726368,9.067965464434204,-9.642513740386507,1.0
0.16,-0.00023881202821904155,0.0002659709817722245,2.938114216396091e-05,0.0,0.0,0.32,0.014409145837756529,0.013057498935420417,-9.600956535676933e-05,10.53911206396722,-9.95549692414993,9.408235763685358,-9.993338482629216,1.0
0.17,-0.0002296382046224367,0.0002547497148691654,3.158933330977503e-05,0.0,0.0,0.34,0.015211848100843287,0.013843547769285303,-0.0001067602759648153,10.866683646131325,-10.286556988738669,9.743763133602153,-10.325510568466216,1.0
0.18,-0.0002107036516292755,0.00023075542845440544,3.383843308098821e-05,0.0,0.0,0.36,0.015797257964520944,0.014510349934672491,-0.00011501019388670084,11.173387781198054,-10.606488450147493,10.072083699386534,-10.640694758017878,1.0
0.19,-0.00018235365486149547,0.0001945264499507372,3.612775276520303e-05,0.0,0.0,0.38,0.016221094115587937,0.015105543272848835,-0.00012123520206311914,11.465766331322618,-10.916655688551186,10.390086917927471,-10.940969813427317,1.0
0.2,-0.00014488857821508286,0.00014701456756020987,3.8456665139328495e-05,0.0,0.0,0.4,0.01655401636455238,0.015674751781473775,-0.00012630701107877585,11.749678433260566,-11.217629805957403,10.694946050089127,-11.228814430491232,1.0
