time,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,unconstrained_acceleration_x,unconstrained_acceleration_y,unconstrained_acceleration_z,auxiliary_x,auxiliary_y,auxiliary_z,solver_cost,solver_iterations
0.0,1.2,1.2,10.60665,4.187120470127327,1.3076983349657199,2.058980509745127,0.0,0.0,0.0,1.3064925,0.0
0.01,2.4,1.6085798237022526,11.406649999999999,4.488001958863859,1.6085798237022526,2.2892653673163417,0.0,0.0,0.0,1.2416837448702254,0.0
0.02,3.5999999999999996,1.7110249117216227,12.20665,4.788883447600392,1.7110249117216227,2.5195502248875563,0.0,0.0,0.0,1.2114153543130515,0.0
0.03,4.0,1.7367114372191335,12.30665,5.089764936336925,1.7367114372191335,2.749835082458771,0.0,0.0,0.0,1.2077480108566838,0.0
0.04,4.0,1.7431519372459334,12.30665,5.1900587659157695,1.7431519372459334,2.778620689655172,0.0,0.0,0.0,1.2078285644298672,0.0
0.05,4.0,1.7447667932761597,12.30665,5.1900587659157695,1.7447667932761597,2.778620689655172,0.0,0.0,0.0,1.2078488657567612,0.0
0.06,4.0,1.7451716935148844,12.30665,5.1900587659157695,1.7451716935148844,2.778620689655172,0.0,0.0,0.0,1.2078539625245417,0.0
0.07,4.0,1.745273216003732,12.30665,5.1900587659157695,1.745273216003732,2.778620689655172,0.0,0.0,0.0,1.207855240870541,0.0
0.08,4.0,1.7452986712017196,12.30665,5.1900587659157695,1.7452986712017196,2.778620689655172,0.0,0.0,0.0,1.2078555614218627,0.0
0.09,4.0,1.7453050536999417,12.30665,5.1900587659157695,1.7453050536999417,2.778620689655172,0.0,0.0,0.0,1.2078556417967825,0.0
0.1,4.0,1.7453066540129138,12.30665,5.1900587659157695,1.7453066540129138,2.778620689655172,0.0,0.0,0.0,1.2078556619496559,0.0
0.11,4.0,1.7453070552667052,12.30665,5.1900587659157695,1.7453070552667052,2.778620689655172,0.0,0.0,0.0,1.207855667002684,0.0
0.12,4.0,1.7453071558749038,12.30665,5.1900587659157695,1.7453071558749038,2.778620689655172,0.0,0.0,0.0,1.2078556682696535,0.0
0.13,4.0,1.7453071811008571,12.30665,5.1900587659157695,1.7453071811008571,2.778620689655172,0.0,0.0,0.0,1.2078556685873265,0.0
0.14,4.0,1.7453071874258759,12.30665,5.1900587659157695,1.7453071874258759,2.778620689655172,0.0,0.0,0.0,1.2078556686669781,0.0
0.15,4.0,1.745307189011777,12.30665,5.1900587659157695,1.745307189011777,2.778620689655172,0.0,0.0,0.0,1.2078556686869497,0.0
0.16,4.0,1.745307189409417,12.30665,5.1900587659157695,1.745307189409417,2.778620689655172,0.0,0.0,0.0,1.2078556686919573,0.0
0.17,4.0,1.7453071895091192,12.30665,5.1900587659157695,1.7453071895091192,2.778620689655172,0.0,0.0,0.0,1.2078556686932127,0.0
0.18,4.0,1.7453071895341183,12.30665,5.1900587659157695,1.7453071895341183,2.778620689655172,0.0,0.0,0.0,1.2078556686935276,0.0
0.19,4.0,1.7453071895403864,12.30665,5.1900587659157695,1.7453071895403864,2.778620689655172,0.0,0.0,0.0,1.2078556686936064,0.0
0.2,4.0,1.7453071895419578,12.30665,5.1900587659157695,1.7453071895419578,2.778620689655172,0.0,0.0,0.0,1.2078556686936264,0.0
