time,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,unconstrained_acceleration_x,unconstrained_acceleration_y,unconstrained_acceleration_z,auxiliary_x,auxiliary_y,auxiliary_z,solver_cost,solver_iterations
0.0,1.2,1.2,10.60665,4.187263890303624,1.3077450551746652,2.059051194402798,1.0000346666666666,1.0000346666666666,1.0000346666666666,1.3064925,0.0
0.01,2.4,1.6086941252366957,11.406649999999999,4.488309660333007,1.6086941252366957,2.2894227030484755,1.0000693333333333,1.0000693333333333,1.0000693333333333,1.2416849350677268,0.0
0.02,3.5999999999999996,1.7112356806395534,12.20665,4.789376291478941,1.7112356806395534,2.5198101781109443,1.0001039999999999,1.0001039999999999,1.0001039999999999,1.2114178936307352,0.0
0.03,4.0,1.7370106622547248,12.30665,5.09046378374143,1.7370106622547248,2.750213619590205,1.0001386666666665,1.0001386666666665,1.0001386666666665,1.2077517387103274,0.0
0.04,4.0,1.7435360559813868,12.30665,5.190949709435194,1.7435360559813868,2.779098850574712,1.0001733333333331,1.0001733333333331,1.0001733333333331,1.2078333896467197,0.0
0.05,4.0,1.7452343566495039,12.30665,5.1911278981390785,1.7452343566495039,2.7791944827586197,1.0002079999999998,1.0002079999999998,1.0002079999999998,1.2078547515437672,0.0
0.06,4.0,1.745722157931243,12.30665,5.191306086842964,1.745722157931243,2.7792901149425275,1.0002426666666664,1.0002426666666664,1.0002426666666664,1.207860895807163,0.0
0.07,4.0,1.7459063905142196,12.30665,5.191484275546848,1.7459063905142196,2.779385747126436,1.000277333333333,1.000277333333333,1.000277333333333,1.2078632173575612,0.0
0.08,4.0,1.7460144926609822,12.30665,5.191662464250734,1.7460144926609822,2.7794813793103437,1.0003119999999996,1.0003119999999996,1.0003119999999996,1.2078645798256888,0.0
0.09,4.0,1.746103502860646,12.30665,5.191840652954618,1.746103502860646,2.7795770114942515,1.0003466666666663,1.0003466666666663,1.0003466666666663,1.2078657018079297,0.0
0.1,4.0,1.7461877261029173,12.30665,5.192018841658503,1.7461877261029173,2.7796726436781594,1.000381333333333,1.000381333333333,1.000381333333333,1.2078667635664861,0.0
0.11,4.0,1.7462707501375367,12.30665,5.192197030362388,1.7462707501375367,2.779768275862067,1.0004159999999995,1.0004159999999995,1.0004159999999995,1.2078678103180154,0.0
0.12,4.0,1.7463534748179879,12.30665,5.192375219066273,1.7463534748179879,2.7798639080459755,1.0004506666666662,1.0004506666666662,1.0004506666666662,1.2078688534047137,0.0
0.13,4.0,1.7464361258468828,12.30665,5.192553407770157,1.7464361258468828,2.7799595402298833,1.0004853333333328,1.0004853333333328,1.0004853333333328,1.207869895671757,0.0
0.14,4.0,1.7465187598372909,12.30665,5.192731596474043,1.7465187598372909,2.780055172413791,1.0005199999999994,1.0005199999999994,1.0005199999999994,1.2078709378328825,0.0
0.15,4.0,1.7466013909900187,12.30665,5.192909785177927,1.7466013909900187,2.780150804597699,1.000554666666666,1.000554666666666,1.000554666666666,1.207871980067148,0.0
0.16,4.0,1.7466840228673537,12.30665,5.193087973881813,1.7466840228673537,2.7802464367816073,1.0005893333333327,1.0005893333333327,1.0005893333333327,1.207873022419481,0.0
0.17,4.0,1.746766656362968,12.30665,5.193266162585697,1.746766656362968,2.780342068965515,1.0006239999999993,1.0006239999999993,1.0006239999999993,1.2078740649011592,0.0
0.18,4.0,1.7468492917011023,12.30665,5.193444351289582,1.7468492917011023,2.780437701149423,1.000658666666666,1.000658666666666,1.000658666666666,1.2078751075150185,0.0
0.19,4.0,1.7469319289380631,12.30665,5.193622539993467,1.7469319289380631,2.780533333333331,1.0006933333333325,1.0006933333333325,1.0006933333333325,1.2078761502617765,0.0
0.2,4.0,1.7470145680880267,12.30665,5.193800728697352,1.7470145680880267,2.7806289655172387,1.0007279999999992,1.0007279999999992,1.0007279999999992,1.2078771931416197,0.0
