time,desired_acceleration_x,desired_acceleration_y,desired_acceleration_z,unconstrained_acceleration_x,unconstrained_acceleration_y,unconstrained_acceleration_z,auxiliary_x,auxiliary_y,auxiliary_z,solver_cost,solver_iterations
0.0,1.2,1.2,10.60665,4.189666295104802,1.3051525099882442,2.0593704987184025,0.0,0.0,0.0,1.1992596793616757,7.0
0.01,2.4,1.6040789106353004,11.406649999999999,4.488592596420261,1.6040789106353004,2.288656984960282,0.0,0.0,0.0,1.199502124510961,7.0
0.02,3.5999999999999996,1.704737158306228,12.20665,4.787518874689668,1.704737158306228,2.517943483332323,0.0,0.0,0.0,1.1998060751357933,7.0
0.03,4.0,1.7298116770362837,12.30665,5.086445206202766,1.7298116770362837,2.7472300137393275,0.0,0.0,0.0,1.200442913141636,7.0
0.04,4.0,1.736057876695017,12.30665,5.186087341723814,1.736057876695017,2.7758908332839103,0.0,0.0,0.0,1.2006745422462106,7.0
0.05,4.0,1.7376138391823743,12.30665,5.186087341723814,1.7376138391823743,2.7758908332839103,0.0,0.0,0.0,1.2006820696522205,7.0
0.06,4.0,1.7380014379463995,12.30665,5.186087341723814,1.7380014379463995,2.7758908332839103,0.0,0.0,0.0,1.2006839508579863,7.0
0.07,4.0,1.7380979909180683,12.30665,5.186087341723814,1.7380979909180683,2.7758908332839103,0.0,0.0,0.0,1.2006844198543973,7.0
0.08,4.0,1.7381220427913062,12.30665,5.186087341723814,1.7381220427913062,2.7758908332839103,0.0,0.0,0.0,1.2006845367074097,7.0
0.09,4.0,1.7381280342444563,12.30665,5.186087341723814,1.7381280342444563,2.7758908332839103,0.0,0.0,0.0,1.2006845658175886,7.0
0.1,4.0,1.7381295267481998,12.30665,5.186087341723814,1.7381295267481998,2.7758908332839103,0.0,0.0,0.0,1.200684573069184,7.0
0.11,4.0,1.7381298985390445,12.30665,5.186087341723814,1.7381298985390445,2.7758908332839103,0.0,0.0,0.0,1.2006845748756014,7.0
0.12,4.0,1.738129991154177,12.30665,5.186087341723814,1.738129991154177,2.7758908332839103,0.0,0.0,0.0,1.2006845753255901,7.0
0.13,4.0,1.7381300142251126,12.30665,5.186087341723814,1.7381300142251126,2.7758908332839103,0.0,0.0,0.0,1.200684575437685,7.0
0.14,4.0,1.738130019972209,12.30665,5.186087341723814,1.738130019972209,2.7758908332839103,0.0,0.0,0.0,1.2006845754656084,7.0
0.15,4.0,1.738130021403842,12.30665,5.186087341723814,1.738130021403842,2.7758908332839103,0.0,0.0,0.0,1.2006845754725644,7.0
0.16,4.0,1.7381300217604694,12.30665,5.186087341723814,1.7381300217604694,2.7758908332839103,0.0,0.0,0.0,1.200684575474297,7.0
0.17,4.0,1.7381300218493076,12.30665,5.186087341723814,1.7381300218493076,2.7758908332839103,0.0,0.0,0.0,1.2006845754747286,7.0
0.18,4.0,1.7381300218714375,12.30665,5.186087341723814,1.7381300218714375,2.7758908332839103,0.0,0.0,0.0,1.200684575474836,7.0
0.19,4.0,1.7381300218769502,12.30665,5.186087341723814,1.7381300218769502,2.7758908332839103,0.0,0.0,0.0,1.200684575474863,7.0
0.2,4.0,1.7381300218783238,12.30665,5.186087341723814,1.7381300218783238,2.7758908332839103,0.0,0.0,0.0,1.2006845754748696,7.0
