t,phase,uav_a,uav_b,distance_m
5.756,init,2,3,1.466007993876123
5.79,init,2,3,1.4660079938428066
5.824,init,2,3,1.4660079938094903
5.858,init,2,3,1.4660079937761739
5.892,init,2,3,1.4660079937428578
5.926,init,2,3,1.4660079937095414
5.96,init,2,3,1.4660079936762251
5.994,init,2,3,1.4660079936429087
6.028,init,2,3,1.4660079936095922
6.062,init,2,3,1.4660079935762762
6.096,init,2,3,1.46600799354296
6.13,init,2,3,1.4660079935096435
6.165,init,2,3,1.4660079934753474
6.199,init,2,3,1.4660079934420311
6.233,init,2,3,1.4660079934087147
6.267,init,2,3,1.4660079933753987
6.301,init,2,3,1.4660079933420822
6.335,init,2,3,1.466007993308766
6.369,init,2,3,1.4660079932754495
6.4030000000000005,init,2,3,1.466007993242133
6.437,init,2,3,1.466007993208817
6.471,init,2,3,1.4660079931755008
6.505,init,2,3,1.4660079931421843
6.539,init,2,3,1.4660079931088683
6.573,takeoff,2,3,1.4660079930755519
6.608,takeoff,2,3,1.4660079930412555
6.642,takeoff,2,3,1.4660079930079395
6.677,takeoff,2,3,1.4660079929736431
6.711,takeoff,2,3,1.4660079929403267
6.745,takeoff,2,3,1.4660079929070104
6.779,takeoff,2,3,1.4660079928746743
6.813,takeoff,2,3,1.466007992840378
6.8469999999999995,takeoff,2,3,1.4660079928070615
6.881,takeoff,2,3,1.4660079927737453
6.915,takeoff,2,3,1.466007992740429
6.949,takeoff,2,3,1.4660079927071128
6.983,takeoff,2,3,1.4660079926737963
7.017,takeoff,2,3,1.46600799264048
7.051,takeoff,2,3,1.4660079926071636
7.085,takeoff,2,3,1.4660079925738476
7.119,takeoff,2,3,1.4660079925405312
7.153,takeoff,2,3,1.4660079925072147
7.187,takeoff,2,3,1.4660079924738985
7.221,takeoff,2,3,1.4660079924405824
7.255,takeoff,2,3,1.466007992407266
7.289,takeoff,2,3,1.4660079923739495
7.323,takeoff,2,3,1.4660079923406335
7.357,takeoff,2,3,1.466007992307317
7.391,takeoff,2,3,1.466007992274001
7.425,takeoff,2,3,1.4660079922406846
7.459,takeoff,2,3,1.4660079922073683
7.493,takeoff,2,3,1.4660079921740519
7.527,takeoff,2,3,1.4660079921407356
7.561,takeoff,2,3,1.4660079921074194
7.595,takeoff,2,3,1.4660079920741032
7.629,takeoff,2,3,1.4660079920407867
7.664,takeoff,2,3,1.4660079920064903
7.698,takeoff,2,3,1.4660079919731743
7.732,takeoff,2,3,1.4660079919398579
7.766,takeoff,2,3,1.4660079919065416
7.8,takeoff,2,3,1.4660079918732252
7.834,takeoff,2,3,1.4660079918399092
7.868,takeoff,2,3,1.4660079918065927
7.902,takeoff,2,3,1.4660079917732765
7.936,takeoff,2,3,1.46600799173996
7.97,takeoff,2,3,1.466007991706644
8.004,takeoff,2,3,1.4660079916733275
8.046,takeoff,2,3,1.4660079916380515
8.082,takeoff,2,3,1.4660079915978759
8.116,takeoff,2,3,1.46600799156162
8.15,takeoff,2,3,1.4660079915302633
8.184,takeoff,2,3,1.4660079914969473
8.218,takeoff,2,3,1.4660079914636308
8.252,takeoff,2,3,1.4660079914303146
8.286,takeoff,2,3,1.4660079913969983
8.32,takeoff,2,3,1.466007991363682
8.354,takeoff,2,3,1.4660079913303656
8.388,takeoff,2,3,1.4660079912970496
8.422,takeoff,2,3,1.4660079912637332
8.456,takeoff,2,3,1.4660079912304167
8.49,takeoff,2,3,1.4660079911971005
8.524000000000001,takeoff,2,3,1.4660079911637844
8.558,takeoff,2,3,1.466007991130468
8.592,takeoff,2,3,1.4660079910971515
8.627,takeoff,2,3,1.4660079910628554
8.661,takeoff,2,3,1.4660079910295392
8.695,takeoff,2,3,1.466007990996223
8.729,takeoff,2,3,1.4660079909629065
8.763,takeoff,2,3,1.46600799092959
8.797,takeoff,2,3,1.466007990896274
8.831,takeoff,2,3,1.4660079908629575
8.865,takeoff,2,3,1.4660079908296413
8.9,takeoff,2,3,1.4660079907953452
8.934,takeoff,2,3,1.466007990762029
8.968,takeoff,2,3,1.4660079907287125
9.002,takeoff,2,3,1.4660079906953962
9.036,takeoff,2,3,1.46600799066208
9.07,takeoff,2,3,1.4660079906287637
9.104,takeoff,2,3,1.4660079905954473
9.138,takeoff,2,3,1.4660079905621313
9.172,takeoff,2,3,1.4660079905288148
9.206,takeoff,2,3,1.4660079904954983
9.241,takeoff,2,3,1.4660079904612022
9.275,takeoff,2,3,1.466007990427886
9.309,takeoff,2,3,1.4660079903955496
9.343,takeoff,2,3,1.4660079903612533
9.377,takeoff,2,3,1.466007990327937
9.411,takeoff,2,3,1.4660079902946208
9.445,takeoff,2,3,1.4660079902613046
9.479,takeoff,2,3,1.4660079902279881
9.513,takeoff,2,3,1.4660079901946717
9.547,takeoff,2,3,1.4660079901613556
9.581,takeoff,2,3,1.4660079901280392
9.615,takeoff,2,3,1.466007990094723
9.649000000000001,takeoff,2,3,1.4660079900614065
9.683,takeoff,2,3,1.4660079900280905
9.717,takeoff,2,3,1.466007989994774
9.751,takeoff,2,3,1.4660079899614578
9.786,takeoff,2,3,1.466007989927656
9.82,takeoff,2,3,1.4660079899137397
9.854,takeoff,2,3,1.4660079898901315
9.888,takeoff,2,3,1.4660079898635532
9.922,takeoff,2,3,1.46600798985139
9.956,takeoff,2,3,1.4660079898240708
9.99,takeoff,2,3,1.4660079898126719
10.024,takeoff,2,3,1.4660079897845002
10.058,takeoff,2,3,1.4660079897653515
10.092,takeoff,2,3,1.4660079897456495
10.127,takeoff,2,3,1.4660079897278828
10.161,takeoff,2,3,1.4660079897075657
10.195,takeoff,2,3,1.4660079896803127
10.229,takeoff,2,3,1.466007989666111
10.263,takeoff,2,3,1.4660079896461946
10.297,takeoff,2,3,1.4660079896258766
10.331,takeoff,2,3,1.4660079896034437
10.365,takeoff,2,3,1.4660079895846037
10.4,takeoff,2,3,1.46600798956552
10.434,takeoff,2,3,1.466007989544752
10.468,takeoff,2,3,1.4660079895220788
10.502,takeoff,2,3,1.4660079895084757
10.536,takeoff,2,3,1.466007989481366
10.57,takeoff,2,3,1.4660079894683142
10.604,takeoff,2,3,1.4660079894363334
10.638,takeoff,2,3,1.466007989399172
10.672,takeoff,2,3,1.4660079893811446
10.706,takeoff,2,3,1.4660079893464033
10.74,takeoff,2,3,1.4660079893156233
10.774000000000001,takeoff,2,3,1.46600798928602
10.808,takeoff,2,3,1.466007989256052
10.842,takeoff,2,3,1.4660079892379632
10.876,takeoff,2,3,1.4660079892063662
10.911,takeoff,2,3,1.4660079891683953
10.945,takeoff,2,3,1.4660079891441735
10.979,takeoff,2,3,1.4660079891056903
11.013,takeoff,2,3,1.4660079890862274
11.047,takeoff,2,3,1.4660079890530175
11.081,takeoff,2,3,1.4660079890118545
11.115,takeoff,2,3,1.4660079889837045
11.149,takeoff,2,3,1.4660079889439765
11.183,takeoff,2,3,1.4660079889302748
11.217,takeoff,2,3,1.46600798889881
11.251,takeoff,2,3,1.4660079888492163
11.285,takeoff,2,3,1.4660079888256488
11.319,takeoff,2,3,1.4660079887952964
11.353,takeoff,2,3,1.4660079887742496
11.387,takeoff,2,3,1.4660079887387445
11.421,takeoff,2,3,1.4660079886984
11.455,takeoff,2,3,1.466007988677589
11.489,takeoff,2,3,1.4660079886318589
11.523,takeoff,2,3,1.4660079886050643
11.557,takeoff,2,3,1.466007988580227
11.591,takeoff,2,3,1.4660079885524009
11.625,takeoff,2,3,1.4660079884925206
11.659,takeoff,2,3,1.466007988452565
11.693,takeoff,2,3,1.4660079884354265
11.727,takeoff,2,3,1.4660079884152903
11.761,takeoff,2,3,1.4660079883604795
11.795,takeoff,2,3,1.466007988296676
11.829,takeoff,2,3,1.466007988287873
11.863,takeoff,2,3,1.466007988270663
11.897,takeoff,2,3,1.4660079882201082
11.931000000000001,takeoff,2,3,1.4660079881768147
11.966,takeoff,2,3,1.4660079881373191
12.0,takeoff,2,3,1.4660079881283756
12.034,takeoff,2,3,1.4660079880792456
12.068,takeoff,2,3,1.466007988039422
12.102,takeoff,2,3,1.46600798802169
12.136,takeoff,2,3,1.466007987984188
12.17,takeoff,2,3,1.4660079879398884
12.204,takeoff,2,3,1.4660079878993062
12.238,takeoff,2,3,1.4660079878848176
12.272,takeoff,2,3,1.4660079878618604
12.306,takeoff,2,3,1.4660079877933645
12.34,takeoff,2,3,1.466007987762945
12.374,takeoff,2,3,1.466007987739678
12.408,takeoff,2,3,1.466007987724995
12.442,takeoff,2,3,1.466007987681607
12.475999999999999,takeoff,2,3,1.4660079876232404
12.51,takeoff,2,3,1.4660079876108185
